Replication,Phoenix,Denver,Chicago,Atlanta
2730,11.6901,98.6082,163.906,125.795
2731,12.3626,95.9474,165.918,125.772
2732,12.0877,98.7602,165.784,123.368
2733,12.6725,97.9123,165.789,123.626
2734,12.6901,98.0819,164.421,124.807
2735,12.848,95.6842,164.152,127.316
2736,13.4094,99.4152,164.591,122.585
2737,11.3099,97.0819,165.83,125.778
2738,12.5146,95.2105,167.257,125.018
2739,12.2807,99.5906,163.889,124.24
2740,12.1228,99.1287,165.146,123.602
2741,13.0936,95.9766,166.234,124.696
2742,12.1462,98.9591,164.649,124.246
2743,12.076,95.1813,166.614,126.129
2744,10.883,98.8421,165.439,124.836
2745,12.2632,97.1228,164.76,125.854
2746,12.1988,97.0058,166.959,123.836
2747,13.1287,95.7719,166.509,124.591
2748,12.152,96.9357,165.38,125.532
2749,11.7018,98.2924,165.86,124.146
2750,12.0058,95.8012,168.474,123.719
2751,12.3509,95.7719,165.298,126.579
2752,11.9415,96.9181,167.409,123.731
2753,11.7076,96.924,167.766,123.602
2754,12.1754,98.6667,164.942,124.216
2755,12.0994,95.0409,166.041,126.819
2756,11.7135,98.5205,163.462,126.304
2757,11.9298,98.6667,165.427,123.977
2758,13.3216,96.0234,163.637,127.018
2759,12.6842,96.1287,168.825,122.363
2760,12.883,99.5088,162.526,125.082
2761,12.8421,98.1287,166.825,122.205
2762,12.8304,98.4561,165.123,123.591
2763,11.7602,96.7778,167.269,124.193
2764,11.3567,98.5614,164.936,125.146
2765,11.4561,99.3977,165.772,123.374
2766,13.848,96.7661,165.345,124.041
2767,12.9123,97.3158,166.351,123.421
2768,12.4503,98.2105,166.93,122.409
2769,11.4912,95.2281,166.105,127.175
2770,12.4444,97.0351,167.345,123.175
2771,11.7719,96.655,165.485,126.088
2772,12.7778,97.1462,165.655,124.421
2773,12.6082,99.0058,164.936,123.45
2774,13.3626,96.1228,165.737,124.778
2775,12.3275,96.2164,167.316,124.14
2776,12.4211,97.8947,165.041,124.643
2777,12.0936,97.3918,164.708,125.807
2778,12.7427,95.9591,167.064,124.234
2779,12.2164,97.9766,165.69,124.117
2780,12.7661,96.6082,165.567,125.058
2781,12.7661,98.7251,164.596,123.912
2782,13.5263,97.7719,164.784,123.918
2783,13.7251,97.4737,164.111,124.69
2784,13.117,98.8129,166.363,121.708
2785,13.3801,97.9942,165.304,123.322
2786,13.6784,96.9357,163.099,126.287
2787,12.3041,98.0994,163.778,125.819
2788,11.7544,98.9357,163.936,125.374
2789,11.9181,96.9415,165.088,126.053
2790,12.7135,98.1287,164.784,124.374
2791,11.5614,99.2281,164.409,124.801
2792,11.9532,97.8304,165.14,125.076
2793,13.4737,97.3041,164.895,124.327
2794,13.2749,96.7778,165.444,124.503
2795,10.8538,95.152,165.871,128.123
2796,12.6608,99.5614,165.988,121.789
2797,11.538,96.2865,165.789,126.386
2798,12.8363,98.538,165.251,123.374
2799,11.2865,98.2456,166.053,124.415
2800,12.3977,96.731,166.982,123.889
2801,12.1754,97.4386,166.743,123.643
2802,12.3684,97.2456,164.415,125.971
2803,11.4678,97.9708,165.035,125.526
2804,11.8187,98.924,164.678,124.579
2805,13.6725,99.4678,165.222,121.637
2806,12.2982,97.3567,164.398,125.947
2807,11.7368,99.1988,164.415,124.649
2808,12.7135,98.386,163.509,125.392
2809,12.5088,96.5088,165.538,125.444
2810,11.9591,98.2515,166.24,123.55
2811,13.0292,96.2924,166.825,123.854
2812,12.6842,98.7251,163.053,125.538
2813,11.5146,96.5848,167.175,124.725
2814,13.345,97.7368,163.936,124.982
2815,12.0351,99.0117,167.058,121.895
2816,11.7836,98.5906,162.702,126.924
2817,11.5731,97.655,164.708,126.064
2818,12.6725,98.2164,167.48,121.632
2819,11.6784,98.0994,165.38,124.842
2820,11.5789,97.2105,166.579,124.632
2821,12.5497,99.0936,163.632,124.725
2822,13.5614,96.3567,165.977,124.105
2823,12.7895,97.1579,167.053,123
2824,13.614,97.2281,163.345,125.813
2825,12.2924,97.3977,164.942,125.368
2826,12.3041,96.3743,165.713,125.608
2827,12.7953,97.3216,165.152,124.731
2828,11.2982,97.5088,165.854,125.339
2829,11.4269,99.3743,165.263,123.936
2830,13.5789,96.2339,166.421,123.766
2831,11.462,98.2865,165.14,125.111
2832,12.8713,98.152,166.339,122.637
2833,10.9825,99.807,166.164,123.047
2834,11.2456,97.3216,167.877,123.556
2835,11.9591,97.5789,166.058,124.404
2836,12.9591,95.7193,166.234,125.088
2837,13.1345,96.1404,165.187,125.538
2838,12.2573,98,164.854,124.889
2839,12.7427,97.3977,165.146,124.713
2840,11.2398,97.7368,166.86,124.164
2841,11.9298,97.5673,166.661,123.842
2842,11.3626,97.2339,164.988,126.415
2843,13.1754,97.7427,165.444,123.637
2844,13.7193,97.3626,166.094,122.825
2845,11.9064,95.0175,166.585,126.491
2846,12.6959,97.4327,165.994,123.877
2847,13.7895,96.3567,166.69,123.164
2848,12.4269,96.8363,166.053,124.684
2849,12.6491,98.1579,165.187,124.006
2850,12.2398,99.1462,166.222,122.392
2851,11.848,98.2339,168.152,121.766
2852,11.4795,100.719,165.123,122.678
2853,13.193,96.1287,165.474,125.205
2854,11.4444,99.2281,165.655,123.673
2855,13.3275,98.7602,166.368,121.544
2856,12.9415,98.3392,163.029,125.69
2857,12.7251,100.129,164.058,123.088
2858,12.2573,97.1345,167.409,123.199
2859,13.3977,96.924,164.515,125.164
2860,12.4152,97.6433,165.099,124.842
2861,12.1345,98.9532,164.439,124.474
2862,12.4327,100.819,163.251,123.497
2863,12.9825,95.9181,166.216,124.883
2864,11.3626,99.1579,163.795,125.684
2865,12.6784,96.6257,164.784,125.912
2866,12.4327,98.2515,164.047,125.269
2867,11.7836,98.1696,164.602,125.444
2868,11.7135,98.1228,164.766,125.398
2869,14.117,96.1404,166.251,123.491
2870,12.5322,97.2047,164.637,125.626
2871,12.4035,99.3977,164.591,123.608
2872,12.7193,96.848,166.357,124.076
2873,12.6608,97.7836,165.175,124.38
2874,11.3392,99.0292,163.544,126.088
2875,13,98.4211,165.854,122.725
2876,12.5029,97.7602,166.731,123.006
2877,12.3567,98.462,164.292,124.889
2878,13.848,97.731,166.901,121.52
2879,11.4327,98.2573,165.018,125.292
2880,10.7836,96.6667,168.14,124.409
2881,11.2456,98.4327,167.064,123.257
2882,12.5497,97.0877,165.538,124.825
2883,12.4678,95.9357,166.977,124.62
2884,13.152,98.5146,166.947,121.386
2885,12.6725,98.7836,166.842,121.702
2886,13.3275,97.117,165.871,123.684
2887,12.1053,98.2749,164.918,124.702
2888,12.3801,96.5848,167.327,123.708
2889,12.3333,96.538,166.55,124.579
2890,13.4152,96.7719,166.684,123.129
2891,12.4035,97.0468,166.655,123.895
2892,12.3509,99.0643,165.936,122.649
2893,12.7485,97.269,165.292,124.69
2894,12.5205,98.2047,165.07,124.205
2895,12.3099,98.6491,164.661,124.38
2896,12.152,97.5497,165.526,124.772
2897,13.1287,98.7953,165.93,122.146
2898,12.0234,99.5146,164.292,124.17
2899,12.9181,96.6082,165.392,125.082
2900,13.1871,96.7544,166.269,123.789
2901,12.5029,96.3918,164.684,126.421
2902,11.8363,96.193,165.924,126.047
2903,11.3801,97.6199,165.526,125.474
2904,12.7485,96.9649,163.918,126.368
2905,13.2105,98.9825,163.538,124.269
2906,13.5497,98.4444,162.842,125.164
2907,13.4444,99.4854,165.199,121.871
2908,12.0175,96.1345,165.713,126.135
2909,11.8012,97.1579,166.637,124.404
2910,12.6959,97.731,163.304,126.269
2911,12.8304,95.8947,167.667,123.608
2912,12.9766,98.1988,165.158,123.667
2913,12.3158,97.0643,163.959,126.661
2914,12.5088,97.3684,164.749,125.374
2915,12.1111,98.1637,165.69,124.035
2916,12.6784,97.152,165.263,124.906
2917,12.6901,96.7251,166.789,123.795
2918,12.6257,95.5556,167.614,124.205
2919,12.8538,99.1404,164.596,123.409
2920,12.5322,99.4152,165.363,122.69
2921,11.3158,98.8772,165.316,124.491
2922,12.0819,99.7485,165.187,122.982
2923,13.0117,96.614,165.614,124.76
2924,12.7836,97.8655,167.222,122.129
2925,12.0117,96.2807,165.193,126.515
2926,11.7778,96.5088,166.971,124.743
2927,12.0468,99.4386,167.135,121.38
2928,12.3099,95.8655,165.942,125.883
2929,12.4912,96.9123,165.152,125.444
2930,12.2281,98.6316,166.275,122.865
2931,12.462,98.3392,166.216,122.982
2932,11.7895,96.7895,167.228,124.193
2933,12.9883,96.0994,166.456,124.456
2934,13.3918,95.7485,165.246,125.614
2935,12.7719,96.655,166.608,123.965
2936,11.9415,96.7135,166.848,124.497
2937,12.4912,96.7719,167.854,122.883
2938,13.152,96.731,166.398,123.719
2939,12.9532,97.5322,165.497,124.018
2940,11.9591,97.9883,165.807,124.246
2941,12.9415,96.2573,165.111,125.69
2942,12.0409,97.6608,164.83,125.468
2943,12.5965,97.3743,165.789,124.24
2944,12.3041,96.614,165.889,125.193
2945,12.4912,97.8012,165.614,124.094
2946,12.5556,98.269,168.491,120.684
2947,12.5497,99.7836,165.152,122.515
2948,12.5673,99.2222,166.351,121.86
2949,13.4678,97.6667,163.936,124.93
2950,12.462,94.538,166.31,126.69
2951,12.4094,95.0702,167.029,125.491
2952,12.2515,95.7427,166.035,125.971
2953,12.1637,98.6667,164.591,124.579
2954,11.5497,97.386,166.585,124.48
2955,13.1111,99.6257,164.743,122.52
2956,12.7661,99.2573,165.889,122.088
2957,12.6784,96.2515,166.175,124.895
2958,10.8538,98.1462,168.456,122.544
2959,11.8596,98.1228,165.462,124.556
2960,11.8363,95.0117,167.538,125.614
2961,12.7251,97.152,164.316,125.807
2962,12.3977,98.193,165.316,124.094
2963,12.6082,97.0234,166.035,124.333
2964,11.4094,97.8421,166.018,124.731
2965,11.8655,96.883,166.053,125.199
2966,13.8012,97.6199,162.994,125.585
2967,12.076,96.4386,168.404,123.082
2968,11.1696,97.6257,165.421,125.784
2969,12.3801,101.427,165.339,120.854
2970,12.3333,97.7836,164.421,125.462
2971,12.2749,97.6082,167.444,122.673
2972,13.1579,96.4678,166.789,123.585
2973,12.6842,98.7953,165.982,122.538
2974,11.4854,99.0175,164.556,124.942
2975,11.3509,97.152,166.784,124.713
2976,11.1754,99.0702,163.959,125.795
2977,12.1637,97.7953,164.591,125.45
2978,12.3392,97.5029,165.649,124.509
2979,12.4152,96.269,167.567,123.749
2980,12.0643,95.9942,167.754,124.187
2981,12.9591,97.5556,165.713,123.772
2982,11.5088,98.4327,164.45,125.608
2983,12.7018,98.9474,164.444,123.906
2984,13.2047,96.6257,165.854,124.316
2985,12.4971,95.8713,167.292,124.339
2986,12.4211,97.6725,165.585,124.322
2987,12.2573,97.4152,165.713,124.614
2988,12.5673,95.3801,165.62,126.433
2989,12.6082,98.3918,164.053,124.947
2990,10.9883,98.1579,167.667,123.187
2991,12.5263,95.7953,166.322,125.357
2992,13.4912,96.462,165.947,124.099
2993,12.152,98.8246,164.608,124.415
2994,11.3392,98.8655,166.842,122.953
2995,12.3509,98.3626,165.275,124.012
2996,12.1462,97.0468,166.813,123.994
2997,12.1696,99.4795,165.053,123.298
2998,13.0409,97.269,166.076,123.614
2999,12.0994,97.731,166.702,123.468
3000,13.6725,97.1754,165.398,123.754
3001,12.2865,99.0877,164.801,123.825
3002,13.1637,94.7778,168.035,124.023
3003,12.0819,97.3216,166.936,123.661
3004,12.9064,98.3743,164.503,124.216
3005,12.7602,95.2047,166.503,125.532
3006,11.7778,96.3801,167.632,124.211
3007,12.9766,96.8187,164.211,125.994
3008,13.7193,97.1462,164.696,124.439
3009,11.9942,99.2398,163.409,125.357
3010,12.5731,99.8012,164.503,123.123
3011,12.6374,98.8012,163.994,124.567
3012,13.3801,97.3743,163.52,125.725
3013,12.9415,95.8538,165.737,125.468
3014,12.0819,96.7018,166.281,124.936
3015,12.8538,98.0292,164.088,125.029
3016,11.4503,96.8187,165.784,125.947
3017,11.7485,98.538,166.439,123.275
3018,11.1228,98.5731,166.749,123.556
3019,13.1988,95.386,166.485,124.93
3020,11.8304,98.345,164.333,125.491
3021,12.117,97.807,165.62,124.456
3022,12.7953,97.9006,164.532,124.772
3023,13.0819,96.7778,165.158,124.982
3024,11.7602,99.0585,166.181,123
3025,11.538,99.1462,166.69,122.626
3026,12.924,96.8363,165.965,124.275
3027,12.1696,96.9123,164.573,126.345
3028,11.7018,99.5322,165.462,123.304
3029,12.2456,95.3099,167.462,124.982
3030,11.5439,98.1404,167.105,123.211
3031,12.345,97.9825,164.842,124.83
3032,13.3275,95.7251,166.316,124.632
3033,12.1579,96.1345,167.339,124.368
3034,11.9123,96.731,165.269,126.088
3035,12.5673,99.5146,165.924,121.994
3036,12.9942,99.4269,165.608,121.971
3037,12.8772,95.6959,166.363,125.064
3038,12.1053,99.2807,164.076,124.538
3039,13.0292,97.5497,165.035,124.386
3040,13.7719,95.193,165.456,125.579
3041,12.2865,98.924,165.52,123.269
3042,13.0409,99,164.789,123.17
3043,11.655,97.6842,167.275,123.386
3044,12.8947,96.8713,165.626,124.608
3045,13.5439,97.5088,165.988,122.959
3046,11.8772,98.0234,164.953,125.146
3047,12.3918,98.0585,166.421,123.129
3048,11.6023,98.8246,165.047,124.526
3049,12.269,97.7193,165.567,124.444
3050,13.0526,95.2807,166.994,124.673
3051,12.8889,97.0409,164.825,125.246
3052,12.4503,100,162.836,124.713
3053,12.9883,98.2807,164.076,124.655
3054,13.5614,97.8538,162.427,126.158
3055,12,98.5731,165.444,123.982
3056,12.6257,94.9766,166.327,126.07
3057,11.8363,98.6842,166.164,123.316
3058,12.3509,95.8713,165.409,126.368
3059,13.0292,94.4854,165.649,126.836
3060,12.6433,97.8187,165.345,124.193
3061,12.3626,96.8538,165.222,125.561
3062,11.6316,99.2164,166.029,123.123
3063,12.3918,96.3275,165.906,125.374
3064,12.076,96.9415,165.836,125.146
3065,12.1696,97.5673,167.357,122.906
3066,11.0175,99.0936,164.187,125.702
3067,12.9591,97.3333,165.006,124.702
3068,12.6374,95.8947,167.322,124.146
3069,12.1287,98.7778,164.17,124.924
3070,11.2573,98.0292,166.573,124.14
3071,12.6842,96.345,165.129,125.842
3072,11.2339,95.5146,166.865,126.386
3073,12.8889,98.0175,165.351,123.743
3074,12.9708,97.7368,164.38,124.912
3075,13.4737,95.8304,166.433,124.263
3076,12.4795,95.5205,167.246,124.754
3077,12.8538,95.7895,167.035,124.322
3078,12.5322,95.9708,166.877,124.62
3079,12.2749,98.7251,166.105,122.895
3080,12.9006,95.117,163.807,128.175
3081,12.8246,95.9474,168.585,122.643
3082,11.8129,96.0117,167.07,125.105
3083,13.6667,96.8421,163.462,126.029
3084,11.9357,98.0117,165.965,124.088
3085,12.1345,96.9883,167.094,123.784
3086,11.9474,96.3275,166.228,125.497
3087,11.8421,99.4035,165.83,122.924
3088,13.1404,100.368,163.52,122.971
3089,13.1462,98.6023,163.48,124.772
3090,12.7719,99.655,164.053,123.52
3091,12.4327,98.883,164.117,124.567
3092,12.3626,99.1111,164.725,123.801
3093,12.6374,97.345,166.409,123.608
3094,12.883,96.4035,164.38,126.333
3095,11.7778,99.8012,167.082,121.339
3096,12.3158,97.6667,165.468,124.55
3097,11.0351,100.041,165.772,123.152
3098,11.6667,97.8304,163.959,126.544
3099,12.6374,97.9123,165.228,124.222
3100,12.9064,97.0994,167.351,122.643
3101,12.0877,101.018,163.76,123.135
3102,12.462,99.2047,165.088,123.246
3103,12.7018,97.0819,167.281,122.936
3104,12.5088,98.3275,165.772,123.392
3105,11.3626,99.3216,166.409,122.906
3106,12.1754,95.4737,166.713,125.637
3107,12.1637,97.4327,164.795,125.608
3108,12.5848,98.0936,165.573,123.749
3109,11.3216,98.2398,165.848,124.591
3110,12.2281,96.9649,165.404,125.404
3111,12.7427,96.7076,167,123.55
3112,11.8129,98.462,166.778,122.947
3113,13.7895,97.3099,166.497,122.404
3114,12.5614,98.807,163.105,125.526
3115,11.8772,98.8947,165.216,124.012
3116,12.4269,100.316,163.257,124
3117,12.1871,100.292,163.959,123.561
3118,10.8421,98.0526,165.789,125.316
3119,11.8538,98.269,166.427,123.45
3120,12.807,96.9591,167.211,123.023
3121,12.5146,97.0819,165.45,124.953
3122,13.2865,97.9357,163.263,125.515
3123,11.883,97.731,166.626,123.76
3124,12.0409,95.0292,167.269,125.661
3125,12.5263,99.2573,165.702,122.515
3126,11.2982,97.0234,167.959,123.719
3127,13.6725,97.8947,165.702,122.731
3128,11.7602,98.3392,167,122.901
3129,11.8363,99.0702,164.971,124.123
3130,12.1462,97.2865,166.468,124.099
3131,12.2573,98.9474,166.374,122.421
3132,12.4561,98.4971,163.988,125.058
3133,12.5848,98.386,165.292,123.737
3134,12.6199,97.2515,165.573,124.556
3135,12.8421,97.5439,166.228,123.386
3136,12.6023,96.3333,166.632,124.433
3137,12.6374,94.2573,166.854,126.251
3138,13.1404,96.3041,164.901,125.655
3139,12.5673,96.5439,166.474,124.415
3140,11.1754,100.713,165.216,122.895
3141,12.4795,99.0292,164.971,123.52
3142,12.4327,96.5263,164.632,126.409
3143,13.2749,99.6725,163.848,123.205
3144,13.0351,96.0877,165.257,125.62
3145,11.5556,99.1579,165.55,123.737
3146,12.2982,95.0936,168.029,124.579
3147,12.4444,98.7485,166.275,122.532
3148,11.6082,97.807,166.801,123.784
3149,12.9591,98.5731,163.918,124.55
3150,12.4737,97.3509,166.819,123.357
3151,12.3392,97.8947,165.596,124.17
3152,12.7602,99.1111,165.38,122.749
3153,12.8889,96.345,164.795,125.971
3154,12.3158,98.0585,166.608,123.018
3155,12.3041,98.3977,164.865,124.433
3156,12.386,97.8012,166.316,123.497
3157,13.462,98.2515,165.222,123.064
3158,12.2339,98.0468,163.38,126.339
3159,11.0585,99.9825,164.573,124.386
3160,13.2339,96.5146,165.69,124.561
3161,12.0819,99.0702,166.058,122.789
3162,12.9298,96.9123,166.228,123.93
3163,12.883,98.1637,165.614,123.339
3164,12.4327,98.1813,165.661,123.725
3165,12.3743,98.1345,162.211,127.281
3166,12.4503,96.0058,166.871,124.673
3167,12.9415,98.5848,165.234,123.24
3168,12.4211,99.4561,164.901,123.222
3169,12.655,95.2749,166.456,125.614
3170,12.7778,99.4912,163.152,124.579
3171,13.7836,97.8655,163.772,124.579
3172,13.3743,98.345,164.942,123.339
3173,12.5556,96.7368,164.661,126.047
3174,11.8713,95.8772,165.287,126.965
3175,12.8129,95.8889,165.509,125.789
3176,11.9064,97.0468,166.129,124.918
3177,11.4152,98.6491,165.146,124.789
3178,13.0468,99.7193,164.082,123.152
3179,12.2924,97.0585,165.556,125.094
3180,11.8596,99.1345,162.854,126.152
3181,12,98.6608,164.754,124.585
3182,11.2632,98.0994,165.462,125.175
3183,12.2632,98.0292,163.52,126.187
3184,12.1754,97.7836,165.17,124.871
3185,10.8947,96.4678,169.596,123.041
3186,11.7135,99.9649,164.865,123.456
3187,12.2105,98.9942,163.07,125.725
3188,12.5848,99.2281,164.281,123.906
3189,11.5673,96.9883,166.602,124.842
3190,13.1228,96.9942,166.994,122.889
3191,12.7135,94.7778,167.123,125.386
3192,11.9181,99.0234,165.801,123.257
3193,12.5205,96.9649,166.216,124.298
3194,12.3158,94.3626,166.053,127.269
3195,12.6257,96.7602,164.731,125.883
3196,12.9708,101.883,162.86,122.287
3197,12.1462,98.9298,166.117,122.807
3198,12.8772,98.6082,165.509,123.006
3199,12.4503,98.4269,163.977,125.146
3200,12.3567,98.2398,166.228,123.175
3201,12.1462,97.4503,165.281,125.123
3202,11.7427,99.4912,165.865,122.901
3203,11.9181,98.1111,166.906,123.064
3204,12.8246,99.3509,167.082,120.743
3205,12.6491,98.0175,162.31,127.023
3206,12.2632,97.883,162.901,126.953
3207,12.5614,98.5322,164.053,124.854
3208,12.4386,95.6959,167.468,124.398
3209,13.2398,97.7427,166.158,122.86
3210,12.3801,101.088,165.094,121.439
3211,12.731,98.6082,164.345,124.316
3212,13.2105,97.1754,165.292,124.322
3213,12.2749,98.4737,165.339,123.912
3214,12.9532,100.006,165.977,121.064
3215,11.4386,99.8421,164.117,124.602
3216,11.8187,96.0409,168.094,124.047
3217,11.6374,97.0292,166.07,125.263
3218,13.2515,97.5205,165.327,123.901
3219,12.5556,97.8363,166.105,123.503
3220,11.3918,96.883,167.567,124.158
3221,12.0819,96.8246,166.632,124.462
3222,12.5965,98.2047,163.064,126.135
3223,11.7485,97.6199,165.45,125.181
3224,11.9591,98.0175,165.398,124.626
3225,12.386,100.731,166.766,120.117
3226,13.1754,97.9708,168.152,120.702
3227,12.848,95.7602,165.895,125.497
3228,11.8012,96.4327,168.807,122.959
3229,13.1462,98.1579,164.632,124.064
3230,12.5205,97.4386,165.187,124.854
3231,12.6959,98.1637,166.105,123.035
3232,13.0936,97.0877,165.982,123.836
3233,12.3216,98.2573,166.62,122.801
3234,12.2982,99.655,165.292,122.754
3235,12.9064,96.9006,164.871,125.322
3236,13.2632,96.1754,167.708,122.854
3237,12.8538,95.6082,165.24,126.298
3238,12.5906,96.2632,166.351,124.795
3239,12.4386,99.0643,164.982,123.515
3240,12.345,97.345,164.971,125.339
3241,13.0819,95.0819,166.772,125.064
3242,13.4269,100.251,162.474,123.848
3243,12.2632,98.269,165.246,124.222
3244,12.0234,97.7427,164.982,125.251
3245,12.5205,98.7193,164.737,124.023
3246,13.0585,95.614,165.053,126.275
3247,12.4444,98.3801,165.655,123.52
3248,12.8246,99.6959,164.93,122.55
3249,12.6257,97.4152,163.684,126.275
3250,11.7719,98.7427,162.69,126.795
3251,12.0409,98.0351,164.608,125.316
3252,12.6433,98.4678,165.181,123.708
3253,12.1754,98.2164,166.439,123.17
3254,12.1404,98.7661,166.257,122.836
3255,11.4912,98.7485,166.304,123.456
3256,11.9123,99.3158,164.784,123.988
3257,12.4035,97.9825,163.912,125.702
3258,13.5029,95.8129,167.351,123.333
3259,11.7485,98.0643,164.456,125.731
3260,10.8947,98.807,166.339,123.959
3261,14.1053,97.8246,164.673,123.398
3262,13.345,97.2456,165.45,123.959
3263,12.5263,95.5848,167.895,123.994
3264,12.0234,97.1813,167.316,123.48
3265,11.0234,99.4912,167.696,121.789
3266,11.3041,100.52,165.637,122.538
3267,12.8129,94.3626,168.865,123.959
3268,12.7895,97.2222,166.977,123.012
3269,13.0292,97.3743,165.181,124.415
3270,11.9942,97.8947,165.099,125.012
3271,12.7251,99.7193,165.105,122.45
3272,12.8596,97.2398,165.55,124.351
3273,13.2924,95.7836,164.567,126.357
3274,12.5789,96.3275,164.304,126.789
3275,12.9181,95.5088,164.591,126.982
3276,11.538,96.0175,166.503,125.942
3277,12.462,98.1696,165.725,123.643
3278,12.6842,98.8129,164.386,124.117
3279,12.0292,95.1053,167.906,124.959
3280,12.9415,97.6901,165.865,123.503
3281,12.2398,98.8947,163.906,124.959
3282,14.2164,96.0292,166.263,123.491
3283,13.5614,97.0351,166.047,123.357
3284,12.9474,97.3743,165.918,123.76
3285,12.538,96.9298,166.836,123.696
3286,12.7251,98.3392,163.942,124.994
3287,12.3977,97.8246,166.538,123.24
3288,13.2632,96.5146,163.994,126.228
3289,12.9006,97.538,165.345,124.216
3290,11.731,98.4152,165.117,124.737
3291,11.8772,98.9766,164.199,124.947
3292,12.076,100.491,167.415,120.018
3293,12.1228,95.1345,166.982,125.76
3294,13.2339,100.316,161.947,124.503
3295,12.9123,99.8363,163.058,124.193
3296,12.4327,98.5556,164.567,124.444
3297,12.7602,98.3801,165.211,123.649
3298,12.3626,98.7018,164.76,124.175
3299,11.5673,95.883,167.632,124.918
3300,11.8187,97.0292,165.561,125.591
3301,12.0585,99.2982,165.48,123.164
3302,11.7485,99.3977,165.713,123.14
3303,12.1988,95.5556,165.544,126.702
3304,12.8713,98.1404,164.234,124.754
3305,12.2632,99.3509,164.404,123.982
3306,12.2807,97.0409,167.339,123.339
3307,12.2924,97.8889,165.485,124.333
3308,11.7485,98.0819,164.146,126.023
3309,12.9181,96.9708,164.772,125.339
3310,11.6491,97.8246,167.094,123.433
3311,12.2515,98.9649,165.643,123.14
3312,12.0175,99.6257,165.322,123.035
3313,13.0819,97.8421,163.018,126.058
3314,11.9591,96.0936,166.906,125.041
3315,13.1287,98.6901,165.433,122.749
3316,13.152,97.2281,162.772,126.848
3317,10.9825,97.6023,167.737,123.678
3318,12.6316,99.5029,165.573,122.292
3319,13.5906,97.3509,165.281,123.778
3320,12.1462,98.2222,168.158,121.474
3321,12.6725,96.3626,164.667,126.298
3322,13.1345,98.5146,164.667,123.684
3323,11.7193,98.883,166.205,123.193
3324,11.8538,98.2456,168.942,120.959
3325,12.269,97.5322,165.07,125.129
3326,12.3684,98.4094,163.421,125.801
3327,11.6901,99.1053,165.673,123.532
3328,13.269,98.9415,165.345,122.444
3329,10.5556,98.8772,164.83,125.737
3330,13.0058,97.8304,164.778,124.386
3331,11.924,96.807,164.129,127.14
3332,11.4678,98.2924,165.725,124.515
3333,12.3041,98.1345,165.421,124.14
3334,12.5322,99.4152,164.123,123.93
3335,12.1579,98.1871,165.421,124.234
3336,12.2924,98.1053,166.556,123.047
3337,13.076,99.0877,164.526,123.31
3338,11.4503,98.7135,164.76,125.076
3339,12.6608,98.4327,165.515,123.392
3340,12.6199,100.398,167.263,119.719
3341,11.5731,97.7544,165.485,125.187
3342,12.1696,98.4094,167.596,121.825
3343,12.5088,95.1404,165.936,126.415
3344,12.0409,98.3041,166.971,122.684
3345,12.3275,94.924,167.158,125.591
3346,12.9006,96.6901,165.515,124.895
3347,12.6199,98.9766,164.205,124.199
3348,12.7953,98.5965,165.982,122.626
3349,12.7895,99.0877,162.596,125.526
3350,11.9181,97.6725,163.404,127.006
3351,11.8713,99.4386,165.193,123.497
3352,12.5088,96.7895,165.526,125.175
3353,12.6199,99.8246,164.263,123.292
3354,13.807,98.0643,164.83,123.298
3355,12.6199,96.6608,165.018,125.702
3356,12.4678,96.1579,165.871,125.503
3357,13.0526,95.8889,165.287,125.772
3358,11.6901,97.8363,165.503,124.971
3359,11.5322,95.1988,164.971,128.298
3360,11.7485,96.9649,165.117,126.17
3361,11.4971,100.193,164.234,124.076
3362,13.3801,97.2105,166.228,123.181
3363,11.8129,98.4094,165.515,124.263
3364,12.9591,97.731,164.24,125.07
3365,12.9883,96.4971,162.865,127.649
3366,12.4854,96.4444,163.942,127.129
3367,12.8538,99.614,166.474,121.058
3368,12.0877,97.3509,164.111,126.45
3369,12.7719,96.5673,167.719,122.942
3370,12.6608,96.9123,164.468,125.959
3371,11.462,98.5497,166.269,123.719
3372,12.3041,96.2398,166.304,125.152
3373,12.9064,98.7544,165.924,122.415
3374,12,100.135,166.199,121.667
3375,13.0468,95.614,163.474,127.865
3376,12.3099,99.2281,167.433,121.029
3377,12.6374,99.7895,164.392,123.181
3378,12.3041,97.4678,164.942,125.287
3379,12.0117,99.2339,164.088,124.667
3380,13.4444,97.3684,164.901,124.287
3381,12.2573,95.8246,165.222,126.696
3382,13.1696,98.1287,164.427,124.275
3383,13.4561,97.5205,164.152,124.871
3384,13.1345,96.6199,164.076,126.17
3385,12.386,98.614,166.14,122.86
3386,12.1988,96.9123,166.556,124.333
3387,12.2105,98.9591,166.702,122.129
3388,13.1053,97.5263,164.977,124.392
3389,10.848,99.5322,166.076,123.544
3390,12.8304,98.3392,166.17,122.661
3391,13.0175,96.9357,164.901,125.146
3392,13.8596,98.2281,163.392,124.52
3393,12.5965,98.0702,165.52,123.813
3394,11.7836,99.3626,165.444,123.409
3395,13.7427,98.8713,165.409,121.977
3396,11.9474,99.7076,163.573,124.772
3397,12.1345,99.117,164.526,124.222
3398,11.5322,96.5497,167.404,124.515
3399,11.9766,97.3743,166.351,124.298
3400,11.5439,100.491,164.327,123.637
3401,11.7602,97.3392,168.363,122.538
3402,11.8363,97.2398,167.018,123.906
3403,12.9064,99.4854,163.678,123.93
