Replication,Phoenix,Denver,Chicago,Atlanta
161,11.076,98.4327,165.491,125
162,13.0643,96.9181,164,126.018
163,11.4854,98.3626,165.819,124.333
164,12.5263,97.3099,164.871,125.292
165,12.3626,96.9649,163.427,127.246
166,13.2105,98.4094,166.38,122
167,13.2222,97.2281,163.205,126.345
168,12.807,99.6608,164.696,122.836
169,13.2573,96.5205,166.491,123.731
170,11.4386,97.6842,165.62,125.257
171,13.5205,98.0058,165.573,122.901
172,13.0877,99.386,164.468,123.058
173,12.8246,96.3041,163.988,126.883
174,13.0994,96.0877,166.749,124.064
175,13.1871,98.4795,163.643,124.69
176,13.0585,99.3509,163.901,123.69
177,12.5848,99.8187,164.69,122.906
178,12.0409,99.2515,164.573,124.135
179,12.2632,99.5146,165.433,122.789
180,12.3041,95.7076,164.889,127.099
181,13.3567,97.5497,164.614,124.48
182,12.4678,95.4211,166.497,125.614
183,11.7778,96.6959,165.462,126.064
184,12.5789,97.386,165.988,124.047
185,13.2515,99.1637,163.784,123.801
186,11.7895,98.4386,165.596,124.175
187,13.5789,97.6959,163.971,124.754
188,12.8772,96.8363,163.538,126.749
189,12.8187,96.3626,165.327,125.491
190,12.0936,98.7485,166.117,123.041
191,12.0409,96.5439,165.269,126.146
192,12.3509,97.3099,164.813,125.526
193,11.9766,94.7135,166.667,126.643
194,11.7719,100.018,166.012,122.199
195,12.2164,95.1462,166.632,126.006
196,11.7193,98.5439,166.357,123.38
197,12,98.924,165.737,123.339
198,11.152,98.6023,166.175,124.07
199,11.6901,98.5731,162.538,127.199
200,13.0819,97.0819,165.655,124.181
201,12.6433,100.105,162.982,124.269
202,12.8129,97.5731,164.322,125.292
203,12.8187,95.8129,166.444,124.924
204,11.614,95.4211,167.614,125.351
205,12.2105,98.193,164.427,125.17
206,12.4386,99.4269,165.93,122.205
207,11.4503,100.392,166.696,121.462
208,11.4152,99.5146,164.795,124.275
209,12.3977,97.1754,166.222,124.205
210,12.5439,97.3918,166.45,123.614
211,12.4503,100.491,164.357,122.702
212,12.1287,97.7485,166.339,123.784
213,12.2456,97.5965,167.041,123.117
214,12.7778,98.076,166.129,123.018
215,12.7368,96.9357,165.912,124.415
216,11.5029,99.4854,166.275,122.737
217,12.0351,97.7135,166.503,123.749
218,12.152,97.0877,166.579,124.181
219,12.4971,97.3977,167.456,122.649
220,12.7661,97.4327,163.754,126.047
221,11.5497,97.614,164.556,126.281
222,11.9942,97.8889,166.187,123.93
223,11.8363,97.6199,165.398,125.146
224,11.4912,99.2398,166.696,122.573
225,11.3158,95.7544,166.251,126.678
226,11.8538,96.2281,168.088,123.83
227,11.8655,96.4152,165.901,125.819
228,12.3216,96.5906,167.45,123.637
229,12.2515,98.614,165.602,123.532
230,11.117,96.8363,167.053,124.994
231,13.3684,97.3567,164.538,124.737
232,12.6959,98.3392,164.333,124.632
233,12.5263,98.538,164.988,123.947
234,12.5322,98.5731,166.135,122.76
235,12.2222,98.3509,167.012,122.415
236,12.5146,97.5146,165.129,124.842
237,12.7602,97.9357,163.415,125.889
238,12.1696,96.848,165.789,125.193
239,12.1988,97.8304,167.901,122.07
240,12.7836,98.2105,165.041,123.965
241,12.1228,98.6842,166.637,122.556
242,12.807,99.0526,165.275,122.865
243,11.193,95.2982,168.398,125.111
244,12.0819,97.8947,165.368,124.655
245,12.8655,99.4503,163.333,124.351
246,13.5146,99.5789,163.181,123.725
247,13.2047,98.614,164.251,123.93
248,12.1462,97.7661,165.749,124.339
249,11.1813,97.5497,167.222,124.047
250,12.1287,99.4152,165.211,123.246
251,11.9474,99.4737,164.865,123.713
252,12.5029,95.6842,167.743,124.07
253,12.2865,100.041,163.316,124.357
254,13.4444,95.8596,162.971,127.725
255,13.0117,97.0292,164.696,125.263
256,12.6725,97.3567,166.673,123.298
257,11.6199,99.8947,165.456,123.029
258,12.3626,99.9766,162.199,125.462
259,14.3041,96.4912,164.585,124.62
260,13.2164,96.9415,164.883,124.959
261,11.9942,94.9357,166.76,126.31
262,11.2807,98.9532,166.199,123.567
263,11.9649,97.6433,166.24,124.152
264,11.5965,97.0526,165.813,125.538
265,11.0468,98.5848,165.503,124.865
266,12.4854,99.462,163.17,124.883
267,12.5673,95.8129,166.058,125.561
268,11.7135,98.4971,166.38,123.409
269,12.1754,97.4561,166.462,123.906
270,12.345,96.5029,166.912,124.24
271,11.4678,96.1345,167.181,125.216
272,11.4211,97.3333,167.69,123.556
273,12.5497,96.269,165.14,126.041
274,12.8596,97.8713,165.789,123.48
275,12.4035,98.7602,165.708,123.129
276,13.4795,99.2456,163.778,123.497
277,11.8363,96.6959,166.591,124.877
278,11.0936,97.4094,167.842,123.655
279,12.614,98.5088,166.626,122.251
280,12.8538,96.4971,165.257,125.392
281,12.9532,98.0702,166.38,122.596
282,12.4269,97.5906,164.848,125.135
283,11.6842,95.7895,167.251,125.275
284,12.1871,98.7836,163.795,125.234
285,14.3041,97.0936,163.901,124.702
286,13.3918,98.0877,165.076,123.444
287,12.8655,97.5965,164.889,124.649
288,12.3275,98.1988,165.374,124.099
289,13.1345,95.6959,167.216,123.953
290,12.3801,97.3918,166.842,123.386
291,12.1345,96.6608,166.977,124.228
292,12.2339,98.2339,166.041,123.491
293,11.5673,95.8772,167.883,124.673
294,12.4737,96.8421,166.409,124.275
295,12.6374,97.8421,164.877,124.643
296,12.3216,97.9415,164.83,124.906
297,12.4386,96.538,166.111,124.912
298,12.7485,96.0117,167.333,123.906
299,12.0585,96.2515,166.673,125.018
300,12.0292,98.3509,163.749,125.871
301,12.0702,97.7427,165.474,124.713
302,12.2982,96.5556,166.023,125.123
303,12.1696,95.807,164.164,127.86
304,12.4503,98.9123,165.292,123.345
305,12.0702,96.2749,166.292,125.363
306,10.9883,99.8772,166.76,122.374
307,12.6433,97.3275,164.591,125.439
308,12.1462,99.0409,164.123,124.69
309,11.731,98.6082,168.439,121.222
310,12.4444,96.0117,164.749,126.795
311,11.6784,97.5146,165.561,125.246
312,13.6023,99.6374,162.462,124.298
313,12.3626,96.2398,165.31,126.088
314,13.4327,96.2456,165.474,124.848
315,12.3158,96.2456,166.924,124.515
316,12.2281,96.7602,167.76,123.251
317,11.6491,99.2047,166.187,122.959
318,13.6023,97.0468,167.813,121.538
319,12.5439,96.3333,165.713,125.409
320,13.1345,94.8655,166.48,125.52
321,12.1404,99.7368,164.17,123.953
322,13.6667,96.5263,166.31,123.497
323,12.9006,96.8187,164.924,125.357
324,12.6316,96.7135,165.924,124.731
325,12.5322,100.713,167.971,118.784
326,12.731,98.6199,166.69,121.959
327,12.3743,97.0994,163.819,126.708
328,12.8187,95.8363,165.754,125.591
329,12.7251,98.1287,164.088,125.058
330,12.0585,97.5848,165.357,125
331,12.0058,98.8363,167.035,122.123
332,11.7544,100.018,163.924,124.304
333,12.8713,98.3918,165.947,122.789
334,11.8655,98.0175,165.649,124.468
335,13.6316,99.0351,164.17,123.164
336,13.7661,95.9006,163.807,126.526
337,11.9123,97.5848,165.222,125.281
338,11.8421,94.5789,166.532,127.047
339,12.0292,98.5614,165.351,124.058
340,12.6082,96.2515,166.708,124.433
341,12.9649,98.1637,165.906,122.965
342,12.8947,95.5088,166,125.596
343,11.538,100.246,167.462,120.754
344,13.0877,96.6667,167.146,123.099
345,11.4444,98.117,167.895,122.544
346,11.7018,99.3275,165.819,123.152
347,13.1871,98.4678,164.667,123.678
348,12.1754,96.9064,165.626,125.292
349,11.5556,99.3743,165.029,124.041
350,12.1287,97.5439,166.83,123.497
351,12.0468,99.3333,164.725,123.895
352,12.5088,98.5731,164.877,124.041
353,13.6667,98.5146,162.567,125.251
354,12.6023,98.0702,164.45,124.877
355,12.0409,97.3567,167.567,123.035
356,13.5906,95.8304,164.667,125.912
357,13.2281,98.0936,165.076,123.602
358,12.7778,98.3041,165.146,123.772
359,12.8947,96.5789,166.129,124.398
360,12.2982,97.5205,166.327,123.854
361,13.2865,97.386,166.339,122.988
362,12.0702,98.8947,164.93,124.105
363,12.9825,97.9415,165.158,123.918
364,13.8772,99.5263,163.053,123.544
365,13.0351,97.2865,162.713,126.965
366,11.9123,97.7602,166.667,123.661
367,12.6257,96.7368,166.345,124.292
368,12.538,98.9883,165.047,123.427
369,12.1579,97.7836,164.468,125.591
370,12.0234,98.5789,164.696,124.702
371,12.7076,96.9006,164.678,125.713
372,11.9298,97.2632,164.754,126.053
373,12.7427,99.2398,164.07,123.947
374,11.5731,98.8129,165.538,124.076
375,11.848,97.2105,166.374,124.567
376,11.4211,97.4152,167.76,123.404
377,12.0351,100.029,163.906,124.029
378,13.269,97.7661,165.579,123.386
379,12.1754,96.883,165.503,125.439
380,12.7427,98.9766,164.357,123.924
381,13.1813,97.5322,165.883,123.404
382,12.0409,100.018,164.795,123.146
383,11.5906,96.883,165.462,126.064
384,12.5906,96.0468,166.901,124.462
385,12.5088,97.9006,166.608,122.982
386,12.7953,97.538,163.497,126.17
387,11.3801,95.6608,166.556,126.404
388,13.0292,100.129,162.263,124.579
389,12.7836,98.5731,165.415,123.228
390,13.3099,96.4561,164.749,125.485
391,11.848,97.1871,167.52,123.444
392,14.614,98.1871,163.462,123.737
393,11.386,99.0936,166.175,123.345
394,11.9883,100.211,164.462,123.339
395,12.0117,99.3684,165.485,123.135
396,12.1988,100.058,164.754,122.988
397,12.7836,96.9357,166.953,123.327
398,12.1813,97.5088,166.287,124.023
399,13.5848,97.1462,164.281,124.988
400,12.7193,97.386,166.035,123.86
401,11.731,98.9064,165.713,123.649
402,12.4094,96.883,167.023,123.684
403,12,93.6901,167.164,127.146
404,12.5439,97.0292,166.982,123.444
405,11.1637,100.737,165.591,122.509
406,12.1813,98.076,165.795,123.947
407,11.5614,97.3743,166.608,124.456
408,12.9708,96.193,163.673,127.164
409,11.883,98.6608,165.287,124.17
410,12.3392,97.614,165.433,124.614
411,11.2573,100.187,165.696,122.86
412,12.6842,96.4561,165.561,125.298
413,12.0409,96.9649,166.789,124.205
414,10.5497,98.6667,164.164,126.62
415,11.8538,98.3567,165.363,124.427
416,12.7661,94.8421,166.567,125.825
417,12.2105,97.9006,166.287,123.602
418,13.5673,95.7836,165.596,125.053
419,11.5029,98.9766,165.667,123.854
420,12.4971,96.9825,163.667,126.854
421,10.9123,97.9298,168.175,122.982
422,12.7485,96.9181,167.041,123.292
423,12.1754,98.5029,166.526,122.795
424,12.4503,97.9883,164.655,124.906
425,11.924,100.129,164.503,123.444
426,13.0585,95.8947,165.918,125.129
427,12.6199,97.9298,163.585,125.865
428,11.9766,97.614,165.684,124.725
429,12.4327,98.9766,164.544,124.047
430,12.8187,97.6082,167.754,121.819
431,11.655,98.5439,167.199,122.602
432,12.4211,99.5673,163.427,124.585
433,13.2047,99.0877,163.491,124.216
434,12.0409,98.6842,165.626,123.649
435,12.9649,99,166.152,121.883
436,13.0936,97.5497,166.456,122.901
437,12.4444,97.8596,167.029,122.667
438,13.538,97.7719,165.731,122.959
439,13.7661,98.0117,164.637,123.585
440,11.117,99.3275,165.24,124.316
441,13.5205,98.1988,165.959,122.322
442,12.0702,95.7076,166.86,125.363
443,12.3626,97.8713,167.041,122.725
444,11.5556,97.4211,167.883,123.14
445,12.1754,96.0058,168.509,123.31
446,11.614,101.287,164.509,122.591
447,12.2398,93.0351,168.053,126.673
448,13.1813,98.1813,164.807,123.83
449,13.0175,97.4971,164.813,124.673
450,13.4269,96.4211,163.591,126.561
451,12.883,97.6082,166.029,123.48
452,11.7251,98.1637,166.38,123.731
453,11.6316,99.0936,166.719,122.556
454,12.0409,98.6901,163.947,125.322
455,12.7076,97.8889,166.713,122.69
456,12.3567,97.3333,166.526,123.784
457,12.0643,98.5731,165.041,124.322
458,12.7661,97.4737,164.363,125.398
459,12.3333,98.7602,165.398,123.509
460,13.3333,95.9532,164.251,126.462
461,13.1579,98.538,164.795,123.509
462,12.4444,98.4035,164.146,125.006
463,12.4327,96.4678,166.216,124.883
464,12.2456,97.3801,164.795,125.579
465,12.4912,95.4327,166.924,125.152
466,12.4971,99.4737,163.643,124.386
467,11.8421,101.257,163.994,122.906
468,12.7018,96.5497,166.871,123.877
469,12.5556,96.4094,166.661,124.374
470,13.1228,97.9064,164.813,124.158
471,11.8246,96.6959,165.602,125.877
472,12.1696,97.7719,163.883,126.175
473,11.7602,100.602,164.936,122.702
474,13.9883,96.1111,166.55,123.351
475,11.2807,97.3567,165.468,125.895
476,11.0936,97.9708,164.561,126.374
477,12.4094,97.5322,165.339,124.719
478,12.6725,97.4503,165.485,124.392
479,11.2573,95.1111,168.146,125.485
480,12.614,97.462,164.977,124.947
481,13.0351,96.1754,165.772,125.018
482,12.8421,96.5965,163.608,126.953
483,11.848,101.333,164.544,122.275
484,13.269,97.9474,165.743,123.041
485,13.2865,95.7661,163.187,127.76
486,10.848,97.807,169.035,122.31
487,13.4211,96.6784,164.503,125.398
488,12.2339,98.3333,165.556,123.877
489,13.3275,97.4269,163.743,125.503
490,13.1696,97.1637,166.351,123.316
491,12,97.1813,165.251,125.567
492,11.655,98.6784,164.789,124.877
493,12.6491,98.2924,165.304,123.754
494,10.8129,97.3216,167.491,124.374
495,13.0643,97.8421,164.871,124.222
496,12.4386,96.3684,166.556,124.637
497,12.1228,97.8889,165.404,124.585
498,12.2515,95.6023,168.216,123.93
499,12.3977,97.2047,167.07,123.327
500,12.6082,98.0877,163.316,125.988
501,13.3977,96.8187,164.55,125.234
502,11.6257,98.3801,166.035,123.959
