Replication,Phoenix_Avg,Denver_Avg,Chicago_Avg,Atlanta_Avg
144,11.7719,98.9708,165.1170,124.1404
145,11.6316,96.3275,165.7076,126.3333
146,12.2047,96.8304,168.4854,122.4795
147,12.8187,98.0760,163.8596,125.2456
148,12.2456,99.5439,164.0819,124.1287
149,13.2047,97.8772,165.9649,122.9532
150,12.3158,98.0526,167.0117,122.6199
151,13.0877,98.5088,164.1871,124.2164
152,11.8129,99.8538,164.3392,123.9942
153,11.8246,98.0409,167.2865,122.8480
154,11.4620,99.3216,166.6316,122.5848
155,11.7135,96.2339,165.8947,126.1579
156,13.1404,97.9883,163.6199,125.2515
157,11.4795,99.9181,165.0877,123.5146
158,12.5848,98.1170,165.5263,123.7719
159,13.4035,96.5556,165.3392,124.7018
160,13.1754,97.3977,164.7310,124.6959
161,11.0760,98.4327,165.4912,125.0000
162,13.0643,96.9181,164.0000,126.0175
163,11.4854,98.3626,165.8187,124.3333
164,12.5263,97.3099,164.8713,125.2924
165,12.3626,96.9649,163.4269,127.2456
166,13.2105,98.4094,166.3801,122.0000
167,13.2222,97.2281,163.2047,126.3450
168,12.8070,99.6608,164.6959,122.8363
169,13.2573,96.5205,166.4912,123.7310
170,11.4386,97.6842,165.6199,125.2573
171,13.5205,98.0058,165.5731,122.9006
172,13.0877,99.3860,164.4678,123.0585
173,12.8246,96.3041,163.9883,126.8830
174,13.0994,96.0877,166.7485,124.0643
175,13.1871,98.4795,163.6433,124.6901
176,13.0585,99.3509,163.9006,123.6901
177,12.5848,99.8187,164.6901,122.9064
178,12.0409,99.2515,164.5731,124.1345
179,12.2632,99.5146,165.4327,122.7895
180,12.3041,95.7076,164.8889,127.0994
181,13.3567,97.5497,164.6140,124.4795
182,12.4678,95.4211,166.4971,125.6140
183,11.7778,96.6959,165.4620,126.0643
184,12.5789,97.3860,165.9883,124.0468
185,13.2515,99.1637,163.7836,123.8012
186,11.7895,98.4386,165.5965,124.1754
187,13.5789,97.6959,163.9708,124.7544
188,12.8772,96.8363,163.5380,126.7485
189,12.8187,96.3626,165.3275,125.4912
190,12.0936,98.7485,166.1170,123.0409
191,12.0409,96.5439,165.2690,126.1462
192,12.3509,97.3099,164.8129,125.5263
193,11.9766,94.7135,166.6667,126.6433
194,11.7719,100.0175,166.0117,122.1988
195,12.2164,95.1462,166.6316,126.0058
196,11.7193,98.5439,166.3567,123.3801
197,12.0000,98.9240,165.7368,123.3392
198,11.1520,98.6023,166.1754,124.0702
199,11.6901,98.5731,162.5380,127.1988
