metric,W,AWT_e,SWT_u,SWT_e,OT
W,1.0,0.9907831697605758,-0.602541942184542,0.008643483978852043,-0.6218670087195753
AWT_e,0.9907831697605758,1.0,-0.7050952446810036,0.00812129336611981,-0.6307707139312322
SWT_u,-0.602541942184542,-0.7050952446810036,1.0,-0.0026007946329672177,0.4609294151441706
SWT_e,0.008643483978852043,0.00812129336611981,-0.0026007946329672177,1.0,-0.08958624265082361
OT,-0.6218670087195753,-0.6307707139312322,0.4609294151441706,-0.08958624265082361,1.0
