rule,rule_label,n_configurations,mean_W,median_W,best_W,best_configuration,mean_AWT_e,mean_SWT_u,mean_OT
2,R2 - Bailey-Welch,33,0.5897346656454545,0.4610681008,0.417417276,"S3, N=13, R2 - Bailey-Welch",51.254263032727266,2.5618479000606063,0.9644455129363635
4,R4 - Benchmark,33,0.5899384590303031,0.4625914761,0.4172812321,"S3, N=13, R4 - Benchmark",50.657069032424246,2.595674576030303,0.9943900790212122
1,R1 - FCFS,33,0.5911358458454545,0.4642919384,0.4183006459,"S3, N=13, R1 - FCFS",50.58070828484849,2.6105418116969696,1.0068057597
3,R3 - Blocking,33,0.5956623479242423,0.4655174603,0.4202719792,"S3, N=13, R3 - Blocking",51.16975293212121,2.6197243670606056,0.9963531682757575
