strategy,n_urgent,rule,mean_objective,ci_lo_objective,ci_hi_objective,mean_el_app_wt,ci_lo_el_app,ci_hi_el_app,mean_ur_scan_wt,ci_lo_ur_scan,ci_hi_ur_scan,mean_el_scan_wt,mean_ot
1,18,3,0.7418666504,0.6911999991,0.7925333016,77.42183989,68.87541445,85.96826533,2.529201288,2.51768503,2.540717546,0.1960411354,0.5393877515
1,18,4,0.7385881951,0.6878359383,0.7893404518,76.90428242,68.34187645,85.46668839,2.527421483,2.515886929,2.538956037,0.09746674907,0.5382623077
1,19,1,0.9513859789,0.8822269426,1.020545015,112.8796697,101.2214118,124.5379276,2.515348648,2.503924162,2.526773133,0.09123321153,0.5195119033
1,19,2,0.9483885623,0.8792587729,1.017518352,113.5445367,101.8893643,125.1997091,2.452754025,2.441277452,2.464230598,0.2457459231,0.4936621122
1,19,3,0.9528155351,0.8837535758,1.021877495,113.4343265,101.7918536,125.0767993,2.498500899,2.487061824,2.509939974,0.197053235,0.5125622397
1,19,4,0.9495565715,0.8804442276,1.018668915,112.9128529,101.2613878,124.5643181,2.497106309,2.485663453,2.508549164,0.09737670537,0.5116111614
1,20,1,1.217088741,1.132322315,1.301855168,158.0512457,143.7686237,172.3338676,2.486767655,2.475083932,2.498451378,0.09104428318,0.4931286299
1,20,2,1.214299496,1.129590601,1.299008391,158.7517067,144.4781964,173.0252169,2.42413975,2.412408088,2.435871412,0.2465374308,0.4697271129
1,20,3,1.21866094,1.133966805,1.303355075,158.6451614,144.3788644,172.9114584,2.469100526,2.457422278,2.480778774,0.1978453144,0.4864834669
1,20,4,1.215346198,1.130611741,1.300080656,158.1069603,143.8293239,172.3845967,2.468100056,2.456355545,2.479844567,0.09718578311,0.4857756433
2,10,1,0.4350027513,0.4322336715,0.4377718311,13.96301545,13.59121604,14.33481486,3.167006077,3.153202645,3.180809509,0.08990020634,1.333881943
2,10,2,0.4343572585,0.4315761857,0.4371383314,14.58315755,14.20839553,14.95791956,3.127974744,3.11418386,3.141765628,0.2277709247,1.291624808
2,10,3,0.4365748712,0.4338105118,0.4393392306,14.44114301,14.06798822,14.81429779,3.15554118,3.141753107,3.169329253,0.1862791606,1.325359907
2,10,4,0.4339204369,0.4311522868,0.436688587,14.02745663,13.65535589,14.39955738,3.153813041,3.140004407,3.167621675,0.09475955922,1.321139196
2,11,1,0.4292977573,0.4259619248,0.4326335899,15.31279833,14.8251724,15.80042426,3.043351334,3.029403757,3.057298911,0.09032571623,1.31511901
2,11,2,0.4286955462,0.4253497082,0.4320413843,15.933922,15.44240851,16.42543548,3.004656952,2.990679893,3.018634012,0.2256620435,1.271244306
2,11,3,0.432861596,0.4295181067,0.4362050854,15.8017744,15.31265289,16.29089592,3.049230735,3.035375691,3.06308578,0.1876897696,1.305520191
2,11,4,0.4282764539,0.424939216,0.4316136919,15.37882974,14.89051483,15.86714464,3.030622207,3.016677618,3.044566795,0.09508624261,1.302085346
2,12,1,0.4265923557,0.4223349621,0.4308497494,17.18873613,16.51693709,17.86053516,2.918506052,2.904839469,2.932172635,0.09051568048,1.296066975
2,12,2,0.4260361419,0.4217673474,0.4303049363,17.80882079,17.13302701,18.48461456,2.880281306,2.866539356,2.894023255,0.2229644616,1.250329895
2,12,3,0.4321977691,0.4279265824,0.4364689558,17.68858116,17.01472986,18.36243247,2.94217736,2.928658547,2.955696173,0.188788823,1.285320312
2,12,4,0.4256255951,0.4213625046,0.4298886855,17.25551434,16.58248964,17.92853904,2.906227802,2.892544407,2.919911196,0.09505262492,1.282857658
2,13,1,0.4283569308,0.4224774893,0.4342363722,19.83344597,18.87066088,20.79623107,2.792706343,2.779848831,2.805563854,0.09081327766,1.276538127
2,13,2,0.4278906933,0.4219976684,0.4337837182,20.47017816,19.50125601,21.43910032,2.754399552,2.741429884,2.76736922,0.2203453218,1.229209641
2,13,3,0.436033048,0.4301510974,0.4419149985,20.34620309,19.38528552,21.30712065,2.834322266,2.821724082,2.846920451,0.1900250561,1.264817726
2,13,4,0.4274591195,0.4215519842,0.4333662547,19.90654632,18.937493,20.87559964,2.780709951,2.767860189,2.793559713,0.09522271206,1.263104685
