replication,el_app_wt,el_scan_wt,ur_scan_wt,ot,objective
0,173.405,0.192478,2.46168,0.43064,1.30569
1,118.537,0.188676,2.43462,0.425726,0.976093
2,44.8873,0.189663,2.51839,0.420539,0.547007
3,105.834,0.189869,2.54353,0.403867,0.912575
4,155.773,0.190739,2.50202,0.412423,1.20522
5,194.384,0.194161,2.38247,0.322609,1.42176
6,145.385,0.191929,2.41376,0.386749,1.13358
7,136.876,0.189449,2.33806,0.381793,1.07452
8,205.681,0.189833,2.50345,0.432945,1.50245
9,166.512,0.192445,2.46375,0.377182,1.26489
10,178.656,0.19326,2.52941,0.441554,1.34447
11,150.697,0.19095,2.43763,0.352746,1.16786
12,231.349,0.190199,2.49676,0.41324,1.6545
13,169.622,0.191313,2.54704,0.478426,1.29266
14,42.0747,0.188615,2.37382,0.389729,0.514202
15,104.006,0.192206,2.42829,0.425217,0.888895
16,205.61,0.19428,2.39387,0.404508,1.48985
17,163.956,0.189664,2.47836,0.398865,1.2513
18,134.013,0.190393,2.3953,0.397994,1.06384
19,184.742,0.189674,2.45332,0.411307,1.37225
20,164.208,0.190477,2.45791,0.337646,1.25053
21,292.679,0.18933,2.49852,0.370684,2.01975
22,71.9713,0.183915,2.4395,0.360508,0.699456
23,159.289,0.189955,2.46161,0.38164,1.22166
24,115.972,0.191639,2.42961,0.35808,0.960267
25,195.233,0.19088,2.45729,0.412642,1.43514
26,175.646,0.190593,2.37628,0.37759,1.30954
27,214.03,0.190638,2.43197,0.434384,1.54421
28,71.1871,0.18924,2.39846,0.418077,0.690228
29,84.7286,0.189569,2.55686,0.440234,0.788432
30,75.4246,0.187808,2.39449,0.338147,0.71501
31,341.145,0.188961,2.39442,0.386457,2.29667
32,94.0751,0.194789,2.40588,0.399344,0.827291
33,133.365,0.188836,2.39149,0.339082,1.05956
34,62.0415,0.189523,2.59564,0.403495,0.657699
35,185.338,0.191264,2.49438,0.423765,1.38036
36,133.422,0.187915,2.40982,0.309318,1.06193
37,75.2366,0.191333,2.429,0.450365,0.717726
38,71.7787,0.193344,2.4287,0.316888,0.69711
39,95.0168,0.192168,2.47089,0.468088,0.840119
40,169.203,0.191781,2.4806,0.405352,1.28278
41,44.1538,0.192989,2.35857,0.403303,0.524884
42,126.588,0.188083,2.44835,0.384493,1.02554
43,44.0057,0.187734,2.4092,0.32307,0.529628
44,169.708,0.186076,2.37771,0.394127,1.27436
45,56.5958,0.188049,2.40767,0.35827,0.604398
46,140.708,0.187972,2.46709,0.435048,1.11167
47,75.1778,0.191737,2.48403,0.501416,0.723491
48,132.001,0.190003,2.53165,0.44445,1.06701
49,177.328,0.190273,2.49816,0.41642,1.3331
50,49.2248,0.189543,2.42792,0.423918,0.562774
51,210.411,0.18983,2.41835,0.341376,1.52115
52,222.73,0.191218,2.33982,0.368126,1.58575
53,76.9164,0.188903,2.52134,0.414709,0.737984
54,149.769,0.190863,2.43887,0.414407,1.16247
55,100.957,0.188991,2.42366,0.353538,0.87023
56,156.611,0.18988,2.4013,0.391946,1.19902
57,188.041,0.189067,2.45276,0.433935,1.39182
58,113.093,0.189956,2.48503,0.408056,0.949286
59,100.27,0.18884,2.59284,0.397808,0.884941
60,144.765,0.190415,2.52577,0.384567,1.14234
61,110.366,0.191252,2.47321,0.431904,0.931741
62,121.209,0.189883,2.49033,0.477398,0.998185
63,69.6563,0.189945,2.48158,0.416036,0.690352
64,199.611,0.18875,2.52461,0.435124,1.46867
65,68.9873,0.18844,2.39747,0.316562,0.677024
66,168.324,0.191272,2.5073,0.360923,1.28052
67,40.6952,0.185641,2.42893,0.45588,0.512115
68,68.5979,0.19116,2.3839,0.334372,0.673199
69,51.5795,0.187103,2.51497,0.479119,0.586462
70,103.432,0.190807,2.55034,0.455011,0.899039
71,103.301,0.189166,2.46522,0.39251,0.888803
72,333.896,0.191108,2.44529,0.375649,2.25917
73,166.781,0.190905,2.45314,0.369154,1.26531
74,45.8432,0.193961,2.39527,0.440027,0.539017
75,59.6513,0.187527,2.46727,0.329439,0.629209
76,192.165,0.18746,2.40192,0.284792,1.41072
77,180.785,0.187983,2.49669,0.34653,1.35351
78,88.6107,0.187688,2.42591,0.450346,0.796991
79,230.163,0.19074,2.40498,0.374175,1.63724
80,74.29,0.187151,2.44787,0.383902,0.714188
81,258.76,0.187342,2.51643,0.408022,1.81984
82,130.418,0.190522,2.48013,0.370929,1.05187
83,43.9355,0.188747,2.42821,0.402092,0.531323
84,79.2366,0.19177,2.48024,0.414191,0.747228
85,120.941,0.19269,2.43946,0.520226,0.990937
86,44.3391,0.188045,2.36091,0.451972,0.526247
87,101.373,0.18935,2.37893,0.354658,0.867736
88,106.249,0.193506,2.5011,0.533968,0.910334
89,148.748,0.187858,2.49222,0.488478,1.16232
90,231.073,0.194116,2.49618,0.43528,1.65279
91,119.066,0.18612,2.47808,0.435838,0.984069
92,134.321,0.18961,2.52976,0.449647,1.08061
93,187.065,0.192178,2.48422,0.438008,1.38951
94,119.585,0.192514,2.44514,0.447119,0.983498
95,151.37,0.190083,2.37558,0.381205,1.16497
96,143.133,0.19364,2.51353,0.451417,1.13126
97,79.6368,0.1902,2.49736,0.371575,0.751513
98,111.619,0.19286,2.4667,0.395048,0.938478
99,206.854,0.189756,2.38371,0.430018,1.49613
