replication,el_app_wt,el_scan_wt,ur_scan_wt,ot,objective
0,19.8875,0.179288,2.71121,1.1672,0.419624
1,23.026,0.17488,2.69674,1.23474,0.436697
2,13.634,0.175091,2.70147,1.20045,0.381318
3,13.4893,0.1749,2.73082,1.15825,0.383718
4,16.2236,0.176454,2.67769,1.16616,0.39409
5,20.2617,0.179623,2.67937,1.19838,0.418314
6,16.9406,0.178054,2.57999,1.15887,0.387503
7,22.776,0.179474,2.59658,1.21547,0.424081
8,23.7117,0.180234,2.65998,1.15835,0.436694
9,21.3496,0.176562,2.57429,1.10818,0.413113
10,20.1271,0.1819,2.79199,1.31135,0.430025
11,17.7647,0.18295,2.69013,1.30685,0.404646
12,20.4707,0.183337,2.61511,1.14233,0.412417
13,16.2244,0.178403,2.66996,1.18625,0.393236
14,15.492,0.177782,2.6257,1.19965,0.383959
15,20.772,0.179498,2.66177,1.23161,0.419395
16,20.75,0.176511,2.73535,1.26628,0.42744
17,22.1115,0.177796,2.72244,1.24039,0.434109
18,22.1193,0.17735,2.63678,1.22335,0.424639
19,16.4921,0.178481,2.60841,1.16378,0.387991
20,17.0793,0.178409,2.58592,1.13536,0.388987
21,24.5495,0.17859,2.69132,1.15093,0.445164
22,15.6295,0.174317,2.67778,1.20533,0.390563
23,22.517,0.178446,2.58324,1.17882,0.421056
24,18.2283,0.176811,2.74651,1.22526,0.41367
25,18.9187,0.174752,2.69909,1.26473,0.41251
26,17.6413,0.180687,2.59293,1.20292,0.393112
27,28.7493,0.179541,2.66381,1.14608,0.467106
28,18.5299,0.178397,2.64681,1.16639,0.404387
29,15.3798,0.181134,2.71382,1.24912,0.393082
30,14.7954,0.174294,2.61965,1.16627,0.37914
31,24.2868,0.17739,2.75267,1.18959,0.450416
32,15.9132,0.181724,2.6562,1.2744,0.389855
33,17.0618,0.180763,2.60237,1.16383,0.39071
34,16.4722,0.177817,2.69183,1.09529,0.397141
35,19.1334,0.18091,2.7003,1.12003,0.413923
36,17.1355,0.175135,2.58512,1.09744,0.389232
37,14.7955,0.180324,2.63337,1.23758,0.380666
38,13.604,0.178408,2.50848,1.07141,0.359696
39,15.6813,0.176397,2.73214,1.22242,0.396913
40,25.5734,0.18147,2.70256,1.19568,0.452507
41,13.296,0.176861,2.60066,1.19089,0.368105
42,18.033,0.175929,2.66102,1.14004,0.403008
43,13.3216,0.174305,2.65119,1.17364,0.373873
44,20.032,0.176878,2.6207,1.24577,0.410427
45,14.9654,0.175327,2.5642,1.19501,0.373991
46,21.8459,0.179905,2.71949,1.19635,0.4322
47,17.9048,0.177484,2.79715,1.29854,0.41737
48,17.5117,0.176533,2.7016,1.18695,0.404414
49,27.1998,0.176373,2.67162,1.17247,0.45875
50,17.8447,0.177379,2.6686,1.24318,0.40273
51,24.438,0.180122,2.59886,1.18788,0.434226
52,25.4764,0.17784,2.64653,1.24715,0.445704
53,17.2083,0.177327,2.62859,1.24372,0.394496
54,17.6433,0.181224,2.67058,1.17762,0.40175
55,18.6166,0.174496,2.65882,1.14839,0.406237
56,18.9321,0.178716,2.62581,1.16275,0.404447
57,19.5211,0.176378,2.67325,1.18576,0.413225
58,17.8152,0.178202,2.68543,1.19733,0.404423
59,16.9198,0.180086,2.66104,1.15895,0.396385
60,16.0356,0.174511,2.68627,1.22086,0.393925
61,17.0959,0.178223,2.7266,1.26679,0.404718
62,20.7761,0.177504,2.67203,1.16131,0.420559
63,15.624,0.177807,2.64585,1.21147,0.386983
64,22.4138,0.177679,2.82225,1.26175,0.446999
65,15.3275,0.175388,2.64683,1.04305,0.385327
66,18.5419,0.179324,2.69758,1.1721,0.410099
67,15.2664,0.177128,2.68651,1.23499,0.389373
68,16.6647,0.174742,2.63961,1.16231,0.392485
69,13.4467,0.176213,2.73709,1.3002,0.384161
70,21.7353,0.178662,2.75999,1.23379,0.436042
71,15.9029,0.176809,2.75062,1.23873,0.400285
72,28.7274,0.183973,2.64767,1.11245,0.465182
73,18.6335,0.180124,2.5636,1.02173,0.395758
74,15.1697,0.176855,2.69444,1.30529,0.389678
75,16.2419,0.171083,2.54253,1.11393,0.379181
76,21.7076,0.178297,2.54552,1.12885,0.412047
77,25.3275,0.177515,2.5906,1.07985,0.438604
78,17.9971,0.174661,2.65614,1.21382,0.402252
79,21.7716,0.17767,2.61398,1.19829,0.420035
80,14.9538,0.17678,2.61122,1.12137,0.379146
81,22.4695,0.177071,2.70026,1.18561,0.433776
82,33.5561,0.179677,2.64266,1.18774,0.493368
83,13.2367,0.175434,2.64236,1.17328,0.372386
84,17.0966,0.177338,2.68643,1.18672,0.400258
85,19.6303,0.178334,2.71541,1.26084,0.41856
86,16.6451,0.177003,2.62686,1.18489,0.390951
87,21.2159,0.175244,2.67799,1.24843,0.423839
88,18.7892,0.179834,2.6972,1.29598,0.411529
89,24.8533,0.181119,2.69946,1.19198,0.447877
90,25.9296,0.183027,2.75673,1.22777,0.460646
91,15.4506,0.174661,2.67593,1.2103,0.389293
92,42.3026,0.177729,2.76225,1.22295,0.558718
93,20.6122,0.177989,2.75279,1.18361,0.428557
94,14.0318,0.179824,2.64734,1.26479,0.377671
95,28.4871,0.17912,2.62263,1.19994,0.460969
96,15.433,0.179358,2.71691,1.25842,0.393742
97,16.2195,0.174935,2.63776,1.11686,0.389629
98,21.2018,0.182125,2.64829,1.24595,0.420455
99,31.2027,0.17929,2.64735,1.23646,0.47988
