replication,el_app_wt,el_scan_wt,ur_scan_wt,ot,objective
0,22.1335,0.0782898,2.55933,1.14722,0.416117
1,26.9583,0.0739948,2.54593,1.21707,0.443347
2,14.1657,0.0745104,2.54413,1.17959,0.367002
3,14.5373,0.0740307,2.55832,1.13672,0.370789
4,17.8532,0.0761294,2.54928,1.15252,0.389522
5,22.3937,0.0787203,2.50383,1.17564,0.411499
6,18.6692,0.0778625,2.45976,1.1417,0.384433
7,26.6674,0.0775218,2.44549,1.19606,0.430456
8,28.913,0.0796321,2.50599,1.14055,0.450544
9,23.6119,0.0750732,2.41306,1.09219,0.408664
10,22.7532,0.0807576,2.65656,1.29018,0.430609
11,19.2086,0.0814638,2.54364,1.28749,0.396964
12,23.1412,0.0794886,2.46586,1.12369,0.41173
13,17.7048,0.0756435,2.51628,1.16332,0.384972
14,16.5852,0.0759988,2.49457,1.18554,0.375895
15,22.8367,0.0781261,2.53793,1.22005,0.417925
16,23.2439,0.0765006,2.56968,1.24176,0.423877
17,27.1522,0.0748439,2.60786,1.21911,0.451382
18,25.0896,0.077271,2.49301,1.20503,0.426344
19,18.3189,0.0767317,2.49672,1.15449,0.386454
20,19.2844,0.0775475,2.44475,1.1188,0.386427
21,30.8703,0.0762522,2.51888,1.12412,0.463628
22,16.7439,0.0730659,2.50706,1.18423,0.378228
23,25.8323,0.0776975,2.44021,1.15878,0.424898
24,20.5639,0.0748888,2.60363,1.21139,0.411697
25,21.1905,0.0771439,2.55998,1.25077,0.410576
26,18.6329,0.0789035,2.43617,1.18512,0.381596
27,36.0562,0.075191,2.49925,1.12347,0.492315
28,20.3167,0.0770101,2.50166,1.15369,0.398894
29,16.9572,0.07872,2.56298,1.22843,0.385711
30,16.0489,0.0731292,2.46997,1.14588,0.369971
31,34.3325,0.0744335,2.59886,1.17566,0.493122
32,17.2887,0.080212,2.49608,1.25049,0.380251
33,19.8173,0.0781963,2.44905,1.14128,0.390077
34,18.1485,0.0778303,2.49647,1.07369,0.385412
35,21.5961,0.0780821,2.52977,1.09286,0.409634
36,18.637,0.074522,2.42188,1.07834,0.380032
37,15.8198,0.0783346,2.48801,1.21553,0.370611
38,14.4055,0.0745892,2.36735,1.05445,0.348786
39,16.7558,0.0772151,2.55697,1.20346,0.383845
40,30.5402,0.0802406,2.53854,1.17663,0.463846
41,13.9891,0.0754958,2.46267,1.17201,0.356898
42,19.746,0.0759111,2.50451,1.12098,0.395815
43,13.8559,0.0720568,2.49331,1.15287,0.35951
44,21.9681,0.0767306,2.48096,1.23102,0.406425
45,15.9369,0.0752137,2.40629,1.17332,0.362228
46,24.7077,0.0782612,2.55872,1.17554,0.431372
47,19.1148,0.0755495,2.63403,1.28006,0.406449
48,19.595,0.0744829,2.52677,1.16725,0.39739
49,33.7691,0.0752679,2.5144,1.15201,0.480384
50,20.296,0.0765864,2.49362,1.22017,0.397878
51,28.8705,0.0775196,2.46418,1.17003,0.445646
52,28.8726,0.0748783,2.49063,1.22777,0.448597
53,18.4818,0.0742395,2.50858,1.23008,0.388742
54,19.812,0.079178,2.52077,1.15638,0.398013
55,20.2786,0.0755992,2.52454,1.13061,0.40121
56,20.9438,0.0764721,2.45675,1.13717,0.397638
57,22.2314,0.0751978,2.53828,1.17245,0.414361
58,20.4424,0.0768036,2.54132,1.17673,0.40405
59,19.3918,0.0786868,2.54049,1.14983,0.397705
60,18.2276,0.0740968,2.57032,1.20366,0.394088
61,19.2248,0.0791997,2.55826,1.24671,0.398685
62,24.2332,0.0777374,2.52174,1.14232,0.424438
63,16.8168,0.0770948,2.49744,1.19245,0.377593
64,26.9599,0.0782443,2.66585,1.24262,0.45668
65,16.5509,0.0757799,2.45615,1.02252,0.371423
