replication,el_app_wt,el_scan_wt,ur_scan_wt,ot,objective
0,19.0308,0.076033,2.7254,1.17982,0.416101
1,22.6713,0.0735899,2.70902,1.24448,0.43595
2,13.1335,0.0748447,2.71257,1.20703,0.379572
3,13.0325,0.0745617,2.74147,1.16543,0.382182
4,15.8666,0.0767272,2.69004,1.17356,0.393337
5,19.7817,0.0767458,2.68684,1.20352,0.416285
6,16.2417,0.0779238,2.5952,1.16712,0.385033
7,22.063,0.0781239,2.60635,1.22174,0.420921
8,23.1794,0.0792547,2.6725,1.16782,0.434917
9,20.7329,0.0750228,2.58733,1.12071,0.410891
10,19.4589,0.0808389,2.7985,1.31565,0.426771
11,17.1474,0.0803562,2.70137,1.31577,0.402219
12,19.9434,0.0804888,2.62592,1.14862,0.410479
13,15.7321,0.0758661,2.67969,1.19123,0.391386
14,14.8957,0.0768421,2.63882,1.21121,0.381867
15,20.2811,0.0796016,2.67142,1.24106,0.417546
16,20.3101,0.0756096,2.74641,1.27455,0.42605
17,21.5318,0.0764143,2.73562,1.25098,0.432124
18,21.7696,0.0754586,2.64802,1.23254,0.423805
19,16.1266,0.0776229,2.6231,1.17547,0.387447
20,16.496,0.0773649,2.59921,1.14326,0.386991
21,24.0076,0.0758803,2.70081,1.15802,0.442993
22,15.1263,0.072915,2.69028,1.21105,0.388958
23,22.2157,0.0765287,2.59233,1.18714,0.420273
24,17.8103,0.0770847,2.75961,1.23294,0.412637
25,18.2212,0.0746744,2.71218,1.2742,0.409812
26,16.8857,0.0780507,2.60746,1.21294,0.390227
27,28.2855,0.0782792,2.67584,1.15495,0.465681
28,17.8351,0.077794,2.65862,1.17547,0.401563
29,14.9484,0.0787577,2.7225,1.25403,0.391478
30,14.4253,0.0740696,2.6317,1.17521,0.378277
31,23.8702,0.0741164,2.76698,1.20062,0.449527
32,15.403,0.0794211,2.66758,1.28146,0.388082
33,16.4061,0.0796934,2.61781,1.17084,0.388522
34,15.9716,0.0765304,2.70278,1.10639,0.395379
35,18.6775,0.0789276,2.71229,1.12594,0.412541
36,16.4107,0.0737329,2.59565,1.10405,0.386088
37,14.3023,0.078537,2.64412,1.24308,0.378924
38,13.1251,0.07599,2.51603,1.07935,0.357684
39,15.1779,0.0768469,2.74373,1.2319,0.395204
40,25.1031,0.0795354,2.71303,1.20069,0.450871
41,12.9332,0.0745227,2.61393,1.19927,0.36742
42,17.3823,0.0763378,2.67097,1.14585,0.40024
43,12.6523,0.0731117,2.65956,1.18116,0.370818
44,19.3912,0.0748886,2.63339,1.2554,0.408023
45,14.4429,0.0744416,2.57707,1.20355,0.372311
46,21.1571,0.077442,2.73367,1.20783,0.429676
47,17.2734,0.0766243,2.80691,1.30611,0.414697
48,16.9511,0.0742959,2.71309,1.19682,0.402354
49,26.4042,0.074409,2.68576,1.18146,0.455586
50,17.2227,0.0752286,2.67707,1.24905,0.399969
51,23.9356,0.0783415,2.61288,1.1983,0.432794
52,24.6584,0.0772738,2.65989,1.25272,0.44232
53,16.6722,0.075502,2.64265,1.25637,0.392867
54,16.9092,0.0792328,2.68189,1.18672,0.398638
55,18.1455,0.074884,2.67044,1.15876,0.404724
56,18.4247,0.0764096,2.63444,1.16785,0.402387
57,18.9395,0.0747636,2.68454,1.19404,0.411017
58,17.1967,0.0765139,2.69733,1.20457,0.402065
59,16.5039,0.0790298,2.67206,1.16845,0.395133
60,15.5198,0.0754175,2.69841,1.22625,0.392203
61,16.4068,0.0769221,2.73843,1.27156,0.40193
62,20.2128,0.0771738,2.68453,1.169,0.418595
63,15.1958,0.0768462,2.65923,1.22099,0.385922
64,21.8281,0.0775132,2.83512,1.27197,0.444943
65,14.7873,0.0747542,2.65983,1.05187,0.383556
66,17.8739,0.0787864,2.71276,1.18613,0.40781
67,14.6785,0.075822,2.69576,1.24037,0.3869
68,16.2406,0.07401,2.65195,1.17132,0.391331
69,12.8978,0.0752321,2.74935,1.30709,0.382256
70,21.3702,0.077771,2.77538,1.24285,0.435579
71,15.3681,0.0757039,2.76206,1.24582,0.398372
72,27.9378,0.0831365,2.66219,1.12397,0.462095
73,18.0925,0.0752156,2.57401,1.03001,0.393695
74,14.6027,0.0754774,2.70443,1.31588,0.387413
75,15.735,0.0709124,2.55406,1.12322,0.377446
76,21.3705,0.0751834,2.55674,1.13877,0.411288
77,24.8415,0.0751662,2.60072,1.08828,0.436835
78,17.263,0.0728741,2.66836,1.22433,0.39924
79,20.9626,0.0774863,2.62547,1.20592,0.416496
80,14.3838,0.0754667,2.62133,1.12687,0.376877
81,21.97,0.0748089,2.7132,1.19491,0.432241
82,32.9677,0.0777477,2.65087,1.19365,0.490777
83,12.8019,0.0742042,2.65369,1.18363,0.371056
84,16.8669,0.0761468,2.69746,1.19413,0.400116
85,19.0476,0.0768621,2.72817,1.27059,0.416509
86,16.1481,0.0760889,2.6366,1.19213,0.389075
87,20.5718,0.0744805,2.68769,1.25384,0.421083
88,18.1633,0.077415,2.70632,1.30155,0.408817
89,24.0896,0.0792738,2.71077,1.20216,0.444587
90,25.2076,0.0803964,2.76924,1.23176,0.457739
91,14.9005,0.0738692,2.69093,1.218,0.387686
92,41.5645,0.075186,2.7726,1.22821,0.555475
93,19.9092,0.0760547,2.76421,1.19209,0.425642
94,13.4305,0.0772287,2.65911,1.2731,0.3754
95,27.7311,0.0763456,2.63203,1.20604,0.457514
96,14.9241,0.0779535,2.72784,1.26417,0.391927
97,15.6902,0.0733159,2.64554,1.12155,0.387343
98,20.6154,0.0793667,2.6608,1.25394,0.418354
99,30.5013,0.0786778,2.66265,1.24697,0.477406
