strategy,n_urgent,rule,mean_objective,ci_lo_objective,ci_hi_objective,mean_el_app_wt,ci_lo_el_app,ci_hi_el_app,mean_ur_scan_wt,ci_lo_ur_scan,ci_hi_ur_scan,mean_el_scan_wt,mean_ot
2,11,3,0.431045,0.427651,0.434438,15.3936,14.8966,15.8907,3.05474,3.0414,3.06808,0.178067,1.10468
2,11,4,0.426479,0.423118,0.429839,14.9557,14.4613,15.45,3.03711,3.02382,3.0504,0.0864436,1.10273
2,12,1,0.42365,0.419259,0.42804,16.6306,15.9495,17.3117,2.92192,2.90899,2.93485,0.0818046,1.09377
2,12,2,0.423354,0.41895,0.427757,17.2507,16.5664,17.9351,2.88604,2.87303,2.89905,0.215675,1.05788
2,12,3,0.429387,0.424966,0.433807,17.1479,16.463,17.8327,2.94584,2.93294,2.95875,0.180317,1.08448
2,12,4,0.422749,0.418376,0.427121,16.6913,16.0121,17.3705,2.91056,2.89761,2.92351,0.0873601,1.08317
2,13,1,0.423952,0.41812,0.429784,19.0149,18.0716,19.9582,2.79691,2.78429,2.80954,0.0826811,1.07393
2,13,2,0.423914,0.418062,0.429767,19.6426,18.6963,20.5889,2.76295,2.75017,2.77572,0.214033,1.03712
2,13,3,0.431963,0.426088,0.437837,19.5596,18.6115,20.5078,2.83982,2.82734,2.85231,0.182385,1.06408
2,13,4,0.423161,0.417339,0.428982,19.0777,18.1354,20.02,2.78643,2.77377,2.79908,0.088172,1.06348
2,14,1,0.429375,0.4213,0.437451,22.3131,20.9969,23.6293,2.66903,2.65656,2.6815,0.0832107,1.05395
2,14,2,0.429604,0.421511,0.437696,22.9434,21.6249,24.2618,2.63732,2.62473,2.64992,0.211909,1.0165
2,14,3,0.43968,0.43158,0.447779,22.8531,21.5333,24.1728,2.73284,2.72055,2.74514,0.18438,1.04392
2,14,4,0.428705,0.420635,0.436776,22.3777,21.0619,23.6936,2.65954,2.64706,2.67202,0.0886305,1.04345
2,15,1,0.441531,0.429806,0.453256,27.1319,25.1962,29.0675,2.52029,2.50858,2.53199,0.0826915,0.932668
2,15,2,0.441697,0.429936,0.453459,27.7879,25.8469,29.7288,2.48664,2.47485,2.49843,0.208974,0.895002
2,15,3,0.453363,0.441605,0.465121,27.7427,25.8028,29.6825,2.59405,2.58249,2.60562,0.185145,0.922792
2,15,4,0.440805,0.429082,0.452529,27.1963,25.2609,29.1317,2.5103,2.49859,2.52202,0.0880394,0.922104
2,16,1,0.468543,0.450613,0.486473,34.3642,31.3752,37.3532,2.37595,2.36445,2.38745,0.0819905,0.817977
2,16,2,0.468519,0.450557,0.486481,35.0223,32.0283,38.0164,2.34047,2.32887,2.35208,0.205735,0.780019
2,16,3,0.481318,0.463394,0.499242,34.963,31.9761,37.9498,2.45885,2.44746,2.47023,0.185514,0.807945
2,16,4,0.467797,0.449871,0.485724,34.4341,31.4455,37.4227,2.36549,2.35398,2.377,0.0872747,0.807273
2,17,1,0.527211,0.499326,0.555096,45.9311,41.2665,50.5957,2.28431,2.27258,2.29603,0.0801168,0.804041
2,17,2,0.526979,0.499058,0.5549,46.5941,41.9226,51.2656,2.2467,2.23491,2.25849,0.202553,0.766752
2,17,3,0.540402,0.512591,0.568213,46.5656,41.9151,51.2161,2.36903,2.35749,2.38057,0.185128,0.793701
2,17,4,0.526382,0.49851,0.554254,46.0012,41.3383,50.6641,2.27309,2.26136,2.28482,0.0853815,0.79338
2,18,1,0.62838,0.586952,0.669809,64.6158,57.6649,71.5667,2.19387,2.18278,2.20495,0.078329,0.789267
2,18,2,0.627772,0.586332,0.669211,65.2472,58.2948,72.1997,2.15456,2.14348,2.16564,0.199704,0.753388
2,18,3,0.641725,0.600461,0.682988,65.2511,58.3292,72.173,2.27993,2.26896,2.29089,0.184579,0.778535
2,18,4,0.627485,0.58606,0.668909,64.6896,57.7394,71.6398,2.18185,2.17074,2.19296,0.0835636,0.778613
2,19,1,0.792392,0.733964,0.85082,93.8787,84.0632,103.694,2.10231,2.09094,2.11369,0.0764996,0.774494
2,19,2,0.791621,0.733186,0.850055,94.523,84.7043,104.342,2.06086,2.04945,2.07226,0.196374,0.73981
2,19,3,0.80637,0.748023,0.864717,94.6037,84.8035,104.404,2.18927,2.17801,2.20053,0.183743,0.763298
2,19,4,0.79142,0.733009,0.849831,93.9506,84.1376,103.764,2.08971,2.07833,2.1011,0.0816912,0.763893
2,20,1,1.01621,0.941348,1.09107,133.135,120.562,145.709,2.01364,2.00251,2.02476,0.074185,0.759799
2,20,2,1.0153,0.940464,1.09013,133.793,121.224,146.362,1.97018,1.95903,1.98134,0.192318,0.726637
2,20,3,1.03023,0.955466,1.10499,133.856,121.3,146.411,2.1012,2.09013,2.11226,0.182772,0.748403
2,20,4,1.01513,0.9403,1.08997,133.205,120.636,145.775,2.00019,1.98904,2.01134,0.0792973,0.749348
3,10,1,0.431597,0.428796,0.434397,13.5307,13.1412,13.9202,3.15951,3.14778,3.17124,0.0745878,1.2818
3,10,2,0.430246,0.427432,0.433059,14.1477,13.7539,14.5415,3.1143,3.10253,3.12606,0.202043,1.24316
3,10,3,0.433347,0.430542,0.436153,14.0629,13.6719,14.4539,3.14676,3.135,3.15852,0.17705,1.27161
3,10,4,0.430524,0.427735,0.433313,13.5901,13.2015,13.9786,3.14668,3.13496,3.15839,0.0798778,1.27135
3,11,1,0.420858,0.417519,0.424197,14.7509,14.2547,15.2471,2.9975,2.98625,3.00874,0.0753991,1.25528
3,11,2,0.419692,0.41634,0.423044,15.3755,14.8736,15.8773,2.95354,2.94239,2.96469,0.202312,1.21594
3,11,3,0.422669,0.419323,0.426016,15.2827,14.7838,15.7816,2.98531,2.97411,2.9965,0.177559,1.24595
3,11,4,0.419779,0.416452,0.423105,14.8103,14.3153,15.3053,2.9846,2.97337,2.99583,0.0806671,1.24463
3,12,1,0.413242,0.408894,0.417591,16.4779,15.7954,17.1604,2.83643,2.82533,2.84754,0.0759262,1.22895
3,12,2,0.412189,0.407824,0.416554,17.1063,16.4186,17.7941,2.7933,2.78222,2.80437,0.202408,1.1886
3,12,3,0.415157,0.410785,0.41953,17.0225,16.3343,17.7106,2.8245,2.81338,2.83561,0.17778,1.22014
3,12,4,0.412187,0.407857,0.416518,16.5396,15.859,17.2202,2.82364,2.81253,2.83474,0.0812428,1.21815
3,13,1,0.409692,0.403746,0.415637,18.855,17.9101,19.7999,2.67713,2.6655,2.68877,0.076522,1.20251
3,13,2,0.408801,0.402833,0.414769,19.4952,18.5438,20.4465,2.63482,2.62325,2.6464,0.201979,1.16085
3,13,3,0.411735,0.405749,0.417722,19.4155,18.4634,20.3676,2.6655,2.65387,2.67713,0.177957,1.19435
3,13,4,0.408687,0.402762,0.414612,18.9196,17.9769,19.8623,2.66463,2.65299,2.67628,0.0818536,1.19175
3,14,1,0.411095,0.403017,0.419173,22.1429,20.8253,23.4606,2.51363,2.50216,2.52509,0.0766628,1.17525
3,14,2,0.410468,0.402359,0.418578,22.7926,21.4689,24.1162,2.47318,2.46171,2.48465,0.201127,1.133
3,14,3,0.413175,0.405063,0.421286,22.7047,21.3811,24.0283,2.50225,2.49076,2.51373,0.17755,1.16735
3,14,4,0.410073,0.402016,0.418129,22.2026,20.8878,23.5175,2.50123,2.48974,2.51272,0.0819659,1.16429
3,15,1,0.415613,0.403844,0.427382,27.0178,25.0808,28.9547,2.29314,2.28268,2.3036,0.0765878,0.974708
3,15,2,0.414682,0.40288,0.426485,27.6712,25.7282,29.6142,2.24975,2.23932,2.26019,0.201911,0.932137
3,15,3,0.417933,0.406124,0.429742,27.6349,25.6915,29.5783,2.28095,2.27048,2.29142,0.178559,0.966713
3,15,4,0.414551,0.402796,0.426306,27.0847,25.1496,29.0197,2.27999,2.26953,2.29046,0.0819908,0.963676
3,16,1,0.434051,0.416034,0.452068,34.2468,31.2548,37.2389,2.07181,2.06243,2.08118,0.076411,0.780914
3,16,2,0.432843,0.414784,0.450901,34.9059,31.9057,37.9062,2.02562,2.01618,2.03507,0.202849,0.737512
3,16,3,0.436179,0.418161,0.454197,34.8494,31.8575,37.8413,2.05868,2.04927,2.06809,0.179451,0.772445
3,16,4,0.432885,0.414885,0.450884,34.3102,31.3205,37.2999,2.05791,2.04852,2.06731,0.0818436,0.769768
3,17,1,0.496644,0.468659,0.524629,45.9272,41.2544,50.5999,2.00941,2.00006,2.01876,0.0758513,0.754392
3,17,2,0.49543,0.467443,0.523416,46.5747,41.8984,51.251,1.9638,1.95444,1.97315,0.203031,0.712659
3,17,3,0.498822,0.470893,0.52675,46.5384,41.8739,51.2029,1.99627,1.98692,2.00561,0.180124,0.745842
3,17,4,0.495482,0.46752,0.523443,45.9916,41.3222,50.661,1.9955,1.98615,2.00485,0.0813117,0.743281
3,18,1,0.601452,0.559941,0.642963,64.7155,57.7592,71.6719,1.94616,1.93668,1.95565,0.0754198,0.727626
3,18,2,0.600362,0.558849,0.641875,65.3622,58.4059,72.3185,1.90171,1.89223,1.91119,0.203517,0.687623
3,18,3,0.603426,0.562017,0.644834,65.298,58.3588,72.2372,1.93272,1.92323,1.94221,0.180883,0.718324
3,18,4,0.600248,0.558737,0.641758,64.774,57.8174,71.7305,1.9322,1.92269,1.9417,0.0809135,0.716555
3,19,1,0.769411,0.710836,0.827985,94.082,84.2564,103.908,1.88459,1.87522,1.89395,0.0748919,0.700473
3,19,2,0.768648,0.710056,0.82724,94.7665,84.9375,104.595,1.84106,1.83166,1.85045,0.203517,0.662701
3,19,3,0.771702,0.71317,0.830234,94.7174,84.8989,104.536,1.87118,1.86184,1.88051,0.181447,0.690976
3,19,4,0.768288,0.709729,0.826847,94.1499,84.3263,103.974,1.87085,1.86146,1.88024,0.0804448,0.689482
3,20,1,0.995965,0.921003,1.07093,133.327,120.746,145.908,1.82117,1.81184,1.8305,0.0741363,0.673041
3,20,2,0.995358,0.920374,1.07034,134.028,121.444,146.613,1.77813,1.76874,1.78753,0.202993,0.637011
3,20,3,0.998338,0.923404,1.07327,133.984,121.407,146.56,1.80733,1.79802,1.81663,0.181762,0.66344
3,20,4,0.994884,0.919918,1.06985,133.403,120.821,145.985,1.80735,1.79799,1.81672,0.0796859,0.662132
