replication,el_app_wt,el_scan_wt,ur_scan_wt,ot,objective
0,22.9594,0.202174,2.51561,1.10387,0.416175
1,27.5164,0.197033,2.50549,1.17053,0.442176
2,14.6478,0.2011,2.50776,1.13903,0.365829
3,15.1844,0.200241,2.52264,1.09676,0.370677
4,18.4388,0.198595,2.50481,1.10623,0.388067
5,23.1474,0.202971,2.46491,1.13707,0.411661
6,19.4407,0.203341,2.41649,1.0976,0.384217
7,27.0526,0.204527,2.40932,1.15502,0.42873
8,29.4499,0.206905,2.46593,1.09752,0.449289
9,24.2013,0.197087,2.37196,1.04779,0.407607
10,23.5097,0.208562,2.61909,1.24826,0.430948
11,20.0171,0.20857,2.50162,1.24502,0.397108
12,23.8335,0.210479,2.4283,1.08482,0.411677
13,18.2816,0.204391,2.47809,1.12645,0.384163
14,17.2472,0.198337,2.45277,1.14194,0.375192
15,23.4889,0.198609,2.49575,1.1727,0.417121
16,23.7401,0.200957,2.52797,1.1976,0.422195
17,27.8622,0.197967,2.56536,1.17654,0.450886
18,25.533,0.202264,2.45479,1.16483,0.424736
19,19.0775,0.201433,2.45397,1.11309,0.38622
20,19.9094,0.203365,2.40456,1.07892,0.385682
21,31.5417,0.202851,2.47561,1.08342,0.462816
22,17.3043,0.195497,2.46715,1.14492,0.37713
23,26.2889,0.202322,2.40025,1.11706,0.423176
24,20.9546,0.193768,2.55889,1.16229,0.40905
25,21.9711,0.201953,2.51721,1.20467,0.41047
26,19.3461,0.203463,2.39196,1.14017,0.380929
27,36.8253,0.201185,2.45781,1.07831,0.492289
28,21.0261,0.200645,2.45792,1.11067,0.398258
29,17.3403,0.205448,2.52404,1.18408,0.383665
30,16.5235,0.196533,2.4319,1.10381,0.368565
31,35.107,0.201941,2.56214,1.12824,0.493652
32,17.8967,0.206795,2.46025,1.21231,0.379889
33,20.5769,0.20261,2.40758,1.10468,0.38999
34,18.8826,0.201394,2.45997,1.03695,0.385726
35,22.058,0.208557,2.48821,1.05049,0.407766
36,19.4109,0.19919,2.38239,1.03943,0.380251
37,16.2986,0.201963,2.44872,1.17484,0.369095
38,15.1222,0.198211,2.3301,1.01367,0.348913
39,17.306,0.198156,2.51787,1.16025,0.382776
40,31.0738,0.204928,2.49722,1.13051,0.462432
41,14.4762,0.199211,2.42288,1.13121,0.355377
42,20.4797,0.197196,2.46561,1.07846,0.39586
43,14.5712,0.194256,2.45465,1.10965,0.359472
44,22.6247,0.197593,2.43643,1.18257,0.405386
45,16.5083,0.204056,2.36827,1.1366,0.361404
46,25.5549,0.20278,2.52367,1.14027,0.43252
47,19.8678,0.200675,2.5951,1.24043,0.406605
48,20.1718,0.200032,2.4859,1.12014,0.396281
49,34.6142,0.199051,2.47171,1.10937,0.480671
50,20.952,0.20165,2.45656,1.18076,0.397665
51,29.572,0.203849,2.42499,1.12812,0.445467
52,29.6566,0.201563,2.44915,1.18539,0.448655
53,19.1236,0.201566,2.46819,1.18695,0.388074
54,20.5705,0.205689,2.47821,1.11654,0.3978
55,21.0817,0.194616,2.48039,1.08502,0.401086
56,21.3988,0.199325,2.41763,1.10093,0.395999
57,22.946,0.198135,2.49689,1.1262,0.414016
58,21.1235,0.201069,2.5006,1.13555,0.40358
59,19.8549,0.200375,2.49286,1.10471,0.395169
60,18.7576,0.195664,2.52969,1.16025,0.392729
61,19.9229,0.202849,2.52322,1.2086,0.398946
62,24.7438,0.205636,2.48428,1.1022,0.423315
63,17.4812,0.199124,2.45541,1.15301,0.376878
64,27.7461,0.204242,2.62752,1.2002,0.457101
65,17.3142,0.198867,2.41672,0.982278,0.371585
66,21.3743,0.201495,2.50866,1.1168,0.405968
67,16.8492,0.195062,2.52751,1.17354,0.381128
68,18.5895,0.196634,2.46335,1.10507,0.384358
69,14.4925,0.203505,2.54942,1.23863,0.369534
70,25.0638,0.203522,2.5561,1.16508,0.4332
71,17.5982,0.19564,2.5321,1.17058,0.386096
72,39.2586,0.203878,2.42743,1.04912,0.503396
73,21.1388,0.200109,2.37353,0.959654,0.389552
74,16.5236,0.199504,2.5021,1.24073,0.376365
75,17.7734,0.192215,2.34989,1.0499,0.366893
76,26.7103,0.205029,2.34948,1.07287,0.420043
77,31.5688,0.19923,2.40036,1.01691,0.454616
78,19.9297,0.199187,2.45475,1.15456,0.391379
79,27.0886,0.198966,2.43059,1.14022,0.431307
80,16.7905,0.196715,2.41926,1.06607,0.36875
81,26.5238,0.203532,2.49595,1.1233,0.435208
82,42.1139,0.205816,2.4284,1.12624,0.5205
83,14.5448,0.198046,2.45719,1.11352,0.359598
84,19.4704,0.201384,2.49995,1.1201,0.393667
85,23.2631,0.199751,2.51948,1.19497,0.418413
86,19.319,0.198271,2.42545,1.12382,0.384488
87,26.8802,0.194808,2.47977,1.18718,0.435531
88,22.0688,0.205633,2.50943,1.23275,0.410187
89,29.6173,0.201395,2.47954,1.12791,0.451798
90,33.5713,0.207086,2.57151,1.16672,0.485553
91,17.7813,0.194478,2.47066,1.14896,0.380359
92,51.8063,0.202399,2.57148,1.15941,0.594092
93,24.8724,0.202504,2.54623,1.12054,0.430964
94,15.5915,0.203184,2.4852,1.208,0.36894
95,34.5017,0.205489,2.41251,1.13597,0.473424
96,17.6345,0.20341,2.53238,1.19131,0.386343
97,19.283,0.197129,2.44316,1.05645,0.386242
98,23.6799,0.206511,2.45911,1.18286,0.414186
99,37.4773,0.205784,2.45544,1.17259,0.495906
