replication,el_app_wt,el_scan_wt,ur_scan_wt,ot,objective
0,22.1875,0.0842712,2.5472,1.13601,0.415091
1,26.9637,0.0788896,2.53345,1.20574,0.441993
2,14.2183,0.0802559,2.53203,1.16922,0.36597
3,14.5735,0.0794123,2.54555,1.12591,0.369587
4,17.9406,0.0812168,2.53616,1.14028,0.388585
5,22.5096,0.0838149,2.49123,1.16515,0.41079
6,18.8026,0.0835205,2.44731,1.13153,0.383844
7,26.6724,0.0829935,2.43351,1.18558,0.429154
8,29.0747,0.0846839,2.49278,1.12807,0.450039
9,23.7645,0.0801928,2.39973,1.08114,0.408091
10,22.763,0.0864979,2.6449,1.27965,0.429372
11,19.2396,0.0865331,2.53039,1.27523,0.395676
12,23.2139,0.0848548,2.45331,1.11248,0.410767
13,17.7313,0.0810418,2.50443,1.15265,0.383814
14,16.623,0.0814039,2.48155,1.17467,0.374675
15,22.867,0.0829221,2.52587,1.20917,0.416765
16,23.2965,0.0819521,2.55833,1.23184,0.422928
17,27.1685,0.080175,2.59566,1.20836,0.450124
18,25.0881,0.0826371,2.48139,1.19462,0.425045
19,18.342,0.0821126,2.48428,1.14399,0.38521
20,19.5126,0.0821499,2.43244,1.10767,0.386417
21,30.8892,0.0814876,2.5065,1.11343,0.462365
22,16.8719,0.0776429,2.49436,1.17409,0.377579
23,25.814,0.0834255,2.42816,1.14831,0.423451
24,20.5711,0.0797305,2.59081,1.19901,0.410315
25,21.2324,0.0826016,2.54651,1.23927,0.409329
26,18.6828,0.0843429,2.42322,1.17393,0.380454
27,36.0411,0.0807592,2.48659,1.11182,0.490818
28,20.5051,0.0819527,2.48761,1.14146,0.398456
29,16.9555,0.0840632,2.55059,1.21714,0.384324
30,16.1091,0.078665,2.45809,1.13431,0.369009
31,34.3728,0.0800636,2.58673,1.16399,0.492014
32,17.5483,0.086736,2.48572,1.23935,0.380645
33,19.887,0.0836254,2.43597,1.1313,0.389039
34,18.2282,0.0833825,2.48516,1.06423,0.38463
35,21.6173,0.0839759,2.51631,1.08133,0.408265
36,18.6559,0.0799295,2.40961,1.06798,0.378781
37,15.8878,0.0835124,2.47458,1.20397,0.369524
