replication,el_app_wt,el_scan_wt,ur_scan_wt,ot,objective
0,19.8161,0.204961,2.68079,1.13451,0.415818
1,23.2399,0.197276,2.66499,1.19805,0.434443
2,13.6126,0.201513,2.67474,1.16916,0.378221
3,13.6256,0.198061,2.70249,1.12721,0.381382
4,16.436,0.199668,2.64587,1.13044,0.391819
5,20.4043,0.203357,2.64774,1.16622,0.415647
6,16.9896,0.203408,2.55037,1.12582,0.384502
7,22.7311,0.203774,2.56431,1.18413,0.420227
8,23.6801,0.204402,2.62815,1.12575,0.43297
9,21.3339,0.19974,2.5417,1.07293,0.409399
10,20.1908,0.209428,2.76264,1.27647,0.427143
11,17.9173,0.208317,2.65579,1.27082,0.401739
12,20.5624,0.212339,2.58761,1.11091,0.409908
13,16.2905,0.205287,2.64003,1.15425,0.390304
14,15.4965,0.202906,2.5978,1.1689,0.380885
15,20.9347,0.202673,2.6313,1.19766,0.416978
16,20.8848,0.202221,2.70687,1.2311,0.425078
17,22.2098,0.202674,2.68895,1.205,0.430973
18,22.1591,0.20213,2.6085,1.19345,0.421732
19,16.8559,0.200363,2.57809,1.13234,0.386788
20,17.1139,0.205387,2.5589,1.10496,0.386191
21,24.4864,0.205928,2.6617,1.11945,0.441497
22,15.6936,0.194579,2.6491,1.17474,0.387759
23,22.7446,0.201151,2.55124,1.14468,0.418855
24,18.2792,0.196094,2.71296,1.18767,0.410245
25,18.9525,0.200342,2.6707,1.23005,0.409557
26,17.6462,0.204285,2.56046,1.16579,0.389533
27,29.0398,0.200842,2.62745,1.10853,0.464795
28,18.5126,0.201189,2.61356,1.13278,0.400589
29,15.4086,0.206275,2.68328,1.2132,0.38986
30,14.9533,0.197738,2.59023,1.13149,0.376811
31,24.654,0.202698,2.72377,1.15383,0.449391
32,16.0079,0.205291,2.62595,1.2381,0.387057
33,17.0383,0.207171,2.57394,1.13287,0.387412
34,16.6857,0.201586,2.66149,1.06539,0.395041
35,19.2818,0.205288,2.66885,1.08381,0.411312
36,17.1731,0.200287,2.55549,1.0664,0.386164
37,14.7787,0.204094,2.60274,1.203,0.377161
38,13.8015,0.20301,2.4802,1.03754,0.35773
39,15.7219,0.19805,2.70087,1.19043,0.39368
40,25.5512,0.204317,2.66885,1.16197,0.448629
41,13.4062,0.199174,2.56904,1.1562,0.365248
42,18.1036,0.198012,2.6345,1.11072,0.400482
43,13.3387,0.196286,2.62229,1.14051,0.370763
44,20.0178,0.198665,2.59096,1.21157,0.407038
45,15.0253,0.20316,2.5376,1.16699,0.371392
46,21.9565,0.204757,2.69231,1.16702,0.429839
47,18.0075,0.20195,2.7652,1.26531,0.414432
48,17.5085,0.197906,2.66774,1.14984,0.400633
49,27.2093,0.198662,2.64129,1.14019,0.455437
50,17.8737,0.199653,2.63732,1.20785,0.399427
51,24.6343,0.208647,2.56742,1.15416,0.431902
52,25.4326,0.202475,2.6164,1.21273,0.442096
53,17.2865,0.204706,2.59725,1.21098,0.391479
54,17.6613,0.206187,2.64183,1.14772,0.398664
55,18.8839,0.195571,2.62847,1.11216,0.404456
56,18.9186,0.201002,2.59256,1.12907,0.400673
57,19.6525,0.200703,2.64606,1.15361,0.410986
58,17.8519,0.199953,2.65211,1.1603,0.40094
59,16.9524,0.203455,2.6282,1.12836,0.392929
60,16.0474,0.197803,2.65529,1.18583,0.390552
61,17.0795,0.201523,2.69659,1.2347,0.401285
62,20.7808,0.20262,2.64214,1.12948,0.417266
63,15.8445,0.20056,2.61497,1.1826,0.384865
64,22.5207,0.201237,2.79217,1.22888,0.444292
65,15.5257,0.197476,2.61791,1.01013,0.383294
66,18.5665,0.203927,2.6686,1.14056,0.407026
67,15.3514,0.199023,2.6528,1.20018,0.386133
68,16.7353,0.198316,2.61208,1.13046,0.389846
69,13.5182,0.201704,2.70806,1.26956,0.381362
70,21.7613,0.202885,2.72595,1.19944,0.432415
71,16.0355,0.198558,2.71748,1.20263,0.397391
72,28.7629,0.211204,2.61578,1.07972,0.46185
73,18.6768,0.204457,2.53022,0.98902,0.392307
74,15.3109,0.200881,2.66498,1.27379,0.387245
75,16.401,0.192619,2.51327,1.08041,0.376877
76,21.7095,0.204932,2.51705,1.09654,0.408896
77,25.6203,0.203844,2.55941,1.04402,0.436881
78,17.9648,0.199465,2.62868,1.18316,0.399009
79,21.7228,0.197654,2.58116,1.16461,0.416098
80,15.022,0.201168,2.58033,1.0906,0.37612
81,22.6835,0.199545,2.66675,1.14903,0.431327
82,33.7043,0.203783,2.61017,1.15156,0.490639
83,13.3824,0.198261,2.61556,1.14156,0.370275
84,17.3219,0.20306,2.65584,1.1497,0.3982
85,19.7761,0.202481,2.68206,1.22426,0.415721
86,16.7071,0.19766,2.594,1.15069,0.387669
87,21.2899,0.197217,2.6464,1.21521,0.42077
88,18.8019,0.20506,2.66739,1.26188,0.408293
89,24.8333,0.205238,2.66647,1.15844,0.444091
90,25.9558,0.208053,2.72549,1.18965,0.457331
91,15.5545,0.194497,2.64616,1.17874,0.386605
92,42.3049,0.201138,2.73056,1.183,0.555211
93,20.7228,0.202904,2.7211,1.14837,0.425694
94,14.1222,0.206408,2.61627,1.23253,0.374758
95,28.5052,0.205321,2.59066,1.16582,0.457525
96,15.5204,0.204401,2.68522,1.22054,0.390741
97,16.2538,0.197226,2.60579,1.08398,0.38628
98,21.2423,0.207123,2.61574,1.21234,0.417079
99,31.2581,0.205678,2.61691,1.20419,0.476828
