replication,el_app_wt,el_scan_wt,ur_scan_wt,ot,objective
0,19.0737,0.0816106,2.71233,1.16775,0.414904
1,22.6819,0.0787981,2.69666,1.23311,0.43464
2,13.1748,0.0802893,2.70083,1.19736,0.378514
3,13.0663,0.0794627,2.72814,1.15375,0.380902
4,15.9484,0.0820363,2.67798,1.16235,0.392484
5,19.8342,0.08225,2.6751,1.19382,0.415294
6,16.3637,0.0829008,2.58222,1.15755,0.384317
7,22.1112,0.0839347,2.59332,1.21085,0.419761
8,23.3332,0.0842721,2.65897,1.15551,0.434329
9,20.8748,0.0795482,2.57236,1.10714,0.410073
10,19.4671,0.0862052,2.78623,1.30533,0.425457
11,17.2647,0.0854532,2.68894,1.30472,0.401537
12,19.9767,0.0865628,2.61371,1.13743,0.409322
13,15.8082,0.0811301,2.6676,1.18127,0.390496
14,14.9336,0.0826275,2.6263,1.20031,0.380702
15,20.3063,0.0843469,2.65969,1.23071,0.416392
16,20.3548,0.0811264,2.73384,1.26322,0.424919
17,21.5836,0.0820676,2.72381,1.24065,0.431119
18,21.7682,0.0806777,2.63592,1.22169,0.422453
19,16.1827,0.0825677,2.61082,1.165,0.386417
20,16.7379,0.0829213,2.58556,1.13142,0.386914
21,24.1201,0.0817326,2.68846,1.14717,0.44229
22,15.2483,0.0778103,2.67889,1.20221,0.388418
23,22.2015,0.0816331,2.57904,1.17605,0.418711
24,17.8603,0.0819201,2.74698,1.22239,0.411532
25,18.2606,0.0802274,2.69889,1.26249,0.408571
26,16.9357,0.0837515,2.59477,1.20193,0.389116
27,28.2707,0.0836469,2.66362,1.14398,0.464236
28,18.0133,0.0831997,2.6468,1.16352,0.401311
29,14.9822,0.0840953,2.70956,1.24269,0.390242
30,14.4768,0.0797123,2.61893,1.16339,0.377164
31,23.9123,0.0795818,2.75349,1.18881,0.448279
32,15.5018,0.085481,2.65581,1.27142,0.387363
33,16.4957,0.0857093,2.60482,1.16157,0.387613
34,16.0383,0.0819741,2.6907,1.09561,0.394433
35,18.6998,0.0847239,2.69933,1.11551,0.411234
36,16.4432,0.079364,2.58284,1.09299,0.384859
37,14.3641,0.0836553,2.6319,1.23291,0.377934
38,13.2274,0.0813161,2.50476,1.06776,0.357041
39,15.2292,0.0818198,2.73103,1.22114,0.394098
40,25.1236,0.0848989,2.70014,1.1901,0.449561
41,12.9451,0.0797846,2.60067,1.18822,0.366017
42,17.4494,0.08064,2.65871,1.13677,0.399278
43,12.7098,0.0779418,2.64792,1.17069,0.369867
44,19.5775,0.0803493,2.62092,1.24356,0.407747
45,14.5306,0.0801359,2.56552,1.19483,0.371549
46,21.2721,0.0826274,2.72121,1.19728,0.428977
47,17.3093,0.0819001,2.7949,1.2953,0.413576
48,16.9709,0.079315,2.7009,1.18539,0.401117
