replication,el_app_wt,ur_scan_wt,objective
0,156.3721995,2.357975888,1.192784223
1,114.4338825,2.421856134,0.9502491885
2,57.50293808,2.47884362,0.6177064623
3,49.41352599,2.458175148,0.5672587029
4,157.1637841,2.407434058,1.202991388
5,114.2197577,2.445765609,0.9516312442
6,120.8742429,2.39922489,0.9860700845
7,70.63505739,2.466352014,0.6944858829
8,86.62548925,2.563170873,0.8004246759
9,46.99370347,2.505058904,0.5580643036
10,47.16354765,2.487227951,0.5570940639
11,61.53752318,2.373484631,0.6300152954
12,106.8878737,2.510717574,0.915205963
13,193.116369,2.444642804,1.421129175
14,38.46366093,2.394645907,0.4950221301
15,56.33466343,2.439853942,0.60642026
16,81.95173564,2.445115782,0.7594874816
17,109.527467,2.431237149,0.9220866693
18,40.36988661,2.519349312,0.5202246454
19,57.77563936,2.447086603,0.6158011267
20,172.0820473,2.406868966,1.291727786
21,225.8194663,2.434270534,1.614637993
22,116.7854236,2.493841232,0.9722448013
23,162.5989515,2.491886781,1.24472721
24,112.0749216,2.456972614,0.940109586
25,35.91913447,2.459355001,0.4870660386
26,216.6908338,2.445109486,1.561505224
27,153.2035366,2.492155848,1.188832018
28,103.5181468,2.515749805,0.8957072015
29,42.44227623,2.464626091,0.5264799401
30,69.74366375,2.495861026,0.6924587474
31,146.5949037,2.426410287,1.142189855
32,204.6653356,2.406065017,1.485586603
33,40.83651488,2.445991813,0.5148513615
34,148.1121916,2.477412573,1.156888252
35,41.57331143,2.472959093,0.5222334197
36,70.26075951,2.401034451,0.6850004123
37,79.37185842,2.367889664,0.7355503897
38,76.29605587,2.477020659,0.7293677074
39,50.96562391,2.525636196,0.5839930529
40,79.93158648,2.468257575,0.7500340945
41,63.70888948,2.464598239,0.653063829
42,182.3019559,2.449020022,1.357244026
43,77.51826523,2.412671267,0.7294928306
44,187.5374403,2.340915174,1.376395974
45,165.0010039,2.495381307,1.259413422
46,116.6890915,2.406545839,0.9619719076
47,101.7029361,2.4798068,0.8809087084
48,278.2542841,2.304718829,1.91235537
49,87.95637214,2.40223623,0.7904649709
50,132.2792101,2.493920153,1.06447849
51,86.13013016,2.433000852,0.7830127742
52,60.58966661,2.452579072,0.6331615632
53,72.73810501,2.484498552,0.7090203054
54,36.32279865,2.446603217,0.4880519366
55,124.8383208,2.421472276,1.012137718
56,97.64912295,2.503954221,0.8594619152
57,95.50099771,2.50597844,0.8469003686
58,68.91296331,2.444148853,0.681768305
59,96.69604114,2.485798592,0.851771517
60,72.43421874,2.593777931,0.7193536119
61,48.39737332,2.438148769,0.5589850218
62,31.92882166,2.448616177,0.462120974
63,66.96598059,2.495354203,0.6758686054
64,39.90108239,2.346826971,0.4982649952
