replication,el_app_wt,ur_scan_wt,objective
0,33.73382009,2.315162957,0.4580368767
1,28.29815606,2.273955923,0.4211031743
2,23.0067739,2.358818743,0.3990360542
3,22.9718608,2.468194067,0.4109810519
4,36.69352401,2.346405944,0.4791256049
5,34.11237005,2.266427944,0.4548751489
6,36.83262409,2.36675091,0.4822141334
7,20.92664201,2.304580417,0.3806278361
8,23.62998081,2.350875236,0.4018630073
9,18.83895329,2.294755898,0.3671095043
10,19.12578321,2.284310093,0.3676561803
11,25.81242157,2.291481001,0.4082543666
12,30.27793035,2.475796966,0.4553143277
13,31.0011592,2.402430965,0.4514674833
14,18.9851693,2.29068525,0.3675275434
15,18.2783359,2.364600076,0.3715329602
16,21.90424747,2.420149544,0.3992879303
17,23.74907202,2.272171764,0.3938270533
18,16.49078192,2.480006147,0.3737156548
19,15.53369992,2.332151608,0.351590456
20,37.72342804,2.295640306,0.4796153597
21,49.74334533,2.333059882,0.555320217
22,37.85162519,2.474438646,0.5002449202
23,31.51971524,2.329080726,0.4464040999
24,27.3664607,2.335680391,0.4224156428
25,16.71490532,2.379229024,0.3638522645
26,54.21442374,2.312279281,0.5796248233
27,32.19522682,2.366100194,0.4545382765
28,25.97862201,2.303320956,0.4105592055
29,20.12266282,2.316381897,0.3771535212
30,22.25202679,2.300428424,0.3880556987
31,27.38923635,2.347892563,0.4239081202
32,48.18648272,2.218793674,0.5333569324
33,18.50819497,2.336147792,0.3697398041
34,21.38240244,2.317385494,0.3847634821
35,18.36317489,2.419869578,0.37817901
36,22.03217803,2.265434622,0.3828588749
37,21.27607283,2.292076488,0.381318456
38,25.03184346,2.375136507,0.4129031245
39,19.43917968,2.359074508,0.3778287927
40,21.98419042,2.322199245,0.3888804147
41,24.24348046,2.464310467,0.4181187054
42,36.31637106,2.316935341,0.4736061354
43,22.46136326,2.261681996,0.3849965904
44,37.9776793,2.32731684,0.4846483749
45,36.65353734,2.388020707,0.4835114516
46,30.77886431,2.297832187,0.4385222131
47,27.92369947,2.303014065,0.4221029486
48,50.14554526,2.31059202,0.5552178351
49,24.23739303,2.296111682,0.3993937169
50,32.389349,2.370402959,0.4561718506
51,31.10359989,2.325458797,0.4435247863
52,19.38256467,2.323649054,0.373555637
53,26.39450493,2.34824564,0.4180263306
54,16.46064512,2.239968624,0.3468654331
55,38.31372235,2.348641519,0.4890180399
56,28.72018882,2.333627709,0.4302454726
57,24.6967523,2.376365074,0.4110450417
58,22.08486025,2.422107938,0.4005806057
59,38.98199521,2.454051134,0.504708034
60,27.19879246,2.57270806,0.4477540254
61,20.37986142,2.372935147,0.3849681597
62,17.64253139,2.204217841,0.3499281613
63,23.87547747,2.415297602,0.4104823376
64,18.94753953,2.292279419,0.3674806867
65,15.67129343,2.454895939,0.3660477239
66,22.21780426,2.434453323,0.4027436486
67,21.6682216,2.425869016,0.3985185113
68,24.20659896,2.347926745,0.404967648
69,40.42180464,2.373538789,0.5043325121
70,23.93084593,2.295618658,0.3975142513
