replication,el_app_wt,ur_scan_wt,objective
0,15.39607103,3.323461966,0.4609168318
1,15.04261381,3.353887181,0.4621934992
2,12.49743016,3.424863973,0.4549299067
3,12.81890027,3.467582087,0.4615898763
4,12.43552821,3.281746106,0.4386594575
5,15.20957759,3.346653529,0.462383592
6,15.93704132,3.333795364,0.4652850483
7,13.45699438,3.394640083,0.4572833884
8,12.82438964,3.466518487,0.4615043734
9,12.07226663,3.42128427,0.4520014266
10,13.08544115,3.341221657,0.4491363814
11,14.55919711,3.300683037,0.4534044472
12,13.18177494,3.463583241,0.4633055283
13,14.64518743,3.371417913,0.461775725
14,12.86519317,3.297756674,0.442995939
15,12.38073771,3.378954151,0.4491342175
16,12.07644912,3.397835089,0.4494208578
17,13.2097057,3.340571305,0.44980379
18,11.32939705,3.466704958,0.452626327
19,10.96603079,3.376298871,0.4404183118
20,13.73560901,3.336413559,0.4524721951
21,16.50570596,3.379078406,0.4737014059
22,15.21004191,3.488438481,0.4781402394
23,14.34392736,3.427581109,0.4662228654
24,14.11439957,3.390769449,0.4607664442
25,11.78082576,3.353956217,0.4427857647
26,19.76043466,3.384027929,0.4936247382
27,15.03689796,3.458848114,0.4738218021
28,13.76351303,3.464945461,0.4669196129
29,12.26815488,3.383651271,0.4489859838
30,12.50863923,3.375681451,0.4495319027
31,12.42806792,3.295248696,0.4401153387
32,13.89640256,3.278397723,0.4469830956
33,12.28114596,3.362236139,0.4466838525
34,12.31749787,3.370327976,0.4477993259
35,11.74275894,3.464211977,0.4548098165
36,13.29988932,3.313739947,0.4473593353
37,12.7875663,3.276109554,0.4401286388
38,14.44675298,3.417851803,0.4657538887
39,12.07378191,3.465250433,0.4568955754
40,13.31467104,3.418540575,0.459091836
41,13.45301108,3.409268687,0.4588850788
42,16.262727,3.431286905,0.4780560469
43,12.29936879,3.350064687,0.4454399381
44,13.57930991,3.260945335,0.443156485
45,16.82083334,3.386120855,0.4763596585
46,14.72371899,3.360095177,0.460985093
47,14.12679867,3.375466878,0.4591399626
48,15.67786525,3.249736582,0.454402469
49,13.25900504,3.320097369,0.4478223568
50,14.80888149,3.424349712,0.4686314055
51,12.48711289,3.358941841,0.447543813
52,12.88180087,3.342049547,0.4480162247
53,14.10283722,3.389471603,0.4605534155
54,11.55055695,3.378060189,0.4440933362
55,16.51203439,3.335481347,0.4688949575
56,13.81347746,3.435033925,0.4638935162
57,13.52240689,3.410456686,0.459430149
58,14.12808874,3.358055198,0.4572130105
59,13.32001725,3.487942361,0.4668349682
60,13.43793024,3.555302155,0.4750212528
61,12.13843229,3.357357164,0.4452922581
62,12.0198966,3.329980387,0.4415448243
63,14.7125937,3.438757462,0.4696591249
64,11.8094216,3.290043906,0.4358546102
65,11.18762165,3.472887313,0.4524693541
66,13.74783812,3.411330815,0.460869127
67,12.13598423,3.505565512,0.4617452805
68,13.54120888,3.320134403,0.4495062564
69,16.08135932,3.450656389,0.4791286424
70,13.41641313,3.300581914,0.4465909257
71,14.11544508,3.289587779,0.4495302597
72,14.11723327,3.369000458,0.4583645347
73,13.91035878,3.314118283,0.4510351195
74,13.51834669,3.384228178,0.4564917025
75,14.38635275,3.460646419,0.4701493209
76,13.25567829,3.25334657,0.4403857992
77,17.24811928,3.452414971,0.4862690401
78,15.21055125,3.419419909,0.470474541
79,14.48441843,3.494517867,0.4744965394
80,14.32971044,3.344323603,0.456887407
81,13.28248264,3.37254367,0.4537894711
82,14.50768069,3.328238181,0.4561594845
83,14.75482724,3.350466209,0.4601003758
84,14.13185302,3.353451996,0.4567239501
85,12.26325342,3.332900192,0.4433177996
86,12.84373968,3.454337843,0.4602661473
87,13.17528483,3.448712801,0.4616146256
88,24.11505125,3.387228111,0.5199006507
89,16.61083809,3.385793397,0.4750733026
90,15.12529814,3.354225339,0.4627232409
91,13.63949738,3.461647719,0.4658150087
92,11.7347196,3.362247517,0.4434325789
93,12.45174696,3.501707743,0.4631961796
94,13.16413408,3.372926248,0.453127524
95,11.22570984,3.407937032,0.4454793717
96,14.5026137,3.385139523,0.4624516953
97,15.82484107,3.373438648,0.469021999
98,10.6681067,3.416839478,0.443149466
99,12.97020011,3.242591767,0.4374915463
100,14.40640431,3.34952446,0.457921791
101,15.39975292,3.319631601,0.4605131516
102,14.74058483,3.345444903,0.4594576767
103,10.91117964,3.366858719,0.4390429111
104,13.0713178,3.331236031,0.4479427999
105,14.23859681,3.266192082,0.4476637837
106,14.79323448,3.294287558,0.454086918
107,14.35827273,3.450998012,0.4689101327
108,12.32977164,3.397014847,0.450837592
109,11.62859909,3.37442815,0.4441543128
110,13.17011315,3.341645901,0.4496875197
111,11.64403765,3.525013369,0.4609779
