replication,el_app_wt,ur_scan_wt,objective
0,42.57285065,2.444305357,0.5249993094
1,36.43722405,2.511089907,0.495898228
2,28.38787726,2.579991479,0.4556411798
3,27.07492445,2.544978013,0.4439355994
4,53.27435485,2.491823648,0.5939785492
5,42.47636145,2.526863431,0.5335980882
6,45.9397603,2.489837702,0.5500995877
7,25.6660946,2.564718077,0.4377430478
8,29.7969156,2.640531459,0.4707549771
9,24.33320469,2.593825607,0.4330433494
10,23.70020381,2.591808683,0.4290513843
11,31.33725675,2.471337746,0.4611243731
12,41.21662839,2.595962749,0.5337773792
13,47.84407628,2.527401732,0.565608583
14,21.90228967,2.470923255,0.4049178001
15,22.74963306,2.523293973,0.4157804795
16,28.90541753,2.537562204,0.4540074128
17,30.98869213,2.511934484,0.4635603323
18,20.31775205,2.613881177,0.4113702421
19,18.73569921,2.534327426,0.3931139554
20,48.72480699,2.483750108,0.5660008472
21,72.8046612,2.511716476,0.712440687
22,46.32572909,2.57501512,0.5618611786
23,42.30128568,2.57552536,0.5379628516
24,35.26574548,2.547638702,0.4929861185
25,19.4130976,2.556435714,0.3996025651
26,73.20265141,2.527602557,0.7165747965
27,42.6832073,2.594008849,0.5422899155
28,35.82861775,2.598522465,0.5019903001
29,23.93202978,2.550557628,0.4258478502
30,27.8232086,2.576059841,0.4518432081
31,40.15047397,2.524032608,0.519438984
32,66.77376525,2.484288419,0.6734949349
33,22.36031224,2.52162327,0.41327746
34,30.77450497,2.56192538,0.4678399527
35,22.78908101,2.558278168,0.4199024215
36,27.13583962,2.482178085,0.4373204199
37,25.98147552,2.446095578,0.4264400376
38,32.23164691,2.563390735,0.4766762339
39,23.11885379,2.596720009,0.4261366704
40,26.81864542,2.560099111,0.444090251
41,30.52694001,2.550552297,0.4651026759
42,48.61285864,2.543245102,0.5719450429
43,35.00291064,2.527202508,0.4891509373
44,55.90362204,2.435294669,0.6033479515
45,45.35264714,2.587995039,0.5575112373
46,39.25100241,2.50022454,0.5114396458
47,37.58100683,2.577037186,0.5100339343
48,96.88752651,2.392126001,0.8425032453
49,31.52799862,2.491745096,0.4645272247
50,41.40066895,2.566218776,0.5315679728
51,38.09626081,2.503466198,0.5049263681
52,23.81305625,2.54299424,0.424299298
53,32.93958385,2.573330425,0.4819945542
54,19.55429409,2.538228386,0.3984199839
55,51.79115964,2.509874984,0.5871557104
56,38.33587141,2.592862636,0.5162855593
57,31.27699666,2.60241138,0.4753294191
58,27.24622219,2.529265949,0.4432094439
59,51.81617879,2.576471868,0.5947042877
60,32.32611941,2.66771336,0.488829973
61,25.17147917,2.52532204,0.4304215709
62,20.1728902,2.529296143,0.4011096321
63,27.68634619,2.595401007,0.4531775694
64,22.29930475,2.42971204,0.4027019613
65,18.76851739,2.629792121,0.40391649
66,26.77574467,2.566974656,0.4445988388
67,25.63275959,2.617836511,0.4434466734
68,29.77295904,2.463803854,0.450975978
69,51.54061788,2.561195259,0.5913666432
70,28.64214104,2.446523485,0.4423248775
71,43.17794631,2.524416017,0.5375022537
72,35.01754707,2.53661637,0.4902840435
73,29.32740863,2.496867803,0.4519976645
74,28.51650758,2.605527786,0.4592442039
75,28.7203007,2.657248435,0.466203997
76,23.45504505,2.458770422,0.4128100769
77,50.2119838,2.637457853,0.5919317285
78,40.16333824,2.5617149,0.5237024784
79,47.72638628,2.582026994,0.5709775208
80,31.13721843,2.497641301,0.462856286
81,35.09718132,2.553922566,0.4926809676
82,30.17925551,2.448223663,0.4516632771
83,36.14709704,2.549465632,0.4984352511
84,44.65148995,2.462368953,0.5393792286
85,29.0139983,2.500587988,0.4505454806
86,46.9086469,2.560008012,0.5636634709
87,34.55668666,2.61454575,0.4961996467
88,158.4259829,2.535516406,1.224735848
89,56.29919248,2.484503788,0.6111702174
90,73.34369761,2.548973654,0.7197889235
91,37.00786455,2.592783857,0.5083720033
92,32.64583132,2.580614916,0.4810554152
93,24.71007422,2.61597787,0.4377479829
94,38.07962951,2.556300013,0.5106977961
95,21.69393926,2.562826392,0.4138890788
96,36.14588722,2.519268155,0.4950727745
97,49.11511622,2.517383814,0.5720611949
98,18.20614897,2.511769396,0.3874554227
99,33.14768434,2.419106332,0.4660972374
100,34.48609253,2.516051249,0.4848356102
101,46.56602006,2.535775247,0.5589314961
102,45.48082994,2.531176762,0.5519610883
103,20.79969331,2.576966967,0.4101373613
104,34.44025469,2.473038518,0.4797835736
105,37.73571823,2.521901302,0.5048286263
106,41.71952245,2.492290933,0.5252517056
107,32.47865326,2.567302359,0.4785811347
108,23.50031683,2.614561969,0.4303897237
109,20.57341012,2.501955803,0.4004558638
110,30.79695181,2.521427359,0.4634737848
111,19.38271779,2.634812692,0.408130286
112,25.48944877,2.47832282,0.4270921116
113,68.54552106,2.587113195,0.6954660756
114,46.87558351,2.53497148,0.5606848282
115,72.48602635,2.486744363,0.7077693718
116,31.35783148,2.554228099,0.470456881
117,26.24513433,2.572576948,0.4420629207
118,28.58052173,2.403600348,0.4371888585
119,36.9605772,2.563733858,0.5048627533
120,22.06206881,2.665368589,0.4274739036
121,34.52106797,2.501812768,0.4834617439
122,26.14447218,2.53945823,0.4377838838
123,21.48229202,2.575493448,0.4140367245
124,26.77592781,2.465269421,0.4332993472
125,39.49557735,2.642969439,0.5287559933
126,31.43788553,2.525021967,0.4676882673
127,35.90460272,2.490578229,0.4904487876
128,82.97134918,2.546818638,0.7768569271
129,30.52062993,2.55663772,0.465741274
130,26.25361846,2.566596524,0.44144893
131,24.43264786,2.635586961,0.4382754235
132,45.11789289,2.478482645,0.5439458468
133,75.86394289,2.516854357,0.7312215728
134,28.72091255,2.696362451,0.4705536408
135,32.16804925,2.493965415,0.4685837519
