replication,el_app_wt,ur_scan_wt,objective
230,14.52549975,2.700317702,0.3864966083
231,14.81023882,2.807353997,0.4000844054
232,18.5929061,2.620494217,0.4018380842
233,17.58704197,2.680143072,0.4024784483
234,12.56375478,2.791572855,0.3849590163
235,22.48548065,2.701930449,0.4340566411
236,14.24438877,2.611516993,0.3749565832
237,15.42791943,2.674229213,0.388969433
238,14.98561349,2.525202622,0.3697781494
239,16.75005872,2.612304598,0.389958797
240,13.09314147,2.654134283,0.3728391751
241,20.15187245,2.707813048,0.4208197382
242,14.41868662,2.650815209,0.3803605388
243,13.46447731,2.653281418,0.3749547447
244,16.11483353,2.779006107,0.4047000845
245,14.95650323,2.692518021,0.388195474
246,12.95350997,2.608792302,0.3669700373
247,18.10310379,2.629443931,0.3999170069
248,15.50563515,2.664800312,0.3883843709
249,14.19393593,2.628387897,0.3765308135
250,13.65363943,2.70023422,0.3812976877
251,20.84920077,2.717103298,0.4260027519
252,19.58995458,2.776903703,0.4251517285
253,15.41556462,2.625643447,0.383497474
254,13.46598724,2.692250625,0.3792936443
255,16.37723299,2.755129433,0.4036090222
256,14.60193893,2.704601922,0.3874276279
257,19.72260236,2.682718128,0.4154762346
258,14.14331409,2.700931186,0.3842898585
259,16.00128391,2.729948456,0.3985733438
260,18.45877472,2.809240401,0.4220114814
261,14.53230321,2.696275101,0.3860879271
262,16.85008953,2.719972925,0.4025173659
263,14.50948732,2.771155654,0.3942721797
264,18.92355162,2.693147363,0.4118787841
265,19.54735111,2.690536125,0.4153017388
266,17.63233426,2.683590957,0.4031311436
267,18.35470552,2.684308086,0.4075106535
268,20.89131198,2.658599635,0.4197530069
269,13.09569516,2.694099472,0.3772949522
270,18.80009582,2.67919389,0.4095935423
271,15.6762209,2.495892634,0.3706322425
272,13.08135251,2.594688042,0.3661638648
273,16.558706,2.730276159,0.4019277439
274,19.85696662,2.717296546,0.4201180683
275,19.27193478,2.581850978,0.4015862284
276,21.3344944,2.693391656,0.4262567776
277,13.82081897,2.773635772,0.3904485321
278,15.19032107,2.689504609,0.3892524233
279,15.89717087,2.719735218,0.3968188191
280,14.39096346,2.543276031,0.3682467224
281,20.85328175,2.64582972,0.4181077571
282,11.15747647,2.549712701,0.3497149616
283,15.34800277,2.754058987,0.3973637135
284,14.81266754,2.671837056,0.3850414241
285,14.98682215,2.708766975,0.3901813831
286,15.37034641,2.607032813,0.3811604698
287,15.35580835,2.700186307,0.3914243219
288,16.32771459,2.660146622,0.3927606242
289,18.91028357,2.689749321,0.4114222474
290,13.4602194,2.72614642,0.3830255114
291,16.50994212,2.701986239,0.3984941582
292,18.49222977,2.648716368,0.4043746149
293,20.25429016,2.581681682,0.4074147712
294,22.08187752,2.7869675,0.4411028027
295,19.48273048,2.70139388,0.4161235093
296,17.29192584,2.565075883,0.3879365615
297,14.49244164,2.694458823,0.3856488472
298,16.78017385,2.729461091,0.4031554418
299,13.10808662,2.600728918,0.3669942049
300,14.02463718,2.687971091,0.3821434377
301,15.2128053,2.724078019,0.3932277479
302,16.37235065,2.621082079,0.3886858102
303,14.5015185,2.55122551,0.3697880636
304,14.94073098,2.64306541,0.382606857
305,16.22404484,2.639800998,0.3898829175
306,20.94880895,2.801202168,0.4359399767
307,21.50979375,2.664171425,0.4240535339
308,16.6061869,2.766465095,0.4062313612
309,13.620624,2.684334857,0.3793345714
310,15.83540681,2.711423245,0.3955276233
311,15.19492496,2.785256772,0.3999189565
312,17.87968169,2.567154551,0.3916660712
313,14.51331274,2.681636785,0.3843484091
314,12.5863752,2.585443174,0.3621903638
315,12.98578829,2.630566767,0.3695815552
316,14.97852214,2.777963155,0.3978204426
317,12.73009665,2.613815656,0.3661983467
318,15.30438162,2.750042806,0.3966578213
319,15.52215966,2.694927761,0.3918302254
320,14.80734646,2.688478821,0.3868588361
321,14.73762519,2.774502594,0.3960020254
322,19.13776503,2.566241062,0.3990531638
323,15.91934335,2.675426198,0.3920275737
324,16.25530795,2.652005039,0.391425012
325,16.18655278,2.676217849,0.3937060672
326,15.39007921,2.701469441,0.3917708856
327,15.06817306,2.716276953,0.3915000566
328,12.56858275,2.726929209,0.3778051269
329,19.58604291,2.754302851,0.4226172388
330,13.29821141,2.641725223,0.3726810451
331,14.59052265,2.704362478,0.3873330689
332,12.54369803,2.684528751,0.3729458416
333,16.36153213,2.654849419,0.392373341
334,18.41154246,2.716065952,0.4113776204
335,14.77401477,2.60984642,0.3779234996
336,17.45696814,2.696607076,0.403533533
337,18.37842136,2.72958452,0.4126825342
338,17.70569252,2.640685774,0.3988005574
339,14.94720551,2.68909874,0.3877602103
340,19.42812634,2.601156531,0.4046610015
341,13.02192008,2.689348869,0.37632797
342,16.29517507,2.755417954,0.4031526401
343,15.39128593,2.672627442,0.3885734019
344,12.83999436,2.680062661,0.374213278
345,24.40838978,2.685556676,0.4436832206
346,14.95619179,2.740766551,0.3935545679
347,20.42807407,2.614589299,0.4121056011
348,12.22139264,2.609988006,0.362745052
349,22.58387685,2.710538991,0.4355988374
350,13.96120266,2.662793474,0.3789683384
351,15.18597185,2.736579625,0.3944570923
352,15.85698139,2.620182453,0.3855181777
353,16.37158235,2.69790616,0.3972172461
354,16.21670551,2.586119841,0.3838746579
355,18.85596761,2.756118363,0.4184732761
356,15.71170075,2.680926247,0.3914027224
357,16.57278514,2.716072947,0.4004334136
358,20.36165962,2.695062007,0.420651689
359,15.29643573,2.770394644,0.3988718398
360,14.53296216,2.726886624,0.3894931298
361,15.93919901,2.765481759,0.4021519356
362,15.10656878,2.603601652,0.3792091248
363,16.07168621,2.80484697,0.4073144621
364,20.15380382,2.6472759,0.4141048846
365,13.44711723,2.763273523,0.3870727559
366,17.3735487,2.80149507,0.4146912104
367,13.6098194,2.673830656,0.3781031249
368,18.24084214,2.68236115,0.4066165691
369,12.27417403,2.707934262,0.3739421444
370,12.79356004,2.683954837,0.3743693472
371,15.84030871,2.582161087,0.3811943393
372,13.33271362,2.759034136,0.385920739
373,14.2117871,2.590431186,0.3724196582
374,13.81018425,2.737262663,0.3863437736
375,18.68733408,2.719882791,0.4134433304
376,23.70921956,2.603533945,0.4304078563
377,17.46900726,2.709719219,0.4050620993
378,16.89732316,2.713583626,0.4020885963
379,14.50963591,2.674589194,0.3835434575
380,14.64956972,2.692997921,0.386421811
381,15.0911818,2.760552674,0.396556538
382,18.52409269,2.738057635,0.4144910826
383,15.2944816,2.680426811,0.3888637821
384,16.34694713,2.587917881,0.384849688
385,14.21650233,2.629741984,0.3768155915
386,13.69815831,2.603902676,0.3708591761
387,15.87621393,2.778207832,0.4031910325
388,14.85913115,2.584879374,0.3756560286
389,17.96819647,2.712008755,0.4082878566
390,13.18971765,2.680521859,0.3763459862
391,23.99750889,2.556321973,0.4268780896
392,18.29364252,2.715447981,0.4106071716
393,15.20106568,2.720654535,0.3927774822
394,15.76665318,2.669151126,0.3904214734
395,15.26844553,2.731602557,0.3943949996
396,15.08018819,2.640943405,0.383201181
397,17.8004194,2.717850663,0.4079382844
398,16.39101102,2.604971158,0.3870067816
399,15.0514994,2.760893966,0.3963582546
400,13.68720294,2.596082525,0.36992506
401,19.57627046,2.775165797,0.4248771747
402,19.25422396,2.729507608,0.417887099
403,17.08020351,2.748122103,0.4070147784
