replication,el_app_wt,ur_scan_wt,objective
0,42.21126671,2.315765866,0.5085648584
1,35.36769589,2.266194389,0.4623213759
2,27.89082614,2.36236227,0.4285015189
3,26.44593375,2.448650819,0.4294885856
4,53.18259366,2.354658611,0.5781917921
5,41.26372016,2.304591068,0.5016830561
6,45.48198397,2.393966747,0.5367224003
7,25.04722723,2.32327888,0.4072327361
8,29.027413,2.348038896,0.4336754309
9,23.67610053,2.291470646,0.3955370193
10,22.81940349,2.298832055,0.3912555666
11,30.56334728,2.316442212,0.4393071542
12,40.32903153,2.467390088,0.5142082133
13,47.56699824,2.400423367,0.5498506017
14,21.35685144,2.322099408,0.3851351611
15,22.34338271,2.373073014,0.396671105
16,28.34470944,2.419683919,0.4375722773
17,30.44715799,2.260932171,0.432447769
18,19.54101593,2.472197306,0.3910041606
19,17.79988937,2.322812591,0.3640420104
20,47.73343862,2.318196876,0.5417050415
21,70.95964492,2.32680424,0.6809126433
22,45.93784231,2.455182639,0.5462376085
23,41.67651329,2.352338402,0.5094454174
24,34.13695224,2.382358555,0.4679026504
25,18.75256125,2.413167258,0.3797520837
26,72.286559,2.32211281,0.6882896714
27,41.74646119,2.371904873,0.5120358263
28,34.97235338,2.305807827,0.4643696398
29,23.51316829,2.273900731,0.3926149718
30,26.74525505,2.283027304,0.4128676471
31,39.21518221,2.355967573,0.4951978784
32,66.83901538,2.199923833,0.6422872635
33,22.0173078,2.376544106,0.3951158597
34,30.51031474,2.319953032,0.4393815754
35,22.16566113,2.388683993,0.3973477917
36,26.46990079,2.23773989,0.4061966989
37,25.11252369,2.291807104,0.4041245415
38,31.68606065,2.371654441,0.452124664
39,22.56217563,2.369375789,0.397562641
40,26.14038345,2.324240189,0.4138464304
41,29.53464228,2.446053747,0.4475851918
42,47.59094768,2.335965099,0.5428311281
43,33.98252965,2.268766535,0.4543621328
44,55.6710055,2.308151303,0.5878362886
45,44.0855511,2.384617745,0.5273715219
46,38.90251955,2.317622176,0.4890761915
47,36.90235136,2.296637871,0.474838839
48,95.84580381,2.366260234,0.8334285408
49,31.03156688,2.283306785,0.4384124615
50,40.33316356,2.342206387,0.5003235086
51,37.97258036,2.343812824,0.4864509111
52,23.09057336,2.357249873,0.3993605416
53,32.63325957,2.358469929,0.456297807
54,18.60801493,2.288913163,0.3650856784
55,50.24513028,2.360528684,0.5613591213
56,37.23407914,2.313833595,0.4787240451
57,30.14650182,2.36511185,0.4422336688
58,26.75871381,2.427553431,0.4290062174
59,51.6910847,2.471251815,0.582268563
60,31.85502934,2.551283801,0.4730892478
61,24.27886885,2.338950432,0.4044004579
62,19.72423643,2.286261862,0.371435265
63,27.21776826,2.418777004,0.4307635258
64,21.73801341,2.28654981,0.383454027
65,17.87155285,2.463062418,0.3800518927
66,26.09269783,2.430854097,0.4254085772
67,25.02022072,2.393764608,0.4149037305
68,29.45232985,2.378951963,0.4396394831
69,49.91482253,2.369123733,0.5603480092
70,27.78489623,2.307881623,0.4218175785
71,42.77926591,2.239288673,0.5034483401
72,34.61067901,2.312645565,0.4629765648
73,28.54084272,2.396063623,0.43611526
74,27.91591774,2.295077565,0.4211747954
75,28.14742067,2.331489068,0.4265985115
76,23.10468484,2.36122357,0.3998860604
77,49.40075039,2.419880965,0.5629277484
78,39.50199923,2.405476179,0.5024060788
79,47.44382917,2.396757965,0.5487101857
80,30.22673199,2.411820992,0.4479011339
81,34.1609525,2.438862251,0.4743236976
82,29.35184005,2.346247507,0.4354075011
83,35.27033212,2.326478938,0.4684401129
84,43.78487977,2.391910971,0.52639217
85,28.36716052,2.35517735,0.4305385182
86,45.84722248,2.408997949,0.5405665726
87,34.16714375,2.302299985,0.4591869651
88,157.5301369,2.310087894,1.194355819
89,56.72557519,2.304006852,0.5936529946
90,73.31919445,2.430155241,0.7064410255
91,36.93724392,2.416657147,0.488382008
92,31.70044223,2.336955157,0.4483547926
93,23.9173073,2.317047514,0.3998146482
94,37.33838268,2.313005528,0.4792528921
95,20.86616211,2.415024513,0.3925394029
96,35.14398337,2.328703443,0.4679352042
97,48.56004972,2.343616605,0.54944976
98,17.51713163,2.40703474,0.3717169451
99,32.96005607,2.295819294,0.4512818426
100,33.64998729,2.311184742,0.4570958481
101,46.24988595,2.301266973,0.5309932705
102,44.14059125,2.332070656,0.5218605763
103,20.07718269,2.292525748,0.374232123
104,34.25744018,2.393673787,0.4698770885
105,37.62093764,2.34915542,0.4849514214
106,41.29750028,2.301800896,0.5015741091
107,31.74028703,2.411136994,0.4568343904
108,22.21685918,2.442021692,0.403578953
