n_urgent,strategy,rule,objective_mean,objective_ci_low,objective_ci_high,awt_e_hours_mean,swt_u_min_mean,overtime_min_mean
13,3,2,0.3386370586000795,0.3305985323504302,0.34667558484972877,19.310051106229754,120.79599023116155,26.566075544163017
13,3,3,0.34020797384714085,0.3321663270934206,0.3482496206008611,19.413788951637102,121.3108413900511,27.157293181873076
13,3,4,0.34054062462996326,0.33250176188551717,0.34857948737440936,19.518069322056455,121.15528590785587,27.025186803932648
14,3,2,0.3419026504192315,0.3310354488017249,0.3527698520367381,22.77253170172593,111.43000789940878,25.00792710794767
13,3,1,0.34202045652060925,0.33397581253293224,0.35006510050828626,19.54306932205645,121.87403798594755,27.766168201206625
12,3,2,0.342145620248006,0.3355724719756396,0.34871876852037237,16.89045983267239,130.46787118604774,28.115831566160004
14,3,3,0.34344074766127747,0.33256556215903293,0.354315933163522,22.875244123068146,111.93043334151363,25.595567071024337
12,3,3,0.34375633590036186,0.33717875792922375,0.3503339138715,16.995212923879635,131.00095127372512,28.711164557981824
14,3,4,0.34378456356895987,0.33291213115266544,0.3546569959852543,22.980408918278698,111.77806423277109,25.47088814156858
12,3,4,0.3440693451219779,0.33749514105191136,0.35064354919204443,17.098588242906267,130.83769844224082,28.564737267786427
