n_urgent,strategy,rule,awt_e_hours_mean,awt_e_hours_std,awt_e_hours_ci_low,awt_e_hours_ci_high,swt_e_min_mean,swt_e_min_std,swt_e_min_ci_low,swt_e_min_ci_high,swt_u_min_mean,swt_u_min_std,swt_u_min_ci_low,swt_u_min_ci_high,overtime_min_mean,overtime_min_std,overtime_min_ci_low,overtime_min_ci_high,objective_mean,objective_std,objective_ci_low,objective_ci_high
10,1,1,14.753248127806657,3.2282410366272605,13.971847326687232,15.534648928926082,4.875802190435049,0.17841842380948678,4.832615731395158,4.91898864947494,178.16737098983188,4.897098328963124,176.98202066623577,179.352721313428,22.475655202276663,1.2871832474450635,22.164090480395828,22.787219924157498,0.41775652904880234,0.021379223842186115,0.412581654419537,0.4229314036780677
10,1,2,14.52019195582428,3.2282131729470143,13.738797899152319,15.301586012496243,11.46686611533838,0.27986143023305,11.399125217646613,11.534607013030147,173.99019266490967,4.875128380858893,172.81016020167604,175.1702251281433,19.283461791148223,1.1922378441208563,18.994878752908225,19.572044829388222,0.40863377451333704,0.021290607296412366,0.403480349657826,0.4137871993688481
10,1,3,14.636456963885067,3.2282353343793524,13.855057543003683,15.41785638476645,9.05736349785537,0.173564990068263,9.015351820057196,9.099375175653543,176.46997290787337,4.875992543667783,175.2897312726778,177.65021454306893,21.127636984522,1.2256737329736276,20.83096073699581,21.42431323204819,0.4139180137678644,0.021328342900421907,0.40875545495027643,0.4190805725854524
10,1,4,14.728248127806657,3.22824103662726,13.946847326687232,15.509648928926081,4.880239337017994,0.17800425047197777,4.8371531292834,4.923325544752589,177.08335585162808,4.891419537001366,175.8993800885242,178.26733161473197,21.621811131862962,1.2665584524195193,21.31523867393424,21.928383589791686,0.41560028408387467,0.021338224390807927,0.4104353334360558,0.4207652347316935
10,2,1,14.29451270663318,3.234509596351687,13.511594590810498,15.077430822455861,4.791923497237485,0.1947486439636019,4.744784282822111,4.839062711652859,153.67542086799608,4.855424413454767,152.50015778094598,154.85068395504618,26.85090035922312,1.2785201626278797,26.54143255059613,27.160368167850113,0.3696704978770422,0.02122320636851225,0.36453338752173725,0.37480760823234716
10,2,2,14.061230758982333,3.234541216689956,13.278304989407228,14.844156528557438,11.276503174131378,0.26046641810889704,11.213456869513543,11.339549478749213,153.09626456309792,4.826686687008243,151.9279574877622,154.26457163843364,22.986446120413717,1.2507946229332045,22.683689322111878,23.289202918715556,0.3672094031795736,0.021202494415308696,0.36207730618499434,0.3723415001741529
10,2,3,14.161177546767663,3.234569845210925,13.378244847614202,14.944110245921124,9.29858057288928,0.18639330620407543,9.25346378107025,9.34369736470831,154.73317103058324,4.84924792505055,153.55940297222907,155.9069390889374,24.79126664939488,1.2695827891773515,24.48396214601521,25.098571152774554,0.3708356328085596,0.02127066725596988,0.3656870344710809,0.37598423114603824
10,2,4,14.26951270663318,3.2345095963516877,13.486594590810498,15.052430822455861,4.837586011732129,0.19409687425373637,4.790604559196261,4.884567464267997,152.5923423755728,4.851317484247634,151.41807337717228,153.76661137397332,25.79579734436111,1.2723602374697336,25.487820555270392,26.103774133451825,0.36751598744133757,0.02119426215651566,0.36238588307789793,0.3726460918047772
10,3,1,14.027050787449596,3.2379064193626554,13.243310465294762,14.81079110960443,4.74115467961795,0.16984507921012815,4.700043412071571,4.78226594716433,172.73504611798882,4.313351555767218,171.69099261549462,173.779099620483,30.632082158491137,1.235744714064172,30.33296821421216,30.931196102770116,0.4033740649586078,0.02065533536622994,0.39837440866917995,0.4083737212480356
10,3,2,13.791952992625108,3.237961707956501,13.008199287779503,14.575706697470713,10.420707300249342,0.2865498541208711,10.351347459075699,10.490067141422985,171.03798673498991,4.314174650650298,169.9937340010896,172.08223946889024,26.719562317371775,1.1998953445572553,26.42912576915291,27.00999886559064,0.3988319707616386,0.020676977803324597,0.39382707588640137,0.4038368656368759
10,3,3,13.902143314614834,3.23795009785259,13.118392420013073,14.685894209216595,9.110391525429705,0.16215405325754884,9.071141882765913,9.149641168093497,171.95402181987927,4.286669275109827,170.9164268052256,172.99161683453295,28.740555024385742,1.2086777768975816,28.447992674658053,29.03311737411343,0.4011842268037007,0.020654181414046076,0.3961848498302071,0.4061836037771943
10,3,4,14.00205078744959,3.2379064193626546,13.218310465294756,14.785791109604425,4.788891996217388,0.16999452183179076,4.747744555850279,4.830039436584498,171.72513871890388,4.314026909373388,170.6809217460111,172.76935569179665,29.618192664983276,1.230052660815769,29.320456491111727,29.915928838854825,0.40135505654760395,0.020635174050559417,0.39636028033622417,0.40634983275898373
12,1,1,17.92633268752661,5.035025150779118,16.707596960597826,19.145068414455395,4.9136651040480706,0.16504821998168218,4.873714923793946,4.953615284302195,167.10121637741688,4.6302637633827075,165.98045377851207,168.22197897632168,20.305550916281824,1.2102136343717902,20.01261680984603,20.598485022717618,0.4161510582304938,0.03201813119636553,0.40840101940646417,0.42390109705452345
12,1,2,17.69344563788136,5.034979512200324,16.474720957842084,18.912170317920637,11.540903045755975,0.25798041401809124,11.478458482323541,11.60334760918841,162.83558903670257,4.5873939558849814,161.7252031418736,163.94597493153154,17.239057038848916,1.1227469153461933,16.967294388801427,17.510819688896405,0.4068655159019176,0.03192360267989481,0.39913835785341273,0.4145926739504225
12,1,3,17.80797047917693,5.035031084630672,16.58923331595008,19.02670764240378,9.18440387513181,0.1614056118617248,9.14533539388058,9.22347235638304,165.31642133792866,4.601923830420196,164.20251846420217,166.43032421165515,18.984629754339135,1.1508391427065392,18.70606733664247,19.2631921720358,0.4121413452769792,0.03199559670273546,0.40439676096244115,0.41988592959151727
12,1,4,17.90133268752661,5.035025150779119,16.682596960597827,19.120068414455396,4.916948757414184,0.16462219083943255,4.87710169818147,4.956795816646899,165.99898245284538,4.622928628882899,164.8799953347394,167.11796957095137,19.489530906106523,1.1875805698501631,19.20207516840105,19.776986643812,0.4139610747722927,0.03199736523398871,0.40621606238199376,0.42170608716259167
12,2,1,17.491636092717208,5.036913734236907,16.27244323120332,18.710828954231097,4.891003826087494,0.18354330699916896,4.846576881041563,4.935430771133425,140.47968078488782,3.8666464806226752,139.54375294575695,141.4156086240187,24.92391678577068,1.2021074885793992,24.632944784625135,25.214888786916223,0.36426443851332063,0.03088941202857345,0.3567876079324007,0.37174126909424055
12,2,2,17.255033316508047,5.036946047906931,16.035832633419698,18.474233999596397,10.86077275611322,0.2789662668731295,10.793248534115317,10.928296978111124,140.53051018646255,3.8109429844211395,139.60806546586687,141.45295490705823,20.905391518239515,1.2064870989694447,20.61335942553682,21.19742361094221,0.36295021717636744,0.030871120173887233,0.3554778141675351,0.3704226201851998
12,2,3,17.35976171684466,5.036919078234504,16.140567561807778,18.57895587188154,9.350267922740565,0.18777353272634845,9.304817044929196,9.395718800551935,141.78870958249135,3.8139863226964152,140.86552821709765,142.71189094788505,22.80174165451339,1.1888364739644897,22.513981923249215,23.089501385777563,0.3659035993932393,0.030886572722761553,0.35842745607073995,0.37337974271573865
12,2,4,17.46663609271721,5.036913734236908,16.24744323120332,18.6858289542311,4.986282843965453,0.18641454658883524,4.941160910878011,5.031404777052895,139.5227045680718,3.8657685394131414,138.5869892359863,140.45841990015728,23.876385520011496,1.1992450143822762,23.58610638523046,24.16666465479253,0.36234345081022207,0.03085976262507244,0.35487379691387605,0.3698131047065681
12,3,1,17.39572123885047,5.034914915009816,16.17701219466237,18.61443028303857,4.749686047140567,0.15408931903759893,4.712388486031028,4.786983608250106,149.77348558686103,4.3599906371290915,148.71814302164623,150.82882815207583,28.19671330146523,1.2031642806616,27.905485502140344,28.487941100790117,0.38090426639739755,0.030176815569488254,0.3735999209059386,0.3882086118888565
12,3,2,17.160777356937157,5.034939801860407,15.942062288847877,18.379492425026438,10.298102308978658,0.2767776760398433,10.231107838821169,10.365096779136147,148.64148835715866,4.344309168246723,147.58994151605754,149.6930351982598,24.094237020098735,1.171948084785048,23.810565149897194,24.377908890300276,0.37740949974370286,0.030193426414438514,0.3701011335711968,0.38471786591620893
12,3,3,17.270784885315525,5.034876222678323,16.052085206666888,18.48948456396416,9.116048172678166,0.16369218283241901,9.076426223340741,9.155670122015591,149.29711041189404,4.322276803478068,148.2508965392068,150.34332428458129,26.289211738888042,1.1877067844723574,26.001725450735503,26.57669802704058,0.37927842137641726,0.030169654130164803,0.37197580932256746,0.38658103343026706
12,3,4,17.37072123885047,5.034914915009816,16.152012194662372,18.58943028303857,4.805892449042332,0.1551913831053669,4.768328131598409,4.843456766486256,148.7506638363948,4.36001315401381,147.6953158209328,149.80601185185682,27.156522237773018,1.2018216756144202,26.865619418103474,27.447425057442562,0.37886134252087283,0.030151211008315134,0.3715631946535646,0.3861594903881811
14,1,1,23.8390423094705,8.304870591769795,21.828835370157822,25.849249248783178,4.973066785055401,0.16256667581202985,4.9337172664557745,5.012416303655028,155.78717284970378,4.095961671134316,154.7957389094046,156.77860679000295,18.022048433243132,1.159146428572162,17.74147522398633,18.302621642499933,0.4303938259023843,0.050858703145597935,0.4180833971174925,0.4427042546872761
14,1,2,23.606308560166106,8.304840855469978,21.59610881857139,25.61650830176082,11.645958337249635,0.25505300804395287,11.584222357020078,11.707694317479191,151.46949612117615,4.067249329477077,150.48501204816336,152.45398019418894,15.147825580852922,1.083892395874119,14.885467728123265,15.41018343358258,0.4210128083206271,0.05063750850983442,0.408755920043903,0.4332696965973512
