replication_id,n_urgent,strategy,rule,rep,awt_e_hours,swt_e_min,swt_u_min,overtime_min,objective
4,10,1,1,4,12.452001805342405,5.485318136069929,178.51875112102374,23.79180930837454,0.404709338218881
0,10,1,1,0,23.46846356984194,5.408445495205014,178.47280275079362,23.22849092257699,0.4701984258140208
5,10,1,1,5,14.252360012317798,5.676839165769761,185.09475491248065,24.62855485264029,0.4276035409165383
6,10,1,1,6,11.61935981523535,5.3876119958196025,178.61054879098828,23.736322730360346,0.3999231315819347
1,10,1,1,1,14.032829897765554,5.154762135729244,176.4630845500248,25.49861622517393,0.4103122392989149
3,10,1,1,3,12.580010882271102,6.0594336426541116,176.70421034865902,24.084790824595892,0.4021110363205589
2,10,1,1,2,11.222271417710639,5.237083765105514,172.9942172473401,21.739452642772402,0.38715889619837823
9,10,1,1,9,17.623635251767773,5.543450007263642,175.44287840677856,18.98414614708534,0.4297968100561441
7,10,1,1,7,15.125922689550698,5.726264416377839,187.93619732523345,24.367767171856542,0.438065249151197
10,10,1,1,10,14.15675482023893,5.465144661946958,174.5071652776548,23.199586924115582,0.4074278149203596
12,10,1,1,12,14.93018806004837,5.403143077129909,183.62830385129018,22.094190839397736,0.4289225815635237
13,10,1,1,13,14.416249967537345,5.4108583365608585,175.61762846054154,23.534443983470293,0.41102884219401614
14,10,1,1,14,28.367314633233462,5.463897819289813,178.6916884753676,23.604410210636836,0.4997635975067
8,10,1,1,8,13.752038216898232,5.348427619509609,176.72634425165722,21.90031371081307,0.4091283782121193
11,10,1,1,11,12.44958296881599,5.242706901507556,185.437601380283,23.421477215559815,0.4175076260477092
16,10,1,1,16,17.482083165577897,4.802333135691091,179.14457394627505,23.081648547741796,0.43580922985434606
20,10,1,1,20,14.49385243511931,5.142824897856439,180.66077072150566,23.39065437401391,0.42082991397902747
17,10,1,1,17,12.304304040964068,5.184205150324109,171.61105106390204,22.567725869159357,0.3910381477166682
15,10,1,1,15,14.609008778228615,5.906682582635076,183.14137907933474,25.828695234902764,0.42610908758346216
18,10,1,1,18,13.325735725104616,5.7226886357494875,187.14052776978133,23.15638309618962,0.42587638841357756
19,10,1,1,19,16.43129322971754,5.314240450049078,183.338083529933,22.253073377197442,0.4373202863434327
21,10,1,1,21,10.590304727501474,5.0576674658104315,186.18073380781317,20.951051040934733,0.4078166648210252
22,10,1,1,22,20.71868071987242,5.476762964424558,174.31210303675587,24.262694346189956,0.4461256712842382
25,10,1,1,25,12.416861571853413,5.01128900128855,181.510867391237,21.513564472768522,0.41004112621834937
24,10,1,1,24,16.257502791563454,5.182702391571162,180.0610683944555,25.63474009686699,0.43021727290247785
28,10,1,1,28,13.956308403749405,5.19952635644208,178.31839746184997,22.094368329752726,0.4132925188670136
26,10,1,1,26,16.14000888550412,5.454843517572511,182.14048156134334,20.80217516217015,0.43336866953789577
23,10,1,1,23,16.051927071758158,5.442710759518203,179.6099372807214,22.5688296474719,0.4281581799152403
27,10,1,1,27,13.41855467154206,5.641306877941307,174.95998404957936,22.028028145523702,0.4038723196975534
30,10,1,1,30,13.971657758205161,5.125457365771727,172.19620082164636,21.277451616564623,0.40204648288654515
32,10,1,1,32,17.56626694207867,5.651495524997058,186.47101014743544,24.680044075492145,0.449877798208682
31,10,1,1,31,12.877167863751048,5.567424256513346,188.22581681875417,22.357763156444353,0.4252161361549412
29,10,1,1,29,14.818573304920752,5.444168351591613,177.75197988693455,21.44344890185321,0.417376126605624
34,10,1,1,34,13.52829353369006,5.237048866386439,186.15387602667178,23.409738312859517,0.4252549567975473
33,10,1,1,33,14.597178909117705,5.346690648057861,177.9310370751226,24.323610372745186,0.41638989020661543
35,10,1,1,35,24.56973485491423,5.6382063906476505,180.82875875806943,22.771596297270616,0.4811164935296445
36,10,1,1,36,16.960538329302867,5.557728560577691,177.94457988042495,20.90422751887001,0.43048258507203413
37,10,1,1,37,14.405636584296314,5.73890445327274,189.7604255882273,23.076174555851583,0.4371560323450418
40,10,1,1,40,12.671742650751186,5.211017478342707,176.008482144689,22.032259098836967,0.40136867318908054
38,10,1,1,38,11.438648672258044,4.871724549958182,180.04279656518082,23.34450953292029,0.40149978070954273
42,10,1,1,42,15.5048667165563,5.0728500333266835,183.42649365457638,22.268785087214127,0.43196956526575425
39,10,1,1,39,14.096380062123488,5.372387122415613,183.6991244001379,23.250965546395047,0.4240905878832655
41,10,1,1,41,11.147793523174489,5.086165471187856,175.5081305904125,22.66530176325474,0.3913709704773316
43,10,1,1,43,13.746287250268932,5.234112891805178,173.30570938995132,23.25234979687183,0.4027596372647381
44,10,1,1,44,11.285574025693915,5.432454779955196,185.70412207650526,22.965528555499848,0.4110725582311243
46,10,1,1,46,10.839025162839556,4.945857308620459,181.5912627195796,22.545412571894232,0.4007981230690336
45,10,1,1,45,12.817060532952379,5.201284709521863,182.36434177914853,25.19152270400511,0.4140037710173196
48,10,1,1,48,17.54436216204386,5.429772538072579,180.42746096064332,22.22595314484678,0.438555654859918
47,10,1,1,47,16.125114262933458,5.195670613922792,179.57324949578722,20.565531342181295,0.4285258776154797
50,10,1,1,50,16.36910488484854,5.75896056906111,186.7660162107177,24.19797137706598,0.443298141106909
49,10,1,1,49,12.030826777680511,5.310448186790482,192.1471648639718,23.16411134003768,0.4274401472342894
51,10,1,1,51,16.124016623219617,5.617692736749115,187.93424973603388,23.265943468093145,0.444002677823989
54,10,1,1,54,16.54926727090823,5.594487675806885,182.33954393509086,24.12005928741816,0.43617336538123574
53,10,1,1,53,11.921056447137152,5.110885518056994,174.4204275878472,24.054315573174392,0.393959461157544
