replication,strategy,n_urgent,rule,electiveAppWT,electiveScanWT,urgentScanWT,OT,objective
0,3,12,6,16.25689992297447,0.5459142964295497,2.8955117578302825,1.3208047092006159,0.41849079009408574
1,3,12,6,22.38884188543217,0.5463179758821477,2.9967949807861745,1.37818027144954,0.466244136072068
2,3,12,6,19.560592158231305,0.5559869009983667,3.1078773634650507,1.3720514000236275,0.4617518032316206
3,3,12,6,15.779107800072875,0.5375849551724207,3.056357150893034,1.4272869517027487,0.4335184997028343
4,3,12,6,15.800099228381272,0.5374793860519803,2.9497347493225483,1.3426637458284776,0.42179651517302874
5,3,12,6,16.89246991112012,0.5441459584772701,3.0276448314504942,1.4342801131173568,0.43695539740989686
6,3,12,6,21.469263334783236,0.5574757649102698,3.034369010558986,1.3862262506693428,0.4649453464199463
7,3,12,6,18.739211652919987,0.5462336315510878,2.988548964255182,1.3639127912537226,0.44360392253382963
8,3,12,6,17.85828671838319,0.547043412031243,2.964290358117435,1.309009667161081,0.4356649210510435
9,3,12,6,17.66794745835861,0.5367585644559315,2.987471217349482,1.396339934108611,0.4371076002909659
10,3,12,6,19.173026010559234,0.5410558895561625,3.027156483036539,1.4433755262090937,0.45047587516215054
11,3,12,6,15.807333075419091,0.5362625711521051,3.0486566114182843,1.4085093382796119,0.43283089179698647
12,3,12,6,19.455745480656155,0.5481879189599357,2.991868857134616,1.343695268401926,0.4482378818283868
13,3,12,6,20.796434646194648,0.5536203939387327,2.9820083353235645,1.3427344448762604,0.45512256094584036
14,3,12,6,18.069539904997406,0.5412184822607395,2.977659234169373,1.409464738130529,0.43840781116761324
15,3,12,6,16.753865985682605,0.5369757581429884,3.025901986576835,1.4419651703414296,0.4359367246137908
16,3,12,6,19.3446323095578,0.5421224082467814,2.9566372671224666,1.3276642348356154,0.44366187279272123
17,3,12,6,20.136101936844945,0.5490896231701559,3.007921285000949,1.3785211624314844,0.45407122573529357
18,3,12,6,20.040048574911403,0.5466975994730905,3.1135061092413125,1.5335318218502436,0.46523112667112637
19,3,12,6,14.773868361989715,0.5498251604222839,2.96617916247287,1.2392237975565632,0.41751515512787674
20,3,12,6,24.35935873166443,0.5391763122392498,2.899569726137604,1.3132590528620274,0.46717059694186325
21,3,12,6,16.88634817394742,0.5385213248832387,2.9288061464932245,1.3174785093961412,0.42593688239179134
22,3,12,6,16.639073707808905,0.5487877500139705,3.0168337840205455,1.3320267888933977,0.43424585918368497
23,3,12,6,17.367373192287236,0.5393357651820242,3.017693682025696,1.3037308273170363,0.4386765193855172
24,3,12,6,23.69951886385906,0.5523046990282094,3.0364589281103704,1.3894104354370203,0.47845289001142444
25,3,12,6,24.544570994063335,0.554416989916765,2.968011755754885,1.327054502754289,0.4758777208421896
26,3,12,6,16.114037693933156,0.5428160112370704,3.039453732695749,1.3056195233990393,0.43363397244595514
27,3,12,6,18.313372712146244,0.5460236628239572,3.031149822772031,1.3039551666848832,0.4458025956580802
28,3,12,6,21.718073092104557,0.5506653434674187,3.0975065486158972,1.4259151340865666,0.4734416388865157
29,3,12,6,18.83624420301196,0.5432850672480505,3.0660189845747783,1.3030724685407151,0.4527892772722688
30,3,12,6,18.594833477482997,0.5457830002605695,2.9642070970483583,1.2705264048651308,0.44003987672054967
31,3,12,6,20.4766704747135,0.5496044337452248,3.0887446407170045,1.476555974596748,0.4650787922704221
32,3,12,6,16.556314925964582,0.5431110678701774,3.0368758425830524,1.3916961491281323,0.43598014278282676
33,3,12,6,20.041340813662213,0.5426476504640827,2.966805096875579,1.2651250838295343,0.4489387060833711
34,3,12,6,18.498458037356457,0.5448866886659185,3.001598697224433,1.3873190605504195,0.4436208356282492
35,3,12,6,15.567474982858515,0.5421705965318331,2.979492443159813,1.4670912990344689,0.4237182574712799
36,3,12,6,17.192639275649327,0.5296961748443892,2.9796351297472454,1.3735249530232152,0.4334077085174478
37,3,12,6,18.610665885415784,0.5570110215473133,3.05765166882253,1.3103327421897866,0.45051684744108933
38,3,12,6,17.798254112532693,0.5495108019112674,2.9973786987131295,1.4376976601111007,0.4389840663998677
39,3,12,6,14.873458229434492,0.5366589100650793,3.0793693550988244,1.41737243531186,0.4306846400274556
40,3,12,6,16.528948733135273,0.5441351233935852,3.122428569858635,1.4238820888258517,0.4453231073640662
41,3,12,6,26.920876912650147,0.5513873175168608,3.075379620937365,1.303220265147337,0.5019521617270691
42,3,12,6,18.543646149601763,0.5472104978281992,2.985946954638009,1.3809275747668728,0.4421507299772495
43,3,12,6,19.303896825834727,0.5500027349153493,2.9113827501203575,1.401244369334898,0.438391120008421
44,3,12,6,21.007416602186154,0.5521714065334352,2.917393368508617,1.3492290045132433,0.4491989651647639
45,3,12,6,19.78949535848104,0.5415598116789818,2.9700738617934554,1.3392833112829228,0.4478028220949933
46,3,12,6,15.270589147475583,0.5451505975481594,2.9935437353592285,1.419819925971233,0.42351233456853876
47,3,12,6,21.113004025216124,0.5437124182839113,2.996412387688064,1.3087776797123891,0.458607352750357
48,3,12,6,18.90753302364255,0.5445814124334507,3.0692565387802655,1.4443823367617121,0.45357334373536207
49,3,12,6,18.335621370190715,0.5519316392161923,2.9660495564711535,1.3418872141472473,0.4387016652241205
