replication,strategy,n_urgent,rule,electiveAppWT,electiveScanWT,urgentScanWT,OT,objective
0,1,16,5,25.071864538202565,0.435519064398034,2.502039295971926,0.5027670151516663,0.42724165513697526
1,1,16,5,43.85753968891686,0.4389959361229009,2.5856515873225687,0.5733491685997715,0.548351404676219
2,1,16,5,42.34789205505767,0.4447850928067654,2.688500700789916,0.5913204209998404,0.5507930861297784
3,1,16,5,25.054462454141625,0.43505304971724956,2.54996854829331,0.5427884441095963,0.432463543783433
4,1,16,5,25.73134061716861,0.4332808371369642,2.569836182644545,0.540580594710904,0.4387000953960324
5,1,16,5,29.169226399274685,0.4379812191450965,2.6073482999689497,0.5377801143375941,0.46333171427794684
6,1,16,5,71.71403376161268,0.44573081554059296,2.6385330788257835,0.5713712716643722,0.7200395906727816
7,1,16,5,34.63888125382764,0.4375574212398611,2.520968094431003,0.591592669746763,0.48629138303495845
8,1,16,5,27.992651603338413,0.44021328271400684,2.5662339215970693,0.4646809669439835,0.451760028610022
9,1,16,5,37.53397271566047,0.42918248917229024,2.5311601744992362,0.5898413917857428,0.5046565236486877
10,1,16,5,35.08263394926393,0.4334860042973854,2.552331031852773,0.629302430031817,0.49241753895148227
11,1,16,5,23.169902169374232,0.4338380602515391,2.5676703907253904,0.5943436278021301,0.42321279442211224
12,1,16,5,34.234126296388865,0.4385542153374947,2.592124641506196,0.49709981062770303,0.4917884103442729
13,1,16,5,43.53572003023381,0.4437566304256506,2.5335612320640633,0.5151851543690281,0.5406479942188274
14,1,16,5,34.342166108163944,0.4346336656932972,2.445048420751074,0.5231903527152925,0.47608970215585705
15,1,16,5,26.8294809764482,0.43425243933239654,2.5034761158398893,0.5143856623661588,0.43786330439757615
16,1,16,5,40.15094381461334,0.4353991757978532,2.5545360383964653,0.5697197094378148,0.5228310507818295
17,1,16,5,38.54350169386703,0.4440061472754713,2.533334374620214,0.5445009146612558,0.5109072025006608
18,1,16,5,33.794111334917446,0.43697322392548676,2.6115367759785024,0.6205503182697936,0.49132617749910407
19,1,16,5,21.551274482502425,0.4427319706031388,2.5606086981580725,0.4918072745828626,0.4127934733023002
20,1,16,5,41.548069161319816,0.4335543242833518,2.511260133545707,0.4850825454051476,0.5263388392113473
21,1,16,5,24.707746609074466,0.4330872022516015,2.601091838497496,0.5578679492134868,0.4360801245696095
22,1,16,5,37.07471373062411,0.444654917652772,2.5930232250111316,0.5801218381815058,0.508796511493047
23,1,16,5,26.04506962877187,0.4350834360217682,2.5266546271177974,0.506816333617191,0.43576957937482586
24,1,16,5,55.53894511470034,0.4455204231336703,2.606698417095643,0.4751442580417882,0.6202221164711449
25,1,16,5,69.17857556842702,0.44030879949101526,2.564234381895252,0.5524558528025233,0.6966921668480459
26,1,16,5,27.056445565992444,0.43933024408451377,2.5691202072316237,0.5388299262893453,0.44650807202965925
27,1,16,5,33.536994705524876,0.4414553558538846,2.6084319893456405,0.539234126974184,0.48945074507922715
28,1,16,5,57.68845161370925,0.4435351023853003,2.5827572893139896,0.547463192977864,0.6303566727037919
29,1,16,5,38.654622209914045,0.43857112735515513,2.7413951825727914,0.5267183951995514,0.5346865016940842
30,1,16,5,36.14056254962227,0.4422904103415678,2.48270548346132,0.4821119757196387,0.4909785609577395
31,1,16,5,44.05469730606841,0.43788167610601136,2.555209451752694,0.6145521888680957,0.546142502413405
32,1,16,5,28.12140504392943,0.43480990708686246,2.580944483797598,0.6268581798734106,0.45416092504851935
33,1,16,5,34.22138222943162,0.4377651585796184,2.5923118866126296,0.4864328847458525,0.49173335781468674
34,1,16,5,28.128669159098997,0.4381331536648749,2.595842041817119,0.5728216342256836,0.45585944805368184
