replication,strategy,n_urgent,rule,electiveAppWT,electiveScanWT,urgentScanWT,OT,objective
0,1,11,6,15.572532036974026,0.6297526355461162,3.740519684044568,1.2828656125056765,0.5083069413044006
1,1,11,6,16.644650006578733,0.6233290828200012,3.8101973374233387,1.258825525762221,0.522430557371911
2,1,11,6,19.930087472671445,0.6373354612859377,3.6987989197863724,1.366788499362575,0.5296091308056571
3,1,11,6,17.60727150892761,0.6314146835288638,3.783212167747958,1.3847778128026498,0.5251620950806913
4,1,11,6,16.033155122211326,0.6179996705536641,3.7959765480379533,1.2827136034717832,0.5172106191602368
5,1,11,6,15.091157931725457,0.6291203893704418,3.8012428956610598,1.3850699661617576,0.512188642762293
6,1,11,6,19.304591941182842,0.6375832016839826,3.6608582090820008,1.217320511706213,0.521670308595517
7,1,11,6,18.366429065309646,0.6281626439139746,3.795003763526541,1.3029689517182421,0.5309910673678873
8,1,11,6,14.922486167099436,0.6265822748723059,3.66350591530103,1.2867768349037645,0.4958805352344364
9,1,11,6,18.19257697277849,0.6231516640947825,3.7253410501943445,1.3554111088928884,0.5222159320024182
10,1,11,6,15.593884575094114,0.624110557503866,3.8273800125915245,1.3802292966950882,0.51808518736192
11,1,11,6,15.335762384722546,0.6275905436169386,3.861808385900949,1.2872896236848432,0.5203741205647238
12,1,11,6,18.512574800333393,0.6174451207376873,3.715067067390156,1.2736146336099163,0.5229791273310493
13,1,11,6,26.21092993298753,0.6371206898200035,3.7962893697665416,1.3380792675414106,0.5778273700513669
14,1,11,6,17.89263412961836,0.6326256355431222,3.7195676867477117,1.2471587620268887,0.5197890731085851
15,1,11,6,15.106520117331213,0.6248628426564712,3.732389198194923,1.2967015079583555,0.504629673513709
16,1,11,6,14.735832419262453,0.6132130242865386,3.679207202299781,1.1998868073617617,0.4965140884654267
17,1,11,6,20.498233682085488,0.6327020249144375,3.8531041179124843,1.3078680292273455,0.5501359754947531
18,1,11,6,21.731128173872836,0.6404147981166761,3.737142561664509,1.3616806626414313,0.5445900158230774
19,1,11,6,16.25568953112692,0.6219528279397074,3.7306654158053827,1.35336595614152,0.5112784362668297
20,1,11,6,18.137874816079602,0.624360130173127,3.669271252691816,1.2576333029065012,0.5156603464265486
21,1,11,6,14.007872111252626,0.6213545621624735,3.7378053922017926,1.3987487850272642,0.4986919013830521
22,1,11,6,15.778390845948412,0.6184185481497957,3.8005301261977116,1.254844453230667,0.5162001182637244
23,1,11,6,16.556930007804286,0.6318139487663548,3.786177538168821,1.3082597949786912,0.5192395479382278
24,1,11,6,20.96202281510953,0.6381423190864862,3.8083760681209524,1.5071237295368143,0.5479268417859164
25,1,11,6,19.190162779664668,0.622630858497127,3.6716211964173158,1.336079112574181,0.522185070115801
26,1,11,6,16.833188492945936,0.6308849732032215,3.6570672823272963,1.2817989468675124,0.5065383597007269
27,1,11,6,14.702969910422409,0.614096393643407,3.839463711096885,1.3608442060199908,0.5141247570489935
28,1,11,6,14.737073919905324,0.6271983712780675,3.715708460665039,1.3728312011317991,0.5005771737241232
29,1,11,6,15.31552687316468,0.6308528525986427,3.7816004029095867,1.226129446246404,0.5113416729810136
30,1,11,6,16.461233292946233,0.6228134584307653,3.7299844536478814,1.2134921340899762,0.5124262485776192
31,1,11,6,24.823798167376175,0.6326684593134045,3.7165615210316116,1.3484844731414112,0.5607119834918626
32,1,11,6,20.08631063912119,0.635223965839731,3.697427875699533,1.3433782950952171,0.5303866923740822
33,1,11,6,16.635576876278385,0.6284016329889056,3.671297126050517,1.3309717606169267,0.5069431938247303
34,1,11,6,17.185656433216774,0.6341291564851005,3.7507608287316683,1.3036595234197157,0.5190467771996502
35,1,11,6,21.69726056849527,0.6187200652420122,3.7538595246887376,1.3314875105955388,0.5462458632699506
36,1,11,6,16.65120283353187,0.626958219454747,3.7897901725810206,1.3862094374139815,0.5202020995339935
37,1,11,6,17.820418060517472,0.6349861600994356,3.810889168637187,1.3582046671699126,0.529506046875466
38,1,11,6,18.53832538710676,0.6351177296808048,3.830483888341352,1.380533942623285,0.5359564958500713
