replication,strategy,n_urgent,rule,electiveAppWT,electiveScanWT,urgentScanWT,OT,objective
0,1,12,4,14.880963113114808,0.09003396342409059,3.1271935341948356,0.8095098342251885,0.43604310963145876
1,1,12,4,20.89752459400033,0.08752787118479564,3.2232871721242637,0.8126397781168267,0.48253304647015827
2,1,12,4,18.719512522845843,0.0891502177102026,3.3080290163057415,0.8306939867025313,0.47898444936837115
3,1,12,4,14.627753463801058,0.08658053144776971,3.162189142211238,0.8003140531936307,0.43842431022863587
4,1,12,4,14.606438658184235,0.08804339406976706,3.158053327595734,0.7727298587210123,0.43783790142840034
5,1,12,4,15.63299611365044,0.08836104590454191,3.299277881692302,0.890111630323753,0.45963997959468295
6,1,12,4,20.38743235182633,0.08906182538911696,3.2502868804762173,0.8038294626654712,0.4824967507185459
7,1,12,4,17.53444964865856,0.08670324036292607,3.0445502606453596,0.7998880726621428,0.44265508639308687
8,1,12,4,16.590282033745122,0.08951913802412778,3.190398610313791,0.7037633760381131,0.4532404132516025
9,1,12,4,16.71977830900668,0.08732021589380085,3.132197222217391,0.8518922990467568,0.44754440351427366
10,1,12,4,18.019855793835628,0.08784720935269488,3.150299256893346,0.8392374445394464,0.45729429715780606
11,1,12,4,14.625382624657977,0.08846511983404559,3.1783119907901356,0.8111329498591064,0.440201625710757
12,1,12,4,18.386331677155646,0.08846143363502637,3.1703028293303843,0.7640822059341332,0.46169832038485803
13,1,12,4,19.71388031479817,0.0901207203945804,3.1516389587569944,0.8501487295032023,0.46752663221187735
14,1,12,4,16.661275312682193,0.08858970612115984,2.9997959531208305,0.8108998655892893,0.4324849192714545
15,1,12,4,15.365376603101973,0.08775784399384103,3.0995684076203065,0.8303764050807012,0.4358570647540537
16,1,12,4,18.211707079224613,0.08803048528603045,3.1325039052893815,0.7283123015701652,0.4564590078053159
17,1,12,4,18.99373038350517,0.09214520413347639,3.14709998658783,0.8000591415451036,0.46273569523697217
18,1,12,4,18.49727784325346,0.08953403109537403,3.264465628528421,0.9139349566399169,0.4728212474749046
19,1,12,4,13.567950038430844,0.0940852143559563,3.1572103444146666,0.7468264271202046,0.4315627567510195
20,1,12,4,23.292924320004126,0.08965589674006964,3.1255943378511812,0.7727791628503342,0.48593661880888595
21,1,12,4,15.53855388343868,0.08934170017027598,3.201786433555614,0.8182339238427359,0.4482454403361714
22,1,12,4,15.214883983627443,0.09024278646481045,3.189539220491993,0.8260495921264848,0.44495803233816256
23,1,12,4,16.314849210166965,0.0864221606394965,3.123556159495702,0.8120484466722973,0.4441739931790877
24,1,12,4,22.277172234559746,0.0895552536747215,3.1474329448965253,0.760538152608343,0.48231698733707273
25,1,12,4,22.932039458331197,0.08833845284627659,3.1669597903514144,0.8065701546042707,0.48838465602117614
26,1,12,4,14.862623668702735,0.08928914262562089,3.2200642070030057,0.7601481725811609,0.44625290991721533
27,1,12,4,17.114458517231032,0.08718702300038017,3.2167606180088866,0.782598364775544,0.4592896233337118
28,1,12,4,20.002580918241787,0.0889068234610398,3.1449010179034365,0.7639386633386055,0.46849642808991626
29,1,12,4,17.347243156028284,0.08745657079255037,3.375965556245394,0.8231727745338543,0.4783646837655296
30,1,12,4,17.47890335902775,0.08745521003651545,3.034169563326306,0.69312258133325,0.44117104290348486
31,1,12,4,19.17995902313511,0.08750865378230319,3.163814493803712,0.8735649164608897,0.4657013665127246
32,1,12,4,15.377944892032755,0.08562612530225677,3.1900757022433024,0.8851587110739126,0.44598824206691107
33,1,12,4,18.60298815460204,0.08766673656767124,3.2118067106410026,0.7732336726446313,0.46759948464226636
34,1,12,4,17.296133473661605,0.08952452167179438,3.2638084463988757,0.8541059408227158,0.46559855837167036
35,1,12,4,14.35765783098438,0.08690854688214228,3.215099386944499,0.8785543209759153,0.4426955142100101
36,1,12,4,15.911081005714843,0.08632494516365492,3.154553612839931,0.7641899893991553,0.4452147724924219
37,1,12,4,17.73585324547556,0.09155877898749133,3.210176865049988,0.729678601464282,0.46225687337148014
38,1,12,4,16.79851998488229,0.0875486821169298,3.2342216282337195,0.9263333508824692,0.4593491490788396
39,1,12,4,13.46183045859664,0.08755652557113355,3.1741149528690906,0.8439402148545981,0.43280938241360906
40,1,12,4,15.149336531918168,0.08796391740051486,3.257269232667989,0.8531628473083099,0.45209342584357515
41,1,12,4,25.52973306147193,0.08912480369915972,3.2639046245074996,0.7748002090973223,0.5146187661841979
42,1,12,4,17.448258774766543,0.08805543801963701,3.207420157047286,0.8653627829672181,0.46023870063283256
43,1,12,4,18.083525676219367,0.08896729483428958,3.167940881375114,0.869846720585483,0.45963346505092156
44,1,12,4,19.711512123871977,0.09180924314082407,3.177276312293452,0.7647372745163911,0.47036113067470087
45,1,12,4,18.66230473276351,0.08887799957321335,3.2040121114615547,0.8369464613118377,0.4670864929367809
