strategy,n_urgent,rule,mean_electiveAppWT,mean_electiveScanWT,mean_urgentScanWT,mean_OT,mean_objective,ci_lo_objective,ci_hi_objective
1,10,1,14.427992665106558,0.09124854222826612,4.023085773899502,1.4218482800183219,0.5328904391541504,0.5320422335479663,0.5337386447603344
1,10,2,15.060796689533442,0.23302981473047105,3.9618405831156953,1.3816250108771344,0.5298521085775382,0.5290061485307869,0.5306980686242895
1,10,3,14.895359018541667,0.18649859535977156,4.009261540976625,1.4128744778765312,0.5341363558538016,0.5332893337818747,0.5349833779257285
1,10,4,14.491685666015623,0.09624361550393547,4.004698906786646,1.4098719965917568,0.5312265789247996,0.5303787699511452,0.5320743878984541
1,10,5,15.717203031484498,0.43154875067735854,3.9615952596211783,1.381560369542195,0.5337320310183322,0.5328860771190863,0.5345779849175781
1,10,6,16.394146413343595,0.6213511671405869,3.9616762332393733,1.3816707844463358,0.537770452979039,0.5369227015070227,0.5386182044510553
1,10,7,17.084443866047817,0.7978719558211242,3.961664213028737,1.3817162797494595,0.5418780308090332,0.5410302025084631,0.5427258591096032
1,11,1,15.648418847725994,0.09288621430073897,3.835121197871467,1.3919106249453035,0.5192699278253574,0.5182617880202581,0.5202780676304567
1,11,2,16.28412981704064,0.23620502847598748,3.773038712224476,1.3514258413728084,0.5161558677295487,0.5151524544531284,0.517159281005969
1,11,3,16.142459789159822,0.18933311060848995,3.8207713842016258,1.3830233073858227,0.520616223973751,0.5196101045660838,0.5216223433814181
1,11,4,15.710124846335296,0.09799463272680922,3.8165614238973204,1.3798398137592731,0.5175750283278885,0.5165698890345198,0.5185801676212571
1,11,5,16.94369621766171,0.4365007961320543,3.772989564088047,1.3514536357116007,0.5200763973053883,0.5190721623300969,0.5210806322806798
1,11,6,17.62075041740823,0.627548953677861,3.772883183187698,1.351499695276184,0.5240946617276503,0.5230882825567975,0.5251010408985031
1,11,7,18.31406627287524,0.8046011984638828,3.772787729088863,1.351537447161826,0.5282109358087342,0.5272024388552436,0.5292194327622248
1,12,1,17.31756726570416,0.09434992618085444,3.6475999097759413,1.3620820074062607,0.5083696363979469,0.5071193302350991,0.5096199425607946
1,12,2,17.95790036791979,0.23918222748365314,3.5849192764856217,1.3213475390725078,0.5052166281487186,0.5039710744370224,0.5064621818604148
1,12,3,17.836474357500713,0.19195669101371493,3.632659026741603,1.3530927153002155,0.5097982709722856,0.508550366572297,0.5110461753722741
1,12,4,17.379784031386485,0.09955891368447002,3.6290423870847066,1.3500511477936432,0.5066780273232202,0.5054311074134753,0.5079249472329651
1,12,5,18.61958313753166,0.44115884566374325,3.5847235845318086,1.3212717790574056,0.5091334725126513,0.5078876989049198,0.5103792461203828
1,12,6,19.29885919889358,0.6330596511555471,3.5845702015943863,1.3213018926176303,0.5131597398531079,0.5119123272987844,0.5144071524074314
1,12,7,19.997891179380243,0.8106166135732993,3.584565976308385,1.3213063231109075,0.5173201750226394,0.5160688954488234,0.5185714545964554
1,13,1,19.6241510672254,0.09567539430831833,3.4593126609989953,1.331634150893063,0.5011784964635316,0.4995583040619596,0.5027986888651037
1,13,2,20.272986832286765,0.24214026590709067,3.3963070677062515,1.2906496102098108,0.49803999263573484,0.49642491335893557,0.4996550719125341
1,13,3,20.174643275458727,0.1944770605665542,3.444026850950607,1.3225740145875138,0.502756812459544,0.5011402550926026,0.5043733698264853
1,13,4,19.68541617559,0.10104060434146721,3.4407644124130994,1.3195551304241997,0.49948225321806256,0.497866280078265,0.50109822635786
1,13,5,20.93976539040369,0.44551033993563044,3.395974172550311,1.29049025669542,0.501971924273866,0.5003570878754064,0.5035867606723257
1,13,6,21.6240154602424,0.6382969234308035,3.3959597953702003,1.2905128164592918,0.5060432438917826,0.5044260274791065,0.5076604603044587
1,13,7,22.326336373956234,0.8160775921200705,3.3958081209024313,1.2904888073722272,0.5102068728023906,0.5085845909727693,0.511829154632012
1,14,1,22.87789058799062,0.096871278615356,3.271642526277795,1.3010069217553109,0.49969375641969915,0.4974599128132764,0.5019276000261219
1,14,2,23.53786877153011,0.24476062702913207,3.2081680016734113,1.2597201090112915,0.496569473032344,0.4943384742343819,0.4988004718303061
1,14,3,23.434522475504572,0.1968586730875401,3.2558896908221753,1.2917237437533535,0.5012567264138007,0.4990240279842442,0.5034894248433572
1,14,4,22.940375190556715,0.10234529202909616,3.25302248340927,1.2888781792073212,0.49799679492577237,0.4957672491151242,0.5002263407364206
1,14,5,24.21699359714824,0.44929062249574914,3.2077567956668505,1.2595365455047172,0.5005661931523577,0.49833375190593354,0.5027986343987819
