replication,strategy,n_urgent,rule,electiveAppWT,electiveScanWT,urgentScanWT,OT,objective
0,1,14,7,20.184323408947115,0.819699930840069,3.1438391474243903,1.1854837816691388,0.46946024302104605
1,1,14,7,21.899847655989035,0.8183306236697777,3.229175757048038,1.1680406367621055,0.48915354238622466
2,1,14,7,35.31096000753071,0.8282560967260186,3.1277703352023885,1.2645060716810848,0.5577143230038212
3,1,14,7,23.879511203990663,0.8206320637555888,3.225442371389034,1.292026359685326,0.5005224333526942
4,1,14,7,21.99554105085552,0.8148428994000814,3.224698624275225,1.189516501087697,0.48922568673011735
5,1,14,7,20.186263079551996,0.8198956858942062,3.2477539684563976,1.2945508973041044,0.481017879905187
6,1,14,7,31.50626158357838,0.8271810310660281,3.1030667875704747,1.1298998999589112,0.5323224699497653
7,1,14,7,29.66046711621199,0.821554023791381,3.2148490196204853,1.2118599873907194,0.5337558461257601
8,1,14,7,18.480790455657278,0.8174645498637308,3.117185076230201,1.1951410425365905,0.4563586024521093
9,1,14,7,25.41220953560489,0.813547638615033,3.154831464347213,1.2646187584434097,0.5017999813695606
10,1,14,7,21.383210669083216,0.8156101782903541,3.2846370864881416,1.289275966206639,0.49224069216386024
11,1,14,7,19.94405139484875,0.8121237892421498,3.2758271438930953,1.1929737454084204,0.48269538540190393
12,1,14,7,26.34020090652582,0.8114651071362655,3.1556612777121456,1.1831945807784345,0.5074159410147968
13,1,14,7,54.451975136894454,0.8379328020740637,3.2384206117077134,1.2499246239642339,0.6839434120363399
14,1,14,7,29.153809714824217,0.8258609622946601,3.134564401208825,1.1598945235724305,0.5218195151035057
15,1,14,7,20.339315603208846,0.8142081332737051,3.163531805167709,1.201791701580573,0.47257088868852826
16,1,14,7,19.22639643628801,0.8127177837638216,3.116111969639668,1.1163066614147295,0.4606774992235822
17,1,14,7,30.1008806682216,0.8216960140381916,3.2365846430910374,1.2000054805778329,0.5387924246384184
18,1,14,7,31.271226003759963,0.831530243476765,3.18748547574775,1.2684748177123841,0.5403033028832418
19,1,14,7,21.863105452748243,0.8094558364108434,3.1707858731326226,1.2637577373176754,0.48244707391601505
20,1,14,7,25.349613597381847,0.8173923541565201,3.116485516312012,1.167470055255018,0.49716672560638536
21,1,14,7,18.183294917092837,0.8122403942293881,3.1403233051896953,1.3046621282612607,0.45715871000377273
22,1,14,7,20.016917268002516,0.8121995523322004,3.236898654264912,1.1685260773530775,0.47880372310087815
23,1,14,7,21.553465534515738,0.8232304624439445,3.2113361867207373,1.213944132917989,0.4851095695633105
24,1,14,7,29.043475127168367,0.8332131876900384,3.24045958794821,1.415521042537169,0.5329288934654858
25,1,14,7,27.74852402573825,0.8145783667197027,3.11524632910809,1.242663133162318,0.5113082668794996
26,1,14,7,24.022982947324827,0.824594902154693,3.0870311526563894,1.1902300753054007,0.48599740752129417
27,1,14,7,18.78034815905795,0.8043498933231588,3.28262426381724,1.2623798958130354,0.47652381597408583
28,1,14,7,19.281018747943417,0.8172694285088493,3.155431020870296,1.2827911558917375,0.4653714155011246
29,1,14,7,20.71910624400563,0.8239207808894686,3.226181735549032,1.1176416031032876,0.4817926506404021
30,1,14,7,22.785395267506967,0.8134711859726492,3.1908401707490412,1.133202150183124,0.490165149532673
31,1,14,7,40.534884032646474,0.8294858112127612,3.170350031630706,1.2535963572831919,0.5935401862485297
