replication,strategy,n_urgent,rule,electiveAppWT,electiveScanWT,urgentScanWT,OT,objective
0,1,16,3,24.241066767741952,0.1851786426583223,2.5472744408274015,0.4594207260444037,0.4273225575189689
1,1,16,3,43.21729738907152,0.18453786540027503,2.6278893117693354,0.5198675102204127,0.5492335190997963
2,1,16,3,41.101063981774885,0.18681739677556206,2.7310919783852574,0.5368847481744601,0.5481038546327363
3,1,16,3,24.287201924306167,0.1848255917314724,2.588937250426131,0.4925242067036289,0.43222637261266234
4,1,16,3,24.765755685077266,0.18390020030174573,2.6128834874703153,0.4913132041644751,0.4377355999078759
5,1,16,3,27.925652746710345,0.18792242658507383,2.6475070756228893,0.4867183871556177,0.46039157633931116
6,1,16,3,70.74585334686745,0.18775862088097503,2.6813363006756994,0.5247889070703022,0.7190325255524632
7,1,16,3,34.131975903595546,0.18503944525157748,2.5625625038600472,0.5383333379990092,0.4878956903312486
8,1,16,3,26.76797282502486,0.1874655961926328,2.605721034884715,0.4273689737688446,0.4488577310091639
9,1,16,3,37.34896047619482,0.18519798339264107,2.574607389410502,0.5387453746942527,0.5083827286420091
10,1,16,3,34.64391273850652,0.18244626114621254,2.592746861212893,0.5650240710024228,0.49429675087984437
11,1,16,3,22.463944666898215,0.186704815633897,2.615122684089447,0.5424126434506555,0.4242831434716342
12,1,16,3,33.297476467631554,0.18482098506330547,2.6367472248783774,0.4575482824439288,0.49117117856365833
13,1,16,3,42.99186476108313,0.18794361938364784,2.5768921628682278,0.47399195847321435,0.5422253083410122
14,1,16,3,34.0535408687513,0.1866007769834559,2.486593883349621,0.4838844247216675,0.47898785728935056
15,1,16,3,26.11968507873497,0.18470399451416333,2.5462202980662343,0.47078333087662033,0.4383876823966548
16,1,16,3,39.4642418503121,0.18380342942121988,2.597280472498926,0.5180454155505682,0.5234929206565002
17,1,16,3,37.357467656978834,0.1880470130828667,2.5751990978670416,0.4972287315431736,0.5084991120069262
18,1,16,3,33.03618431338584,0.1866267158298284,2.655836557908656,0.5604038486792088,0.49173690512508383
19,1,16,3,20.714996044957715,0.1894714034663381,2.603248397377407,0.45468423334477676,0.41255336981747603
20,1,16,3,40.83244305875151,0.1857951682577402,2.552733973894361,0.4505188457104124,0.5266873645125768
21,1,16,3,23.79545163434535,0.18534964208545862,2.6416605020571113,0.5079113787150978,0.4351574266234807
22,1,16,3,36.4320845807811,0.18853837549451666,2.632950437354741,0.5205078580085984,0.5094076949091444
23,1,16,3,25.264062303757974,0.18433317625739645,2.568988618379819,0.4641072239763997,0.43582450305663445
24,1,16,3,54.7024316215155,0.18803965206686685,2.650436557362898,0.44577634344699996,0.6201026628509301
25,1,16,3,68.3264521081055,0.1861301465369741,2.6048731510742913,0.502981095226522,0.6961354221914222
26,1,16,3,26.596764504055873,0.18491413951923785,2.6112290367356636,0.49001837460214526,0.44845063406619995
27,1,16,3,33.01041023580114,0.18544906082518814,2.6516602157057214,0.49312122859853813,0.49111944997405516
28,1,16,3,56.95826337429688,0.18757701375082658,2.6216548969712568,0.499563659896455,0.6303322705422242
29,1,16,3,37.344620464259876,0.18657466069484918,2.789851175137976,0.4933559850071114,0.5322728714295759
30,1,16,3,35.312314396128585,0.18774603604181161,2.5232403877570784,0.4522045635027123,0.4905523906801233
31,1,16,3,43.1128390795595,0.18322912726386018,2.590945334041604,0.5484500878566512,0.5445068570337467
32,1,16,3,27.610781563997488,0.18341147691521592,2.6211141681406973,0.5638553414386391,0.45558479783307837
33,1,16,3,33.25949675060243,0.18593029936329003,2.6363619669037752,0.4523539678114697,0.49090230237781485
34,1,16,3,27.26654109335406,0.1852596820710075,2.6359594220480984,0.5217555786156429,0.4551852200689597
